,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
9,무형자산상각비,291204107.0,1243949001.0,928097020.0,608976903.0,302207582.0,2410349824.0,2107355910.0,928641767.0,539872287.0,3138863869.0,2544881887.0,1900168705.0,1219566299.0,5905031121.0,4816074083.0,3243245677.0,1688806744.0,6501614087.0,5212311586.0,3013477204.0,1611955238.0,6486626551.0,4896081840.0,3081111428.0,1453220893.0,6472799122.0,4800414451.0,3162346158.0,1645965375.0,9606407640.0,8293645705.0,4208900339.0,2623049943.0,4025057205.0,3813549023.0,6480822032.0,5600510095.0,6307627378.0,10502010663.0,6262765946.0,4417058291.0,5968581044.0,10909678581.0
10,유형자산처분손실,145870133.0,389343021.0,213364524.0,208323641.0,61571723.0,76867390.0,66871258.0,38692401.0,21569084.0,46785337.0,46140634.0,32000.0,32000.0,243522959.0,193012080.0,192821769.0,7496834.0,634314771.0,589373012.0,588811473.0,588838154.0,312851400.0,274853161.0,65654666.0,38537320.0,519636686.0,212590747.0,100804479.0,12162300.0,814176075.0,499551622.0,74486552.0,22820586.0,69351369.0,47419011.0,145836111.0,250168317.0,60473815.0,114648095.0,186354272.0,3750717.0,15094268.0,
11,무형자산처분손실,18000000.0,114761135.0,114761135.0,114761135.0,57727273.0,58514779.0,12320000.0,,,,,,,154608535.0,154608535.0,43347725.0,43347725.0,1669910.0,1669910.0,1669910.0,,52787523.0,18530703.0,,,,,,,36367953.0,13644620.0,13644620.0,,,,,,,,,,,
12,무형자산손상차손,,6233631086.0,,,,,,,,1403174706.0,234140000.0,234140000.0,,7654341179.0,,,,28839771628.0,10440571119.0,,,13198658459.0,7077806301.0,,,15626056210.0,11412850119.0,9838933472.0,57849160.0,5804941426.0,516983601.0,230504660.0,230504660.0,891666662.0,10964613009.0,219718112.0,9941715669.0,,,,,,
13,당기손익-공정가치측정금융자산(부채)평가손실,11298849038.0,13917860453.0,850884168.0,6014909151.0,708551170.0,12859241585.0,4089508407.0,5325641981.0,3578607594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,당기손익-공정가치측정금융자산처분손실,1228979703.0,9143224884.0,8910062164.0,995748162.0,2178439568.0,8481274690.0,6392902907.0,3902429670.0,2189180769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,지분법손익,,4564546900.0,,,,6553896367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,관계기업투자주식손상차손,,13497140176.0,,,,593236294.0,593236294.0,593236294.0,,,,,,428118925.0,,,,,,,,5543900638.0,,,,,,,,,,,,,,,,,,,,,
17,관계기업투자주식처분손실,,1227076963.0,1226746683.0,600066144.0,107093704.0,200635142.0,,,,765065485.0,219034090.0,219034090.0,,30921614.0,30921614.0,30921614.0,324705415.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,퇴직급여,7275883761.0,23834928966.0,17447953111.0,11467671091.0,5616931157.0,20009552415.0,14657789828.0,9622578672.0,4784131491.0,19400592895.0,14075354908.0,9089408913.0,4404516080.0,18618013046.0,13730689855.0,8996920263.0,4443671407.0,16713849313.0,12619549022.0,8076620037.0,3989500855.0,15256593461.0,11342820498.0,7580996591.0,3937574076.0,15750016841.0,11426750116.0,7354142694.0,3634760949.0,29604526765.0,25672632672.0,21654417042.0,3861933335.0,10487215588.0,7992007796.0,7045409168.0,6369639722.0,4663410152.0,4345459702.0,2991914075.0,2137674916.0,1414997255.0,860019056.0
19,주식보상비용,,15988585.0,11991435.0,7994293.0,3997146.0,65992281.0,49494211.0,32996141.0,65992281.0,141010820.0,105758115.0,70505410.0,35252705.0,402997035.0,317607887.0,232218737.0,146829589.0,-365276484.0,-365276484.0,-365276484.0,447522341.0,1844940840.0,1179498507.0,669548123.0,332924481.0,1220723098.0,880400295.0,540077492.0,177559724.0,,,,,,281409296.0,1970378781.0,2930762038.0,2650714288.0,1270281022.0,,158272411.0,2860652416.0,8507857583.0
20,이자수익,-10519642548.0,-33579778274.0,-24263891746.0,-15962865978.0,-7909039706.0,-29345416633.0,-21998124048.0,-14475577198.0,-7096563143.0,-19007194945.0,-14068461958.0,-8477066987.0,-4304502424.0,-21559269948.0,-16361039789.0,-11050780823.0,-5719391218.0,-20405823054.0,-14678732868.0,-9688059546.0,-4738728534.0,-17401454621.0,-12489867404.0,-8162929372.0,-4097458182.0,-16705523539.0,-12084083649.0,-8161476492.0,-4125430422.0,-18224752205.0,-13232684402.0,-9075617915.0,-4650777115.0,-22863196494.0,-21649228720.0,,,,,,,,
21,외화환산이익,-9718721172.0,-7373874830.0,-16020679684.0,-8815933486.0,-4858107602.0,-12292122285.0,-8746299305.0,-11879802396.0,-1329205127.0,-690898305.0,-851351767.0,-506796352.0,-121585108.0,-8366627921.0,-1293916488.0,-2260107562.0,-2185450043.0,-10109156757.0,-9486876516.0,-3915361583.0,-760050278.0,-6141097371.0,-3086051826.0,-142981392.0,-419858266.0,-642523947.0,-417824720.0,-1039346824.0,-580343229.0,-994210518.0,-411961019.0,-587372844.0,-404459187.0,-1593304617.0,-2308608884.0,468301264.0,1369455302.0,62631858.0,80855135.0,30615292.0,162542159.0,427488362.0,22172065.0
22,배당금수익,-239509033.0,-3670268676.0,-2802589732.0,-2030081864.0,-711635513.0,-12111980194.0,-9954749156.0,-9185642672.0,-1226109503.0,-2087178127.0,-1203867794.0,-796205569.0,-369065748.0,-504539637.0,-286273326.0,-261920000.0,-24000000.0,-355522477.0,-240236984.0,-186881594.0,-20000000.0,-342824013.0,-20000000.0,-20000000.0,-20000000.0,-60000000.0,-60000000.0,-60000000.0,-60000000.0,-66000000.0,-66000000.0,-66000000.0,-66000000.0,-50000000.0,-63834933.0,,,,,,,,
23,당기손익-공정가치측정금융자산평가이익,-9101479077.0,-26121388007.0,-22723644975.0,-20570723057.0,-14613746375.0,-4081172615.0,-6891596514.0,-6544797207.0,-3971052927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,당기손익-공정가치측정금융자산처분이익,-179992259.0,-6291758339.0,-4978678778.0,-2937916615.0,-184357935.0,-4690266308.0,-3968786466.0,-3112726745.0,-1930673107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,관계기업투자주식처분이익,,,,,,-4912579401.0,-4912579401.0,-4912579401.0,-5652077.0,-1619174103.0,-1604358357.0,-1587626210.0,-1587626210.0,-8858923805.0,-8568481039.0,,,-1605201440.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,복구충당부채환입,,-15397012.0,-15397012.0,-2360152365.0,,-5666006.0,-5666006.0,38376855176.0,,,,,,-34556959.0,-34556959.0,-34556959.0,,-303555012.0,-303555012.0,-303555012.0,-303555012.0,,,,,,,,,,,,,,,,,,,,,,
