,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080929-20081231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
90,2.지분법적용투자주식처분손실,,305000000.0,
91,3.유형자산처분손실,1459000000.0,3467000000.0,487000000.0
92,4.유형자산손상차손(주석9),263000000.0,3991000000.0,56062000000.0
93,5.지분법적용투자주식손상차손(주석5),50370000000.0,100352000000.0,
94,6.기타영업외비용,79280000000.0,91936000000.0,43990000000.0
95,VI.법인세비용차감전순이익,19192000000.0,552158000000.0,939408000000.0
96,VII.법인세비용(수익)(주석23),-80991000000.0,24914000000.0,329580000000.0
97,VIII.종속회사의매수일전순손실,,250000000.0,
98,IX.당기순이익(주석25),100183000000.0,527494000000.0,609828000000.0
99,1.지배회사지분순이익,88320000000.0,539818000000.0,611927000000.0
100,2.소수주주지분순이익(손실),11863000000.0,-12324000000.0,-2099000000.0
101,X.주당순이익(주석24),,,
102,1.기본및희석주당순이익,257.0,1659.0,2078.0
