,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8,entity00170558_udf_BS_2019326173122171_CurrentAssets,매각예정자산,Asset Held for Sale or Disposal Group,재무상태표 [abstract],자산 [abstract],유동자산,매각예정자산,,,,,8222097257.0,8222097257.0,,,,,,,,,,,,,,,,,,,,,,,,163393033624.0,,,,,,
9,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,2110291346328.0,2088011360579.0,2000901108291.0,1677036346091.0,1610257423368.0,1535185010977.0,1504443809204.0,1463889262308.0,1401670997875.0,1367401907951.0,1335806403038.0,1285438016596.0,1240473723049.0,1234573817352.0,1188634121575.0,1172933807801.0,1156683218949.0,1122079124795.0,1097971927229.0,1073650465661.0,1055063703478.0,1024838930313.0,1004640318248.0,996697341968.0,976917609882.0,976444176927.0,985648796745.0,990392920714.0,985052102086.0,975943842458.0,1052123037319.0,924222815494.0,791171764607.0,994750549168.0,843455565238.0,537431236954.0
10,dart_LongTermTradeReceivablesGross,장기매출채권,"Long-term trade receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권,16932018015.0,21594721694.0,22832901746.0,24779127334.0,26726113999.0,28401949423.0,30140187157.0,32693235441.0,34414136483.0,36497327105.0,32728991482.0,29504291132.0,28061996777.0,23612266326.0,18382504293.0,13432113048.0,6017574146.0,,5041153489.0,4858750439.0,4776193608.0,,,,,,,,,,,,,,,
11,dart_NoncurrentFinanceLeaseReceivable,장기금융리스채권,Non-current finance lease receivables,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융리스채권,524106007398.0,487364051476.0,433522307809.0,379459460695.0,334186097996.0,293507930785.0,252743060090.0,221633605389.0,183545066897.0,169862438005.0,155652241085.0,136169800660.0,119312632822.0,104994759658.0,86631021492.0,68257272265.0,47114546195.0,28144341859.0,11123258194.0,,,,,,,,,,,,,,,,,
12,dart_LongTermDepositsNotClassifiedAsCashEquivalents,기타장기금융자산,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,기타장기금융자산,21727728114.0,20937293114.0,18817334905.0,19176240677.0,19663272432.0,56214221629.0,55827701088.0,54779945949.0,54522427713.0,53770238000.0,53689308687.0,53040947976.0,53641673246.0,52840420301.0,52591314831.0,53171361929.0,52029901248.0,52068160276.0,52085198223.0,51899016273.0,51978945886.0,52584883310.0,52793718206.0,53757985325.0,53086739126.0,52525362251.0,57303805633.0,51504529872.0,51327440657.0,51369795981.0,49055139581.0,47203861355.0,42453708009.0,,,
13,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,14389445686.0,21724521450.0,21904542212.0,193243255238.0,184865112469.0,184470022877.0,185293870596.0,185316489570.0,175075427766.0,167521885149.0,173789168852.0,162807254275.0,156893596781.0,157297276528.0,152291797495.0,153581597225.0,150558456219.0,147080589614.0,143404491610.0,138520678295.0,123481660471.0,96731719306.0,92235418721.0,87817912175.0,80536847431.0,79274117837.0,79587431326.0,86550808861.0,84253946311.0,80402480943.0,65285636012.0,50844469000.0,33893022869.0,78132398500.0,68043463066.0,61026543226.0
14,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,Non-current available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,매도가능금융자산,,,,,,,,,,2465025047.0,2451520122.0,2464020122.0,2464020122.0,2464020122.0,2437267332.0,2430094830.0,2430095830.0,2430095830.0,2417600467.0,2417600467.0,2417367997.0,2417367997.0,2467383971.0,2467384971.0,2467384971.0,2467078452.0,2459757670.0,2460837625.0,2461194520.0,2461264045.0,2562051632.0,3751724883.0,2103736736.0,,,
15,entity00170558_udf_BS_2018514172353315_NoncurrentAssets,당기손익-공정가치측정금융자산,Income-Financial Assets Fair value,재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치측정금융자산,1241078547.0,1232702566.0,1229777566.0,1228003155.0,1226113155.0,1218198390.0,1204227228.0,1204227228.0,1204227228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,entity00170558_udf_BS_2018581128688_NoncurrentAssets,기타포괄손익-공정가치측정금융자산,Other Comprehensive Income-Financial Assets Fair value measurement,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치측정금융자산,365501064.0,365501064.0,365431064.0,365431064.0,365431064.0,365431064.0,365431064.0,365431064.0,365431064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,1297834867268.0,1270778209455.0,1268011663043.0,842562262222.0,825701509395.0,781012733072.0,764957911318.0,752011968887.0,735493957072.0,712397814104.0,702386097103.0,685137354949.0,664755663012.0,669403179590.0,652545462191.0,660330685853.0,699724706641.0,699511862474.0,689216447262.0,679192166622.0,675038424225.0,675187865092.0,655401317968.0,649585989008.0,636021224923.0,638306128525.0,640113527372.0,642364192996.0,637298124417.0,630421982938.0,568897144864.0,470855621716.0,416867524208.0,758251509725.0,690226171521.0,390452887699.0
18,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,154170697975.0,168401886170.0,171536361735.0,156287777933.0,158950280284.0,160292435000.0,180623616374.0,182513073796.0,183568513537.0,183920093694.0,181743574012.0,182811329931.0,181258891048.0,182993861968.0,185777224840.0,186513561938.0,175287026329.0,168786681111.0,169058786614.0,169505088139.0,170117375300.0,170626319462.0,174847111687.0,176192641744.0,177867479391.0,176847558202.0,178453440446.0,179537476511.0,181188019667.0,183665072523.0,183177210870.0,178322408814.0,146520464901.0,139207692053.0,62226467322.0,74898881938.0
19,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,8130497089.0,24009598321.0,24121269560.0,24232940798.0,24344612037.0,24456283276.0,32792820393.0,32907260253.0,33021700113.0,33136139974.0,33250579834.0,33365019694.0,33479459554.0,33593899415.0,33708339275.0,23056042176.0,23114800795.0,23173559415.0,23232318034.0,26107525552.0,26322892432.0,26410249817.0,26497607201.0,26584964585.0,26672321969.0,26759679354.0,26847326006.0,26934586967.0,27021847928.0,27109108890.0,23824044139.0,12598046049.0,12616536037.0,,,
20,entity00170558_udf_BS_20171113104726246_NoncurrentAssets,순확정급여자산,Net defined benefit assets,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,,,,,,,,,,7353053942.0,,,,5851871708.0,,,,,,,,,,,,,,,,,,,,,,
21,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,71393505172.0,71602875269.0,38559518651.0,35701846975.0,34228880537.0,5245805461.0,494983896.0,464024731.0,460110002.0,477892931.0,114921861.0,137997857.0,605789687.0,1522261736.0,4269189826.0,12161078537.0,406111546.0,883834216.0,2392673336.0,1149639874.0,930843559.0,880525329.0,397760494.0,290464160.0,265612071.0,264252306.0,883508292.0,1040487882.0,948888751.0,514137138.0,668538024.0,3934299316.0,24093323014.0,5716383332.0,3101018897.0,14439800969.0
22,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,2964467170307.0,2854954793880.0,2748644553967.0,2608568926329.0,2546036153698.0,2378903077059.0,2310801817529.0,2240939908357.0,2272781199516.0,2158873074812.0,2119871102328.0,2124615193318.0,2001129369880.0,1967707893346.0,1935836541065.0,1906020175760.0,1934027257699.0,1775397142505.0,1700073933711.0,1651350873700.0,1679470801686.0,1621649446068.0,1634424127096.0,1644274459191.0,1676518365750.0,1667858723448.0,1616241571557.0,1644909206884.0,1654805734873.0,1755108360384.0,1624718676702.0,1387599444483.0,1162997457129.0,1803809672586.0,1567580464295.0,939284584244.0
23,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,1568848098205.0,1586823434426.0,1502266443753.0,1426066105477.0,1441143205431.0,1234310147963.0,1161527170984.0,1124013697049.0,1191906733608.0,1124750166848.0,1083186537162.0,1034183780104.0,961161115259.0,735390765837.0,668585361579.0,709066227819.0,728496365299.0,472882081155.0,466812357656.0,520310729460.0,645103252804.0,526041231841.0,571933684617.0,642883205780.0,744746399879.0,676732637662.0,634210268557.0,731897189989.0,640229487809.0,759158934502.0,578334839226.0,406009827585.0,482508268205.0,768621952878.0,541766433952.0,396354127222.0
24,ifrs-full_TradeAndOtherCurrentPayables,매입채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,61935811551.0,57967769416.0,68590569331.0,59044405039.0,64206648120.0,62483455345.0,51560694801.0,67807541572.0,67881379128.0,54187945950.0,57856764050.0,65263223550.0,56684021698.0,58724468626.0,57413859479.0,60223467393.0,60812341270.0,59799440753.0,48809895564.0,54820925571.0,57574162151.0,59047506667.0,39442836314.0,42496316782.0,45065958264.0,36662813832.0,31557119666.0,42471298992.0,37167523681.0,46264932534.0,51918146354.0,40398337123.0,30125936321.0,138473681826.0,82200816418.0,25773266472.0
25,ifrs-full_CurrentLeaseLiabilities,유동리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동리스부채,14528850955.0,14981011978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ifrs-full_OtherCurrentFinancialLiabilities,기타단기금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타단기금융부채,176747363184.0,212388285386.0,192005749289.0,177579545270.0,272852779876.0,189043248063.0,167381214046.0,164320250258.0,231006397139.0,196387097171.0,161178413277.0,163008288659.0,392834715004.0,181218578877.0,165497171152.0,240812759354.0,185732749179.0,183985891177.0,154600042566.0,159244652259.0,154523539213.0,176409758706.0,152067097983.0,174698121227.0,168362690441.0,174993747880.0,164818644002.0,169627065281.0,173526884438.0,175482239034.0,158587617721.0,155071048640.0,122201615363.0,,,
27,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,229117300145.0,220359071696.0,215697680892.0,214391178087.0,207655299947.0,118877087416.0,116659878381.0,123447151284.0,127177459563.0,102109904700.0,98481343425.0,97795761439.0,94305534098.0,87817269128.0,87858008037.0,84677862691.0,289795293873.0,77255325642.0,78853846745.0,81734492574.0,226465605720.0,79821288251.0,77381349782.0,76566869477.0,196528570636.0,64795450451.0,68776383886.0,64102775873.0,60035279514.0,72298027149.0,64689163534.0,73656911881.0,58754203463.0,,,
28,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,860550000000.0,860550000000.0,861087000000.0,811182000000.0,731112000000.0,731112000000.0,731260000000.0,671255000000.0,671255000000.0,670000000000.0,690000000000.0,630000000000.0,342904000000.0,340000000000.0,311370116522.0,246553495486.0,119056952952.0,80040718867.0,142505379135.0,179113423207.0,160103173738.0,164403282571.0,278707714723.0,311033031652.0,180557641024.0,181773836079.0,180163284196.0,212228614771.0,173627256241.0,330095354639.0,168176965638.0,78236018767.0,124993035157.0,163595772547.0,131909720668.0,94359097255.0
29,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,536000000.0,536000000.0,536000000.0,670000000.0,536000000.0,536000000.0,536000000.0,536000000.0,536000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,94623921890.0,97119200461.0,58389006376.0,69957232582.0,82031234630.0,73247259989.0,42029112271.0,52475139186.0,58393644145.0,62311427327.0,40889953410.0,48739900062.0,50651590038.0,47867955165.0,29869919118.0,64483779440.0,67287104372.0,70198265550.0,,,,44933779395.0,21688363027.0,34944897227.0,55050261690.0,61240942890.0,34903789407.0,30696111883.0,24167097539.0,18302722292.0,16812006426.0,23475082521.0,23514515951.0,23587939123.0,27310318696.0,17694445602.0
31,ifrs-full_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,1568505256.0,2751180293.0,28022177841.0,28012940151.0,1664785687.0,,1756426593.0,1739374462.0,,,34780063000.0,29376606394.0,1954036735.0,19762494041.0,2163220157.0,2163128542.0,2192533399.0,1602439166.0,582295935.0,623819106.0,625506220.0,1425616251.0,2646322788.0,3143969415.0,3813686348.0,4234297241.0,5508414400.0,6071578071.0,5806315289.0,6276665699.0,6937874127.0,4437995320.0,2918961950.0,,,
32,entity00170558_udf_BS_2020323152421266_CurrentLiabilities,환불부채,Refund liabilities,재무상태표 [abstract],부채 [abstract],유동부채,환불부채,129240345224.0,120170915196.0,94514210162.0,82702029342.0,71040465248.0,59011097150.0,52100271485.0,44172614749.0,35656853633.0,39753791700.0,34780063000.0,1962115900.0,1954036735.0,19762494041.0,2163220157.0,2163128542.0,2192533399.0,1602439166.0,582295935.0,623819106.0,625506220.0,1425616251.0,2646322788.0,3143969415.0,3813686348.0,4234297241.0,5508414400.0,6071578071.0,5806315289.0,6276665699.0,6937874127.0,4437995320.0,2918961950.0,,,
33,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,203197164257.0,190935774920.0,120648129146.0,116856816492.0,80790215992.0,56894696679.0,69484285954.0,74440365727.0,64194748620.0,51866378423.0,65612600822.0,67450375218.0,52335965805.0,48973368952.0,66366105637.0,67464037372.0,75275694344.0,64287230555.0,85165908994.0,78175252520.0,68604479273.0,56173184972.0,74978959968.0,74825770750.0,59525280223.0,50237576867.0,80625224822.0,72632675649.0,161798456756.0,210864604564.0,308481324569.0,253306330611.0,63437080283.0,195326078608.0,271557498052.0,14546108567.0
34,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,비유동리스부채,15337580334.0,16300850883.0,12037249471.0,12887943598.0,13747590527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ifrs-full_OtherNoncurrentFinancialLiabilities,기타장기금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타장기금융부채,1307488520.0,1646843899.0,1615902062.0,1611680096.0,1609669509.0,1609547985.0,2032180943.0,2017805898.0,2061921487.0,2068602932.0,2405002099.0,2408816533.0,2653665047.0,2664966182.0,2105365939.0,2121764277.0,2117010273.0,2203221407.0,10977408609.0,10788641237.0,10869667716.0,2573262777.0,9923546549.0,9568063963.0,9402381827.0,9348534248.0,8654558722.0,8830794057.0,8885238935.0,9023429296.0,8234227675.0,1603893585.0,4868424745.0,,,
36,dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,42590140703.0,40854714125.0,35512017674.0,34783955408.0,34692931217.0,34567000308.0,28819907331.0,28401711861.0,29282270684.0,24433326210.0,26050333676.0,23745232330.0,23849433926.0,24561839617.0,23985381607.0,20402263129.0,18229828934.0,16477557461.0,9299066505.0,8574132932.0,7860635552.0,15968562343.0,9521439326.0,8227712039.0,8718852346.0,10416401962.0,11432741053.0,10747918395.0,9648080064.0,8710983066.0,8648594935.0,16432789920.0,15519345388.0,,,
37,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,9315000000.0,9449000000.0,9583000000.0,9717000000.0,9985000000.0,9985000000.0,10253000000.0,10387000000.0,10387000000.0,12303000000.0,12358000000.0,12358000000.0,12158000000.0,11812000000.0,10170000000.0,9782000000.0,9301000000.0,7951000000.0,5760000000.0,3154000000.0,3154000000.0,932000000.0,,,,,,83333000.0,30083333000.0,30083333000.0,90620862996.0,174241872499.0,30368011069.0,148935200047.0,230972500000.0,
38,dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,24865778481.0,15604406200.0,33877782098.0,29843297239.0,18417988202.0,8404847680.0,17455920181.0,16401746502.0,4402103249.0,1334678191.0,12095231414.0,13831582379.0,1785120783.0,,24498037010.0,31932907024.0,17930032246.0,12373703182.0,33425650519.0,28879109538.0,22836539513.0,15951403224.0,28563129331.0,31231529287.0,18688857650.0,8421167314.0,30607969503.0,21792605047.0,19942769986.0,12819014249.0,14554811070.0,10804925112.0,12090467667.0,,,
