,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
39,ifrs-full_NoncurrentProvisions,충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,109781176219.0,107079959813.0,28022177841.0,28012940151.0,2337036537.0,2328300706.0,1756426593.0,1739374462.0,1734925568.0,1731867941.0,1924843467.0,1962115900.0,1954036735.0,1968932684.0,2163220157.0,2163128542.0,2192533399.0,2135329680.0,582295935.0,623819106.0,625506220.0,650689840.0,681567576.0,662366688.0,688564861.0,648726206.0,782445538.0,736751392.0,679535253.0,623085957.0,749707527.0,164223277.0,2918961950.0,,,
40,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,,,,,,,9166850906.0,15492727004.0,16326527632.0,9994903149.0,10779190166.0,13144628076.0,9935709314.0,7965630469.0,3444100924.0,1061974400.0,25505289492.0,23146418825.0,25121487426.0,26155549707.0,23258130272.0,20097266788.0,26289277186.0,25136098773.0,22026623539.0,21402747137.0,29147510006.0,30441273758.0,25833499518.0,25916143165.0,8649119172.0,286072082.0,,,,
41,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,1772045262462.0,1777759209346.0,1622914572899.0,1542922921969.0,1521933421423.0,1291204844642.0,1231011456938.0,1198454062776.0,1256101482228.0,1176616545271.0,1148799137984.0,1101634155322.0,1013497081064.0,784364134789.0,734951467216.0,776530265191.0,803772059643.0,537169311710.0,551978266650.0,598485981980.0,713707732077.0,582214416813.0,646912644585.0,717708976530.0,804271680102.0,726970214529.0,714835493379.0,804529865638.0,802027944565.0,970023539066.0,886816163795.0,659316158196.0,545945348488.0,963948031486.0,813323932004.0,410900235789.0
42,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주 지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주 지분,,1193603223575.0,1078307584664.0,1126378402040.0,1066197350405.0,1024586570467.0,1088075741812.0,1080056638822.0,1042652696677.0,1016743892999.0,982204321431.0,970858329481.0,1022684037251.0,987208154986.0,1182815030247.0,1200177706966.0,1128646599115.0,1129391265858.0,1237363218374.0,1147218079759.0,1051982925366.0,964875118835.0,1038542743921.0,986605756956.0,925654932771.0,872246685648.0,940888508919.0,901406078178.0,840379341246.0,852777790308.0,785084821318.0,737902512907.0,728283286287.0,617052108641.0,839861641100.0,754256532291.0,528384348455.0
43,ifrs-full_IssuedCapital,납입자본,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주 지분,납입자본,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,40662398000.0,39315996500.0,39315996500.0
44,ifrs-full_SharePremium,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배기업의 소유주 지분,주식발행초과금,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,97773449148.0,108969332977.0,75839074686.0,80762416187.0
45,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주 지분,이익잉여금,1055108914008.0,953976131459.0,999093324717.0,943529816280.0,902961644244.0,966816786565.0,960083145074.0,918968338826.0,890354560894.0,963027305560.0,952475668009.0,911552907493.0,949242794026.0,1179735672647.0,1098419243765.0,1060836177283.0,1064303687298.0,1177049753285.0,1089668733200.0,996711807119.0,913590437283.0,985875249525.0,937152675063.0,866859932316.0,806044666662.0,867992459258.0,797826359499.0,741208550813.0,757759660621.0,700852885725.0,675650082706.0,591622691556.0,478912845034.0,,,
46,dart_ElementsOfOtherStockholdersEquity,기타자본항목,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주 지분,기타자본항목,58462419.0,-14104393943.0,-11150769825.0,-15768313023.0,-16810920925.0,-17176891901.0,-18462353400.0,-14751489297.0,-12046515043.0,-119258831277.0,-120053185676.0,-27304717390.0,-100470486188.0,-135356489548.0,-36677383947.0,-70625425316.0,-73348268588.0,-78122382059.0,,,,-85768352752.0,-88982765255.0,-79640846693.0,-72233828162.0,-65539797487.0,-34856128469.0,-39265056715.0,-43417717461.0,-54203911555.0,-76183416947.0,-1775252417.0,2360317688.0,,,
47,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,-1181315730.0,-1112000130.0,-648420972.0,-551346045.0,-483838192.0,-377509395.0,-266278231.0,-166851096.0,-64175711.0,52208110.0,213634863.0,297000745.0,424133830.0,528728310.0,707366883.0,843311454.0,863932198.0,864612421.0,877587302.0,881966354.0,887950774.0,892285334.0,905725555.0,910549890.0,,,,,,,,,-2656901229.0,,,
48,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,1192421907845.0,1077195584534.0,1125729981068.0,1065646004360.0,1024102732275.0,1087698232417.0,1079790360591.0,1042485845581.0,1016679717288.0,982256529541.0,971071964344.0,1022981037996.0,987632288816.0,1183343758557.0,1200885073849.0,1129489910569.0,1130255198056.0,1238227830795.0,1148095667061.0,1052864891720.0,965763069609.0,1039435029255.0,987511482511.0,926565482661.0,872246685648.0,940888508919.0,901406078178.0,840379341246.0,852777790308.0,785084821318.0,737902512907.0,728283286287.0,617052108641.0,839861641100.0,754256532291.0,528384348455.0
49,ifrs-full_EquityAndLiabilities,부채와 자본 총계,Total equity and liabilities,재무상태표 [abstract],부채와 자본 총계,,,2964467170307.0,2854954793880.0,2748644553967.0,2608568926329.0,2546036153698.0,2378903077059.0,2310801817529.0,2240939908357.0,2272781199516.0,2158873074812.0,2119871102328.0,2124615193318.0,2001129369880.0,1967707893346.0,1935836541065.0,1906020175760.0,1934027257699.0,1775397142505.0,1700073933711.0,1651350873700.0,1679470801686.0,1621649446068.0,1634424127096.0,1644274459191.0,1676518365750.0,1667858723448.0,1616241571557.0,1644909206884.0,1654805734873.0,1755108360384.0,1624718676702.0,1387599444483.0,1162997457129.0,,,
