,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
30,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,7705134000000.0,6770867000000.0,6707559000000.0,6955135000000.0,6933678000000.0,6860875000000.0,6883732000000.0,6899014000000.0,7216994000000.0,7219038000000.0,7551294000000.0,7976043000000.0,8322178000000.0,8749576000000.0,8199049000000.0,8621849000000.0,8401727000000.0,8575299000000.0,8683289000000.0,8314329000000.0,8001407000000.0,8240763000000.0,7758476000000.0,7260221000000.0,6581783000000.0,6909209000000.0,6221896000000.0,6397744000000.0,5886640000000.0,6149756000000.0,6200196000000.0,5934033000000.0,5885210000000.0,5772909000000.0,5429684689462.0,5588030566788.0,5805508811790.0,5692072000000.0,5327969941116.0,4673264034909.0,4675651246278.0,3391139210394.0,2481172492492.0,3001038448979.0,2512860043214.0,2816793353177.0,3426448242560.0,3531537602504.0,6847485039056.0,4066791445437.0,-4263839138.0,-7852352255.0
31,dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,1963585000000.0,1696586000000.0,1900062000000.0,2158495000000.0,2139728000000.0,2256754000000.0,2370577000000.0,2200674000000.0,2348355000000.0,2347746000000.0,2494377000000.0,2435645000000.0,2492166000000.0,2666981000000.0,2605597000000.0,2884630000000.0,2673446000000.0,2864954000000.0,2748495000000.0,2878951000000.0,2819055000000.0,2916720000000.0,2628455000000.0,2639773000000.0,2357495000000.0,2418312000000.0,2074354000000.0,2149493000000.0,1849142000000.0,2204102000000.0,1853807000000.0,1691980000000.0,1868519000000.0,2206488000000.0,1685210993910.0,1495354262358.0,,1985469000000.0,1408461022896.0,1317963928303.0,1220397138613.0,1102879423798.0,1266899167483.0,1051042982123.0,1115996250041.0,1298787267358.0,1386934477860.0,1213461850609.0,1014676414721.0,710548247863.0,503524975.0,1064325709.0
32,ifrs-full_TradeAndOtherCurrentPayables,기타채무,Other current payables,재무상태표 [abstract],부채 [abstract],유동부채,기타채무,1295296000000.0,1013740000000.0,1123346000000.0,1134144000000.0,1239459000000.0,1182054000000.0,1003739000000.0,946952000000.0,1136242000000.0,879357000000.0,1082752000000.0,905595000000.0,1314909000000.0,1350992000000.0,1157371000000.0,1159643000000.0,1203740000000.0,1147083000000.0,1285137000000.0,1023214000000.0,979265000000.0,985260000000.0,1005677000000.0,1004849000000.0,959635000000.0,1032720000000.0,787452000000.0,834448000000.0,880460000000.0,837673000000.0,726508000000.0,593361000000.0,649782000000.0,573687000000.0,382564867110.0,427687441484.0,,547756000000.0,472416289081.0,,,,,,,,,,,,,
33,dart_AdvancesOnConstructionContracts,공사 및 분양선수금,Advances on construction contracts and house office sales,재무상태표 [abstract],부채 [abstract],유동부채,공사 및 분양선수금,1059811000000.0,934384000000.0,1114256000000.0,1047168000000.0,1278827000000.0,1193947000000.0,1309167000000.0,1328774000000.0,1176569000000.0,1388429000000.0,1478406000000.0,1859183000000.0,2025584000000.0,1986132000000.0,2065675000000.0,2222216000000.0,2508088000000.0,2508349000000.0,2528742000000.0,2438861000000.0,2305010000000.0,2305298000000.0,2285004000000.0,1846162000000.0,1760121000000.0,1755516000000.0,1723592000000.0,1969362000000.0,1901535000000.0,1533432000000.0,1908163000000.0,1896456000000.0,1883120000000.0,1590476000000.0,1847506471675.0,2010448089139.0,,1526150000000.0,1023886529898.0,,,,,,,,,,,,,
34,dart_ShortTermDueToCustomersForContractWork,초과청구공사,Customers for contract work,재무상태표 [abstract],부채 [abstract],유동부채,초과청구공사,2082085000000.0,1886336000000.0,1517849000000.0,1499888000000.0,1495450000000.0,1461712000000.0,1314373000000.0,1499185000000.0,1566314000000.0,1781887000000.0,1647029000000.0,1892813000000.0,1700189000000.0,1910505000000.0,1582100000000.0,1427341000000.0,1223999000000.0,1482801000000.0,1233054000000.0,1127721000000.0,1065918000000.0,1160990000000.0,939274000000.0,973734000000.0,838231000000.0,938329000000.0,791753000000.0,738690000000.0,498525000000.0,706489000000.0,693226000000.0,684277000000.0,747616000000.0,789901000000.0,932360727684.0,1039752707925.0,952617355853.0,938919000000.0,1396542161068.0,,,,,,,,,,,,,
35,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,492493000000.0,415114000000.0,419603000000.0,293448000000.0,271950000000.0,272242000000.0,285296000000.0,281287000000.0,297008000000.0,362580000000.0,276976000000.0,194370000000.0,202194000000.0,163407000000.0,252284000000.0,356496000000.0,257298000000.0,198536000000.0,438122000000.0,438548000000.0,290607000000.0,275595000000.0,286431000000.0,240740000000.0,172363000000.0,239094000000.0,253682000000.0,206479000000.0,114427000000.0,185900000000.0,358595000000.0,493399000000.0,244970000000.0,169672000000.0,286276910542.0,305295577670.0,221296442165.0,262177000000.0,380524456776.0,380524456776.0,524556963291.0,193298310881.0,265090472006.0,280177815887.0,352380309301.0,192254010365.0,193089431942.0,166277148571.0,1775963021310.0,1611851699291.0,2073454287.0,4730830531.0
36,dart_CurrentPortionOfBonds,유동성장기부채,Current portion of bonds,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기부채,389885000000.0,423036000000.0,409647000000.0,528480000000.0,272736000000.0,328612000000.0,412736000000.0,323584000000.0,417712000000.0,223621000000.0,371979000000.0,472426000000.0,366800000000.0,428436000000.0,384005000000.0,389246000000.0,388691000000.0,238528000000.0,228654000000.0,172887000000.0,332600000000.0,360945000000.0,427697000000.0,306700000000.0,364145000000.0,413978000000.0,486412000000.0,377108000000.0,422282000000.0,439399000000.0,407541000000.0,312099000000.0,186932000000.0,176935000000.0,105495368158.0,103957976283.0,104065763192.0,104029000000.0,349272477714.0,349820666660.0,412205535347.0,465280266660.0,109530266660.0,835044473211.0,187521220717.0,345643225727.0,369862274869.0,307232086150.0,1889659194996.0,1043783252061.0,1282974437.0,1325598303.0
37,dart_CurrentDerivativeLiabilities,파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,파생상품부채,,,,,,,,140000000.0,122000000.0,122000000.0,113000000.0,113000000.0,138000000.0,176000000.0,301000000.0,248000000.0,256000000.0,261000000.0,307000000.0,293000000.0,331000000.0,266000000.0,,,,,27000000.0,252000000.0,567000000.0,18000000.0,141000000.0,278000000.0,777000000.0,983000000.0,3494473688.0,1669220836.0,2097005452.0,2839000000.0,18310915267.0,18310915267.0,53911926781.0,,,,,,,,,,,
38,ifrs-full_CurrentTaxLiabilities,법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,법인세부채,115791000000.0,65774000000.0,70905000000.0,133305000000.0,74228000000.0,40094000000.0,85723000000.0,178705000000.0,172410000000.0,155381000000.0,144593000000.0,149457000000.0,156247000000.0,139410000000.0,95310000000.0,127901000000.0,84807000000.0,76462000000.0,104918000000.0,91419000000.0,66608000000.0,14210000000.0,102004000000.0,107561000000.0,79732000000.0,73051000000.0,69045000000.0,88871000000.0,126886000000.0,125676000000.0,85451000000.0,89827000000.0,96808000000.0,89610000000.0,84098691215.0,86650729596.0,121232847281.0,162598000000.0,130647569299.0,,,,,,,,,,,,,
39,ifrs-full_CurrentProvisions,유동성충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,유동성충당부채,171582000000.0,172805000000.0,34135000000.0,59142000000.0,42343000000.0,34066000000.0,28399000000.0,49635000000.0,41262000000.0,546000000.0,614000000.0,613000000.0,596000000.0,30000000.0,406842000000.0,406378000000.0,453590000000.0,,440146000000.0,436662000000.0,440065000000.0,,470559000000.0,6974000000.0,362950000000.0,,337561000000.0,348263000000.0,325540000000.0,,278224000000.0,273104000000.0,268697000000.0,,163901754500.0,29643141732.0,24824203972.0,,,,,,,,,,,,,,,
40,ifrs-full_OtherCurrentFinancialLiabilities,기타금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타금융부채,30464000000.0,42064000000.0,16287000000.0,16728000000.0,17347000000.0,14493000000.0,16738000000.0,16074000000.0,14261000000.0,10990000000.0,11271000000.0,11209000000.0,11173000000.0,12287000000.0,12939000000.0,15710000000.0,15781000000.0,15820000000.0,16043000000.0,16008000000.0,13093000000.0,16338000000.0,15097000000.0,16172000000.0,15835000000.0,17890000000.0,17549000000.0,19486000000.0,13898000000.0,15861000000.0,15073000000.0,27201000000.0,26711000000.0,28707000000.0,27372515415.0,,,26536000000.0,22613462390.0,,,,,,,,,,,,,
41,dart_CurentPortionOfFinanceLeaseLiabilities,유동성리스부채,Curent portion of finance lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성리스부채,47705000000.0,58315000000.0,33828000000.0,35204000000.0,19835000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,56437000000.0,62713000000.0,67641000000.0,49133000000.0,81775000000.0,76901000000.0,56984000000.0,74004000000.0,46739000000.0,68379000000.0,43297000000.0,54732000000.0,52320000000.0,91396000000.0,43768000000.0,38666000000.0,45877000000.0,42766000000.0,97965000000.0,126339000000.0,129251000000.0,205407000000.0,68837000000.0,117556000000.0,34226000000.0,20319000000.0,18030000000.0,13555000000.0,78918000000.0,100598000000.0,150330000000.0,143786000000.0,178966000000.0,145612000000.0,75303670065.0,87571419765.0,157624722967.0,135599000000.0,125295056727.0,,,,,,,,,,,,,
43,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,2880938000000.0,2741123000000.0,2747704000000.0,2853902000000.0,3074122000000.0,2901878000000.0,2896480000000.0,2896444000000.0,2847563000000.0,2739926000000.0,2789014000000.0,2762074000000.0,2880662000000.0,2999222000000.0,3265063000000.0,3297631000000.0,3276856000000.0,3384166000000.0,3779241000000.0,3789170000000.0,3514426000000.0,3216531000000.0,3313159000000.0,3276153000000.0,3037253000000.0,2623048000000.0,2759918000000.0,2245026000000.0,2123146000000.0,1841137000000.0,1677428000000.0,1757180000000.0,1900518000000.0,1735506000000.0,1833423773920.0,1562302231300.0,1363779112024.0,1365960000000.0,787826480015.0,927599319196.0,1028108269076.0,1220318800626.0,1584764837197.0,909164693397.0,1266541081670.0,1347934417528.0,1373935150453.0,1909548306662.0,1285522295815.0,2911838213671.0,-3000989428.0,-4156861874.0
44,dart_LongTermTradeAndOtherNonCurrentPayables,장기기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기기타채무,336155000000.0,394795000000.0,422801000000.0,414717000000.0,383054000000.0,425499000000.0,433528000000.0,486892000000.0,448915000000.0,450026000000.0,398455000000.0,382846000000.0,371142000000.0,452824000000.0,436935000000.0,529120000000.0,489579000000.0,,551742000000.0,478472000000.0,423189000000.0,,393755000000.0,362723000000.0,355697000000.0,,268579000000.0,246124000000.0,235944000000.0,,249702000000.0,263790000000.0,266783000000.0,,286543839774.0,296278215517.0,,,,,,,,,,,,,,,,
45,dart_BondsIssued,사채,Bonds issued,재무상태표 [abstract],부채 [abstract],비유동부채,사채,1426607000000.0,1247435000000.0,1247184000000.0,1246935000000.0,1496525000000.0,1347438000000.0,1347194000000.0,1446844000000.0,1446581000000.0,1347463000000.0,1437172000000.0,1436938000000.0,1536632000000.0,1536389000000.0,1686193000000.0,1636320000000.0,1636111000000.0,1735733000000.0,1845293000000.0,1944860000000.0,1695304000000.0,1346313000000.0,1445956000000.0,1147017000000.0,1246695000000.0,1047146000000.0,847675000000.0,947337000000.0,847758000000.0,847563000000.0,797916000000.0,797716000000.0,997178000000.0,897323000000.0,897071056200.0,697665459623.0,548365743728.0,548205000000.0,199496062047.0,200000000000.0,340010000000.0,783830135150.0,1222960123600.0,590000000000.0,906532591810.0,935856197000.0,971082417329.0,1141712110000.0,197512386880.0,1448648756840.0,2267629250.0,1634785018.0
46,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,503483000000.0,503417000000.0,364714000000.0,486067000000.0,491730000000.0,458363000000.0,469927000000.0,336609000000.0,348171000000.0,348102000000.0,359664000000.0,370047000000.0,381609000000.0,431693000000.0,387497000000.0,398693000000.0,401962000000.0,459873000000.0,466572000000.0,478177000000.0,509276000000.0,614570000000.0,635632000000.0,994644000000.0,762053000000.0,601358000000.0,1034322000000.0,444450000000.0,475307000000.0,223380000000.0,193815000000.0,266339000000.0,212726000000.0,181197000000.0,250723167401.0,161071907420.0,79282322282.0,77705000000.0,44639942303.0,182894598680.0,169095966680.0,131704066680.0,92133666680.0,75703266680.0,140039227991.0,170022223171.0,175053536792.0,173524924500.0,265022529857.0,109653493585.0,425169755.0,1809156029.0
47,dart_NonCurrentDerivativeLiabilities,파생상품부채,Non-current derivative liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,파생상품부채,,,,,,,,140000000.0,35000000.0,55000000.0,113000000.0,113000000.0,138000000.0,176000000.0,301000000.0,248000000.0,256000000.0,261000000.0,2159000000.0,381000000.0,331000000.0,266000000.0,,,,,27000000.0,252000000.0,567000000.0,626000000.0,1502000000.0,1647000000.0,1786000000.0,1821000000.0,3494473688.0,1669220836.0,2097005452.0,2839000000.0,18310915267.0,18310915267.0,53911926781.0,,,,,,,,,,,
48,dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,14103000000.0,7941000000.0,1975000000.0,7417000000.0,27212000000.0,17034000000.0,24083000000.0,15509000000.0,12415000000.0,2349000000.0,66472000000.0,48781000000.0,32711000000.0,,228507000000.0,204679000000.0,185770000000.0,,369319000000.0,348431000000.0,349668000000.0,,282798000000.0,263443000000.0,241537000000.0,,206497000000.0,191321000000.0,193560000000.0,,109951000000.0,103709000000.0,97220000000.0,,183403928267.0,202582130088.0,214739318416.0,,,,,,,,,,,,,,,
49,ifrs-full_NoncurrentProvisionsForEmployeeBenefits,장기종업원급여충당부채,Non-current provisions for employee benefits,재무상태표 [abstract],부채 [abstract],비유동부채,장기종업원급여충당부채,26868000000.0,27833000000.0,21330000000.0,21058000000.0,20653000000.0,21291000000.0,19233000000.0,18849000000.0,18510000000.0,19206000000.0,17691000000.0,17614000000.0,17138000000.0,17725000000.0,16083000000.0,15984000000.0,15572000000.0,9401000000.0,11424000000.0,11412000000.0,11267000000.0,11601000000.0,12144000000.0,11978000000.0,11678000000.0,11818000000.0,15532000000.0,15148000000.0,14730000000.0,16043000000.0,16466000000.0,15836000000.0,17270000000.0,16709000000.0,13392632303.0,12910981801.0,13779593575.0,13385000000.0,7739889918.0,,,,,,,,,,,,,
50,ifrs-full_NoncurrentProvisions,충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,373973000000.0,388254000000.0,487901000000.0,475598000000.0,453011000000.0,451076000000.0,423913000000.0,412800000000.0,396249000000.0,404869000000.0,614000000.0,613000000.0,596000000.0,,406842000000.0,406378000000.0,453590000000.0,387952000000.0,440146000000.0,436662000000.0,440065000000.0,405840000000.0,470559000000.0,6974000000.0,362950000000.0,351774000000.0,337561000000.0,348263000000.0,325540000000.0,322685000000.0,278224000000.0,273104000000.0,268697000000.0,279470000000.0,163901754500.0,29643141732.0,24824203972.0,192621000000.0,119848848235.0,,,,,,,,,,,,,
51,ifrs-full_OtherNoncurrentFinancialLiabilities,기타금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타금융부채,109972000000.0,96196000000.0,120852000000.0,116124000000.0,113837000000.0,113404000000.0,110894000000.0,110204000000.0,108044000000.0,100039000000.0,11271000000.0,11209000000.0,11173000000.0,12287000000.0,12939000000.0,15710000000.0,15781000000.0,15820000000.0,16043000000.0,16008000000.0,13093000000.0,16338000000.0,15097000000.0,16172000000.0,15835000000.0,17890000000.0,17549000000.0,19486000000.0,13898000000.0,15861000000.0,15073000000.0,27201000000.0,26711000000.0,28707000000.0,27372515415.0,,,26536000000.0,22613462390.0,,,,,,,,,,,,,
52,ifrs-full_NoncurrentLeaseLiabilities,리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,리스부채,21444000000.0,15311000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,55079000000.0,56756000000.0,61613000000.0,61587000000.0,58709000000.0,59416000000.0,58730000000.0,58629000000.0,58174000000.0,57437000000.0,16483000000.0,16053000000.0,16969000000.0,20247000000.0,21831000000.0,27149000000.0,24817000000.0,24467000000.0,20918000000.0,19785000000.0,16722000000.0,17190000000.0,13686000000.0,14629000000.0,12581000000.0,12914000000.0,11500000000.0,11904000000.0,11594000000.0,12224000000.0,10760000000.0,12170000000.0,13470000000.0,13734000000.0,13045371439.0,12039714840.0,11761723986.0,12690000000.0,11887512288.0,,,,,,,,,,,,,
54,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,13254000000.0,3185000000.0,2705000000.0,7415000000.0,8870000000.0,8357000000.0,8978000000.0,10108000000.0,10469000000.0,10380000000.0,3768000000.0,3815000000.0,3716000000.0,4187000000.0,6810000000.0,7327000000.0,2726000000.0,2912000000.0,3095000000.0,3304000000.0,3517000000.0,3721000000.0,80000000.0,6966000000.0,4270000000.0,3397000000.0,1382000000.0,3254000000.0,3091000000.0,125000000.0,102000000.0,125000000.0,33000000.0,,21239880.0,,,,522605705.0,,,,,,,,,,,,,
55,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,10586072000000.0,9511990000000.0,9455263000000.0,9809037000000.0,10007800000000.0,9762753000000.0,9780212000000.0,9795458000000.0,10064557000000.0,9958964000000.0,10340308000000.0,10738117000000.0,11202840000000.0,11748798000000.0,11464112000000.0,11919480000000.0,11678583000000.0,11959465000000.0,12462530000000.0,12103499000000.0,11515833000000.0,11457294000000.0,11071635000000.0,10536374000000.0,9619036000000.0,9532257000000.0,8981814000000.0,8642770000000.0,8009786000000.0,7990893000000.0,7877624000000.0,7691213000000.0,7785728000000.0,7508415000000.0,7263108463382.0,7150332798088.0,7169287923814.0,7058032000000.0,6115796421131.0,5600863354105.0,5703759515354.0,4611458011020.0,4065937329689.0,3910203142376.0,3779401124884.0,4164727770705.0,4800383393013.0,5441085909166.0,8133007334871.0,6978629659108.0,7264828566.0,12025187896.0
56,ifrs-full_EquityAttributableToOwnersOfParent,지배기업소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,,6748668000000.0,6662556000000.0,6796882000000.0,6580409000000.0,6410214000000.0,6274094000000.0,6379320000000.0,6377907000000.0,6190330000000.0,6467646000000.0,6484289000000.0,6392858000000.0,6185878000000.0,6329025000000.0,5979430000000.0,6006117000000.0,5853969000000.0,,5701764000000.0,5554686000000.0,5449901000000.0,5291515000000.0,5311711000000.0,5186102000000.0,4941812000000.0,4822604000000.0,4859166000000.0,4713519000000.0,4597085000000.0,4548542000000.0,4512567000000.0,4367634000000.0,4306664000000.0,4203075000000.0,4108897627521.0,,,3827806000000.0,,,,,,,,,,,,,,
57,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,자본금,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273000000.0,557273105000.0,557273105000.0,557273105000.0,557273000000.0,557273105000.0,557273105000.0,555486100000.0,554755150000.0,553670400000.0,547153025000.0,545793800000.0,279806045000.0,2444329335000.0,2425530855000.0,1632017910000.0,1335390580000.0,-529321535.0,-299321535.0
58,dart_CapitalSurplus,기타불입자본,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,기타불입자본,1013458000000.0,1013764000000.0,1012688000000.0,1012688000000.0,996843000000.0,997930000000.0,1026700000000.0,1026700000000.0,1028151000000.0,1028151000000.0,1028151000000.0,1035454000000.0,1035454000000.0,1035424000000.0,1035424000000.0,1035424000000.0,1035424000000.0,1035424000000.0,1025274000000.0,1025274000000.0,1024542000000.0,1024542000000.0,1024187000000.0,1024187000000.0,826320000000.0,826320000000.0,826320000000.0,826308000000.0,826174000000.0,826174000000.0,826174000000.0,826174000000.0,826173000000.0,822809000000.0,822808763591.0,822808763591.0,822808763591.0,822809000000.0,824028763161.0,,,,,,,,,,,,,
59,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,기타자본구성요소,-175595000000.0,-233700000000.0,-131452000000.0,-184906000000.0,-194502000000.0,-267546000000.0,-235525000000.0,-173814000000.0,-140216000000.0,68973000000.0,109008000000.0,67385000000.0,-5102000000.0,114516000000.0,-37638000000.0,85925000000.0,71568000000.0,40406000000.0,28661000000.0,-13174000000.0,-12579000000.0,11366000000.0,-42215000000.0,-78551000000.0,-14640000000.0,-20520000000.0,47727000000.0,55233000000.0,52793000000.0,85856000000.0,133549000000.0,145244000000.0,189109000000.0,148268000000.0,152715109509.0,192374768048.0,276036917458.0,307929000000.0,186728095680.0,,,,,,,,,,,,,
60,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,이익잉여금,5353532000000.0,5325219000000.0,5358373000000.0,5195354000000.0,5050600000000.0,4986437000000.0,5030872000000.0,4967748000000.0,4745122000000.0,4813249000000.0,4789857000000.0,4732746000000.0,4598253000000.0,4621812000000.0,4424371000000.0,4327495000000.0,4189704000000.0,4087191000000.0,4090556000000.0,3985313000000.0,3880665000000.0,3698334000000.0,3772466000000.0,3683193000000.0,3572859000000.0,3459531000000.0,3427846000000.0,3274705000000.0,3160845000000.0,3079239000000.0,2995571000000.0,2838943000000.0,2734109000000.0,2674725000000.0,2576100649421.0,2356514181597.0,2183061682414.0,2139795000000.0,1728934204010.0,,,,,,,,,,,,,
61,ifrs-full_NoncontrollingInterests,비지배주주지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배주주지분,,2041855000000.0,2052426000000.0,2090210000000.0,2029378000000.0,2027173000000.0,2017762000000.0,2021399000000.0,1973864000000.0,1932652000000.0,2005292000000.0,1922199000000.0,1834558000000.0,1782018000000.0,1795620000000.0,1748881000000.0,1703880000000.0,1664916000000.0,,1574940000000.0,1532276000000.0,1485856000000.0,1495791000000.0,1473068000000.0,1428469000000.0,332125000000.0,311640000000.0,299197000000.0,233569000000.0,225892000000.0,207394000000.0,192156000000.0,177966000000.0,166440000000.0,160399000000.0,143311109728.0,123633606630.0,114166558378.0,110575000000.0,,,,,,,,,,,,,,
62,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,8790523000000.0,8714982000000.0,8887092000000.0,8609787000000.0,8437387000000.0,8291856000000.0,8400719000000.0,8351771000000.0,8122982000000.0,8472938000000.0,8406488000000.0,8227416000000.0,7967896000000.0,8124645000000.0,7728311000000.0,7709997000000.0,7518885000000.0,7390638000000.0,7276704000000.0,7086962000000.0,6935757000000.0,6787306000000.0,6784779000000.0,6614571000000.0,5273937000000.0,5134244000000.0,5158363000000.0,4947088000000.0,4822977000000.0,4755936000000.0,4704723000000.0,4545600000000.0,4473104000000.0,4363474000000.0,4252208737249.0,4052604424866.0,3953347026841.0,3938381000000.0,3381235622169.0,3079528967101.0,2921474337425.0,2329991229259.0,1840600542321.0,1330220615908.0,880473760093.0,743932571955.0,598259581783.0,692725533226.0,-868857283972.0,2329944616963.0,1364301945.0,1200091080.0
63,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,19376595000000.0,18226972000000.0,18342355000000.0,18418824000000.0,18445187000000.0,18054609000000.0,18180931000000.0,18147229000000.0,18187539000000.0,18431902000000.0,18746796000000.0,18965533000000.0,19170736000000.0,19873443000000.0,19192423000000.0,19629477000000.0,19197468000000.0,19350103000000.0,19739234000000.0,19190461000000.0,18451590000000.0,,17856414000000.0,17150945000000.0,14892973000000.0,,14140177000000.0,13589858000000.0,12832763000000.0,,12582347000000.0,12236813000000.0,12258832000000.0,,11515317200631.0,11202937222954.0,11122634950655.0,10996413000000.0,9497032043300.0,,,,,,,,,,,,,
