,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8,dart_CurrentDerivativeAsset,파생상품자산,Current derivative asset,재무상태표 [abstract],자산 [abstract],유동자산,파생상품자산,,,,3000000.0,7000000.0,9000000.0,10000000.0,14000000.0,22000000.0,,,,,,,,,,357000000.0,,,11000000.0,,,,4000000.0,578000000.0,11000000.0,,1982000000.0,5200000000.0,6816000000.0,6341000000.0,8070000000.0,6642061699.0,3320867345.0,4711565221.0,8898000000.0,18848088598.0,18848088598.0,41507664068.0,,,,,,,,,,,
9,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,1597460000000.0,1723425000000.0,1783001000000.0,1804761000000.0,1858814000000.0,1947052000000.0,2065555000000.0,2187310000000.0,2243607000000.0,2105517000000.0,1905055000000.0,1089039000000.0,1150608000000.0,1199362000000.0,1223721000000.0,1339284000000.0,1154719000000.0,1328564000000.0,1219549000000.0,1153235000000.0,1313761000000.0,1336864000000.0,1434073000000.0,1449864000000.0,1244046000000.0,1285689000000.0,1126391000000.0,1167354000000.0,1083912000000.0,1128456000000.0,1255339000000.0,1275840000000.0,1411587000000.0,1282738000000.0,1234849827063.0,1259357395346.0,1367338742676.0,1334317000000.0,1137127795319.0,849423666309.0,822063700213.0,402650870651.0,401559126958.0,463767782520.0,228443204080.0,260404314199.0,393838642789.0,536554059777.0,605992077508.0,961035085645.0,-769461088.0,-1488955777.0
10,ifrs-full_CurrentTaxAssets,법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,법인세자산,2977000000.0,3318000000.0,4362000000.0,5216000000.0,7453000000.0,4898000000.0,7168000000.0,6927000000.0,3815000000.0,3749000000.0,3337000000.0,3277000000.0,3245000000.0,4307000000.0,5094000000.0,4066000000.0,1986000000.0,2196000000.0,2266000000.0,440000000.0,4549000000.0,4923000000.0,4831000000.0,160000000.0,879000000.0,825000000.0,757000000.0,792000000.0,1140000000.0,93000000.0,55000000.0,8000000.0,283000000.0,249000000.0,345108229.0,341365696.0,508268870.0,420000000.0,,,,,,,,,,,,,,
11,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,1310998000000.0,1122782000000.0,1134033000000.0,1011522000000.0,1167676000000.0,1125176000000.0,1155957000000.0,1170133000000.0,1205731000000.0,1297819000000.0,1371414000000.0,1780578000000.0,1789325000000.0,1925573000000.0,1982282000000.0,1893055000000.0,1919175000000.0,1674923000000.0,1712748000000.0,1454477000000.0,1302677000000.0,1215168000000.0,1225017000000.0,1228444000000.0,1132104000000.0,969317000000.0,1148253000000.0,1162519000000.0,1204881000000.0,1122644000000.0,1170142000000.0,1164290000000.0,1067929000000.0,980146000000.0,944739984033.0,939545628217.0,875799213658.0,735399000000.0,814958736263.0,,,,,,,,,,,,,
12,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,4893465000000.0,5054979000000.0,4674171000000.0,4651048000000.0,4819624000000.0,4717841000000.0,4859713000000.0,5026421000000.0,5119950000000.0,5182062000000.0,5026376000000.0,5100728000000.0,4980023000000.0,4935519000000.0,4862846000000.0,4977041000000.0,4955975000000.0,5121679000000.0,5156190000000.0,4981540000000.0,4859885000000.0,4803452000000.0,4805938000000.0,4772425000000.0,3650045000000.0,3623681000000.0,3623290000000.0,3083922000000.0,3136468000000.0,3136164000000.0,3397481000000.0,3375679000000.0,3266773000000.0,3160587000000.0,3034753742678.0,3051573184863.0,3048415499251.0,3124205000000.0,2969435518748.0,3002204288124.0,2804255941886.0,2558769351223.0,2434112909658.0,2164538337632.0,2084262073924.0,2129754587211.0,2282806846013.0,2291318439742.0,2680652584352.0,3706136151080.0,-3037055866.0,-4232780230.0
13,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,19935000000.0,22304000000.0,15487000000.0,5213000000.0,8108000000.0,7531000000.0,273221000000.0,249976000000.0,481440000000.0,611111000000.0,346947000000.0,403112000000.0,247960000000.0,249782000000.0,2444000000.0,1522000000.0,1509000000.0,101396000000.0,111944000000.0,1865000000.0,1828000000.0,14372000000.0,4212000000.0,34153000000.0,38515000000.0,54123000000.0,8540000000.0,9344000000.0,89041000000.0,89131000000.0,61825000000.0,64935000000.0,49550000000.0,94458000000.0,4666409172.0,27610213739.0,50000000.0,50000000.0,50000000.0,46000000.0,52500000.0,51000000.0,140179500.0,643679500.0,552000000.0,554500000.0,282584550.0,55500000.0,8047500000.0,624450000.0,,
14,dart_LongTermTradeReceivablesGross,장기미수채권,"Long-term trade receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기미수채권,352838000000.0,358977000000.0,407668000000.0,392885000000.0,386518000000.0,379385000000.0,375836000000.0,376794000000.0,358399000000.0,364030000000.0,388854000000.0,386416000000.0,378537000000.0,409017000000.0,371879000000.0,394422000000.0,390615000000.0,396554000000.0,403935000000.0,380497000000.0,374082000000.0,372070000000.0,347755000000.0,335764000000.0,353774000000.0,349296000000.0,356016000000.0,380542000000.0,368088000000.0,354519000000.0,340185000000.0,350600000000.0,324043000000.0,328457000000.0,335919125275.0,307044230487.0,,324362000000.0,332507095021.0,693786732142.0,771345611657.0,593498980254.0,605904330416.0,680466600268.0,990838488496.0,1095905009463.0,510693655580.0,563024817809.0,454943853505.0,,,
15,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기성기타채권,"Other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기성기타채권,1089718000000.0,1236123000000.0,803959000000.0,791233000000.0,1017827000000.0,975213000000.0,831905000000.0,968800000000.0,926377000000.0,906373000000.0,947509000000.0,934040000000.0,875230000000.0,895090000000.0,936601000000.0,1014265000000.0,999782000000.0,1003689000000.0,979992000000.0,974175000000.0,797869000000.0,736272000000.0,775890000000.0,689053000000.0,612686000000.0,567922000000.0,595940000000.0,600212000000.0,583835000000.0,516393000000.0,821356000000.0,787758000000.0,686215000000.0,650895000000.0,593190022804.0,571903704970.0,,527819000000.0,530621958779.0,,,,,,,,,,,,,
16,entity00164478_udf_BS_2020324172257370_NoncurrentAssets,매도가능금융자산,Available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,매도가능금융자산,,,,,,,,,,266255000000.0,273901000000.0,279653000000.0,280478000000.0,267404000000.0,295088000000.0,305751000000.0,358604000000.0,429791000000.0,407378000000.0,404770000000.0,454424000000.0,466564000000.0,428710000000.0,396543000000.0,399050000000.0,408322000000.0,479652000000.0,447403000000.0,465703000000.0,558496000000.0,619667000000.0,601866000000.0,662170000000.0,598329000000.0,593319611075.0,654020205340.0,106984960000.0,106985000000.0,118731520000.0,,,,,,,,,,,,,
17,entity00164478_udf_BS_2020324172124186_NoncurrentAssets,만기보유금융자산,Held-to-maturity investments,재무상태표 [abstract],자산 [abstract],비유동자산,만기보유금융자산,,,,,,,,,,25759000000.0,82781000000.0,82563000000.0,164101000000.0,267135000000.0,16944000000.0,17033000000.0,16302000000.0,64739000000.0,20448000000.0,21248000000.0,18789000000.0,22550000000.0,22130000000.0,20938000000.0,20997000000.0,22661000000.0,19646000000.0,24460000000.0,25223000000.0,23503000000.0,24645000000.0,18997000000.0,16983000000.0,19032000000.0,21601470000.0,21457220000.0,22271775000.0,18836000000.0,13031930000.0,,,,,,,,,,,,,
