,Statement of financial position(Unit: KRW),20191231,20181231,20171231,20161231,20151231,20141231,20140630,20131231,20130630,20130331,20121231,20120630,20120331,20120101,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
13,"XIII.기타자산(주석14,21,23,37,45)",7111340000000.0,7023665000000.0,7862338000000.0,9969828000000.0,6027535000000.0,4389142000000.0,8264422000000.0,6011064000000.0,7806402000000.0,8450038000000.0,5261374000000.0,5758610000000.0,7751869000000.0,4501531000000.0,4498379000000.0,6119158000000.0,5042784000000.0,7856884000000.0,3649253000000.0,3351783000000.0,5713371000000.0,9169954000000.0,4276640000000.0,3186718000000.0,2682402000000.0,4404721000000.0,-5563226000000.0,4048410000000.0,-3023688000000.0,-2608758.0,,1332275000000.0,1343586000000.0
14,자산총계,318111038000000.0,289509449000000.0,274069731000000.0,256851380000000.0,239842781000000.0,219760786000000.0,219250896000000.0,212582797000000.0,209005479000000.0,204347525000000.0,198270298000000.0,197693073000000.0,193405822000000.0,186414794000000.0,185976134000000.0,185993383000000.0,175865157000000.0,179307859000000.0,171030073000000.0,155032112000000.0,154510265000000.0,144428039000000.0,122223778000000.0,105870439000000.0,87290587000000.0,75998162000000.0,72901995000000.0,66535579000000.0,60537369000000.0,54121380.0,45825221000000.0,45690968000000.0,44632030000000.0
15,부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2899868000000.0,-177000000.0,-355000000.0
16,"Ⅰ.당기손익금융부채(주석4,23,45)",1844816000000.0,1636094000000.0,2297583000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2899868000000.0,-177000000.0,-355000000.0
17,"Ⅱ.당기손익인식지정금융부채(주석4,23,45)",1395415000000.0,1826273000000.0,1427235000000.0,1233788000000.0,1455597000000.0,1548077000000.0,1096761000000.0,621216000000.0,353310000000.0,408703000000.0,590311000000.0,608831000000.0,527251000000.0,307650000000.0,307650000000.0,179766000000.0,91696000000.0,126320000000.0,106232000000.0,,,,,,,,,,,,2899868000000.0,-177000000.0,-355000000.0
18,"Ⅲ.예수부채(주석15,23,45)",117991135000000.0,109556300000000.0,112590632000000.0,103984113000000.0,95284755000000.0,85428947000000.0,82429631000000.0,80846495000000.0,80699089000000.0,77517874000000.0,76324919000000.0,71815124000000.0,69794659000000.0,67421093000000.0,66919658000000.0,62428441000000.0,61153196000000.0,58371862000000.0,58889921000000.0,50375592000000.0,51598990000000.0,40766713000000.0,37672029000000.0,37896754000000.0,41073424000000.0,38042428000000.0,-35152874000000.0,33167100000000.0,-30094259000000.0,-26349237.0,18960280000000.0,13326997000000.0,11458802000000.0
19,"Ⅳ.차입부채(주석16,23,45)",30749799000000.0,28050948000000.0,27339704000000.0,26670496000000.0,27553735000000.0,25464292000000.0,26403050000000.0,25881987000000.0,26401119000000.0,26466006000000.0,24763373000000.0,30897267000000.0,28633014000000.0,29514355000000.0,29514355000000.0,30988955000000.0,26474451000000.0,28367248000000.0,28207893000000.0,26378539000000.0,86111838000000.0,83481996000000.0,71448882000000.0,56890450000000.0,,,,,,,2899868000000.0,-177000000.0,-355000000.0
20,"Ⅴ.사채(주석17,23,45)",123988398000000.0,109979080000000.0,94200567000000.0,90863125000000.0,84251048000000.0,79892242000000.0,79063741000000.0,78389744000000.0,72390337000000.0,69997277000000.0,70401453000000.0,68301525000000.0,66936065000000.0,65985484000000.0,65985484000000.0,65602598000000.0,64563355000000.0,66378603000000.0,63161238000000.0,59721993000000.0,684390000000.0,97487000000.0,77524000000.0,59955000000.0,39335000000.0,192397000000.0,670948000000.0,832239000000.0,122834000000.0,-6883926.0,7485675000000.0,,-355000000.0
21,"Ⅵ.위험회피회계파생상품부채(주석8,23,45)",82909000000.0,118073000000.0,283584000000.0,354174000000.0,286067000000.0,218174000000.0,113602000000.0,193384000000.0,158256000000.0,119352000000.0,171289000000.0,299004000000.0,246803000000.0,282748000000.0,282748000000.0,304300000000.0,217577000000.0,204691000000.0,216574000000.0,163767000000.0,,,,,,,,,,,2899868000000.0,-177000000.0,-355000000.0
22,Ⅶ.순확정급여부채(주석18),,26856000000.0,43810000000.0,25090000000.0,102843000000.0,72313000000.0,103516000000.0,57094000000.0,107502000000.0,90803000000.0,67667000000.0,39978000000.0,50452000000.0,35217000000.0,35217000000.0,51003000000.0,40657000000.0,28840000000.0,45109000000.0,3015000000.0,,,,,,,,,,,2899868000000.0,-177000000.0,-355000000.0
