,Income statement(Unit: KRW),20100401-20110331,20090401-20100331,20080401-20090331,20070401-20080331,20060401-20070331,20050401-20060331,20040401-20050331,20030401-20040331,20020401-20030331,20010401-20020331,20000401-20010331,19990401-20000331
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
33,가.파생상품거래이익,95246000000.0,414662000000.0,60020000000.0,87678000000.0,145291000000.0,223874000000.0,370162000000.0,231434000000.0,187928000000.0,,2714541911000.0,
34,나.파생상품평가이익(주석18),79487000000.0,225125000000.0,107923000000.0,88160000000.0,143932000000.0,133118000000.0,762725000000.0,354701000000.0,297914000000.0,,2714541911000.0,
35,다.기타,62334000000.0,31342000000.0,46106000000.0,33460000000.0,25944000000.0,35161000000.0,48120000000.0,142570000000.0,185160000000.0,130419000000.0,457492000.0,39220585000.0
36,,,,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
37,Ⅱ.영업비용,24285816000000.0,24907022000000.0,25207478000000.0,23864549000000.0,23323959000000.0,23147181000000.0,22867570000000.0,22122476000000.0,23110618000000.0,22191127000000.0,24353742805000.0,20921326994000.0
38,1.책임준비금전입액(주석14),7017280000000.0,4509259000000.0,4216760000000.0,3614127000000.0,5922034000000.0,4472502000000.0,5512645000000.0,5634320000000.0,6918822000000.0,5733875000000.0,6121283700000.0,4349721199000.0
39,2.지급보험금,9506674000000.0,11586075000000.0,11770052000000.0,12699802000000.0,10474238000000.0,11665557000000.0,10963463000000.0,10750498000000.0,10373189000000.0,11013118000000.0,12927519999000.0,11902920382000.0
40,가.보험금비용,1655880000000.0,1319761000000.0,1443169000000.0,1493116000000.0,1525388000000.0,2173013000000.0,1740112000000.0,2288671000000.0,1665704000000.0,1925350000000.0,3342910634000.0,2563160858000.0
41,나.환급금비용,7736526000000.0,10136487000000.0,10138907000000.0,11003624000000.0,8718613000000.0,9210650000000.0,8937386000000.0,8186738000000.0,8489967000000.0,8826187000000.0,9309307696000.0,9083043379000.0
42,다.배당금비용,114268000000.0,129827000000.0,187976000000.0,203062000000.0,230237000000.0,281894000000.0,285965000000.0,275089000000.0,217518000000.0,261581000000.0,275301669000.0,256716145000.0
43,3.재보험비용(주석25),284341000000.0,280949000000.0,273367000000.0,238486000000.0,217246000000.0,190368000000.0,114519000000.0,144764000000.0,121067000000.0,103759000000.0,,
44,가.재보험료비용,271048000000.0,269320000000.0,257194000000.0,230557000000.0,205131000000.0,173765000000.0,104225000000.0,133493000000.0,114341000000.0,94421000000.0,30829631000.0,24313777000.0
45,나.재보험금비용,10675000000.0,7776000000.0,11839000000.0,5049000000.0,7643000000.0,13253000000.0,6961000000.0,7220000000.0,4496000000.0,6570000000.0,,
46,다.재보험수수료비용,2618000000.0,3853000000.0,4334000000.0,2880000000.0,4472000000.0,3350000000.0,3333000000.0,4051000000.0,2230000000.0,2768000000.0,,
47,4.사업비(주석22),1558156000000.0,1359375000000.0,1196425000000.0,1275481000000.0,1191681000000.0,1188542000000.0,1442885000000.0,1404736000000.0,1155071000000.0,1212290000000.0,1305678661000.0,1095039640000.0
48,가.신계약비,1807685000000.0,1930792000000.0,1738730000000.0,1925545000000.0,1951116000000.0,1938973000000.0,1947341000000.0,1720106000000.0,1746304000000.0,1839253000000.0,1866530962000.0,1468186936000.0
49,나.유지비,1549501000000.0,1319306000000.0,1092412000000.0,1174121000000.0,1086069000000.0,943792000000.0,946367000000.0,878497000000.0,683048000000.0,568788000000.0,517217072000.0,487098402000.0
50,소계,3357186000000.0,3250098000000.0,2899925000000.0,3164244000000.0,3099919000000.0,2950619000000.0,,,,2648805000000.0,2714541911000.0,
51,이연신계약비(주석13),-1799030000000.0,-1890723000000.0,-1703500000000.0,-1888763000000.0,-1908238000000.0,-1762077000000.0,-1520281000000.0,-1272414000000.0,-1445948000000.0,-1436515000000.0,-1408863250000.0,-1092646192000.0
52,5.신계약비상각비(주석13),1856471000000.0,1903278000000.0,2158969000000.0,2112293000000.0,1967462000000.0,1867235000000.0,1240238000000.0,1243430000000.0,841459000000.0,518091000000.0,206686749000.0,
53,6.재산관리비(주석23),409120000000.0,389238000000.0,367933000000.0,352724000000.0,326077000000.0,309017000000.0,296849000000.0,262387000000.0,273506000000.0,218477000000.0,199556766000.0,186100553000.0
54,7.이자비용,14255000000.0,13411000000.0,10477000000.0,9418000000.0,7507000000.0,6988000000.0,3654000000.0,3297000000.0,6404000000.0,6320000000.0,3983731000.0,44077334000.0
55,8.유가증권평가및처분손실,51070000000.0,209668000000.0,724171000000.0,149061000000.0,50197000000.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
56,가.단기매매증권평가손실,853000000.0,330000000.0,23799000000.0,6337000000.0,,326000000.0,3463000000.0,39000000.0,7150000000.0,2648805000000.0,2714541911000.0,
57,나.단기매매증권처분손실,2551000000.0,953000000.0,12179000000.0,12932000000.0,10653000000.0,8539000000.0,4450000000.0,,9533000000.0,,2714541911000.0,
58,다.매도가능증권처분손실,34671000000.0,166565000000.0,318778000000.0,129792000000.0,39544000000.0,41614000000.0,23445000000.0,81049000000.0,72285000000.0,,2714541911000.0,
59,라.매도가능증권손상차손(주석5),12995000000.0,41820000000.0,369415000000.0,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
60,9.대출채권평가및처분손실,521000000.0,,7176000000.0,44320000000.0,104977000000.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
61,가.대출채권처분손실,521000000.0,,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
62,10.외환거래손실,54763000000.0,373147000000.0,243619000000.0,66045000000.0,157530000000.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
63,가.외화환산손실(주석30),11363000000.0,118909000000.0,89783000000.0,2000000.0,139846000000.0,42185000000.0,496858000000.0,,,2648805000000.0,2714541911000.0,
64,나.외환차손,43400000000.0,254238000000.0,153836000000.0,66043000000.0,17684000000.0,106154000000.0,148512000000.0,,,2648805000000.0,2714541911000.0,
65,11.무형자산상각비(주석10),34104000000.0,19335000000.0,21338000000.0,26525000000.0,31673000000.0,31397000000.0,32690000000.0,30874000000.0,28967000000.0,18696000000.0,992225000.0,22912157000.0
66,12.할인료,3101000000.0,1152000000.0,1466000000.0,2291000000.0,3571000000.0,2575000000.0,4609000000.0,9780000000.0,16489000000.0,19660000000.0,1388903000.0,1185224000.0
67,13.특별계정비용(주석12),3179886000000.0,3759799000000.0,2542069000000.0,2972580000000.0,2740794000000.0,2768864000000.0,2031903000000.0,1970870000000.0,2458584000000.0,2352457000000.0,2239010561000.0,2010367275000.0
68,14.부동산감가상각비(주석29),53161000000.0,55571000000.0,56198000000.0,60044000000.0,51630000000.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
69,15.기타영업비용,262913000000.0,446765000000.0,1617458000000.0,241352000000.0,77342000000.0,14033000000.0,163004000000.0,144375000000.0,191124000000.0,203579000000.0,9306936000.0,14899287000.0
70,가.파생상품거래손실,193871000000.0,346456000000.0,767292000000.0,41900000000.0,26906000000.0,138494000000.0,61039000000.0,60925000000.0,49198000000.0,,2714541911000.0,
71,나.파생상품평가손실(주석18),12586000000.0,38821000000.0,770313000000.0,97043000000.0,12483000000.0,42234000000.0,46004000000.0,61343000000.0,215547000000.0,,2714541911000.0,
72,다.기타의대손상각비,588000000.0,772000000.0,1199000000.0,795000000.0,1191000000.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
73,라.기타,55868000000.0,60716000000.0,78654000000.0,33460000000.0,25944000000.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
74,,,,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
75,Ⅲ.영업이익,1944422000000.0,854172000000.0,137456000000.0,748514000000.0,580105000000.0,140058000000.0,772525000000.0,595832000000.0,723724000000.0,651234000000.0,427887734000.0,-69118908000.0
76,,,,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
77,Ⅳ.영업외수익,771780000000.0,424709000000.0,294621000000.0,325946000000.0,174837000000.0,734897000000.0,415274000000.0,1062816000000.0,1148107000000.0,898750000000.0,906507605000.0,1249182747000.0
