,Statement of financial position(Unit: KRW),Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20120101,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231
,label_ko,comment,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8,Ⅷ.유형자산,"14,20",4098650000000.0,4083328000000.0,3615511000000.0,3548995000000.0,3625836000000.0,3003886000000.0,2984857000000.0,2986520000000.0,2980697000000.0,3021772000000.0,2987458000000.0,3005687000000.0,3122906000000.0,3145613000000.0,3108616000000.0,3114162000000.0,2971975000000.0,3055415000000.0,3006369000000.0,3012579000000.0,3114557000000.0,3147255000000.0,3088276000000.0,3181876000000.0,3194962000000.0,3214303000000.0,3172356000000.0,3174552000000.0,3110087000000.0,3108457000000.0,3005372000000.0,2973417000000.0,3015448000000.0,2993860000000.0,2993860000000.0,2486794000000.0,2956615000000.0,2996211000000.0,2976407000000.0,3003150000000.0,2323874000000.0,2411138000000.0,2407099000000.0,2212386000000.0,1885010000000.0,1858538000000.0,1878795000000.0,927231000000.0,656775560306.0
9,Ⅸ.무형자산,15,5551600000000.0,5558714000000.0,5668153000000.0,5585230000000.0,5624571000000.0,4320134000000.0,4297179000000.0,4313410000000.0,4290102000000.0,4273321000000.0,4224124000000.0,4238392000000.0,4240330000000.0,4226512000000.0,4227507000000.0,4235647000000.0,4262636000000.0,4266339000000.0,4223215000000.0,4220335000000.0,4244863000000.0,4152843000000.0,4168899000000.0,4188829000000.0,4208859000000.0,4226378000000.0,4226280000000.0,4244744000000.0,4253409000000.0,4195496000000.0,4242640000000.0,4253305000000.0,4249268000000.0,4203460000000.0,4203460000000.0,4056272000000.0,4065260000000.0,4048725000000.0,4072901000000.0,4065899000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
10,Ⅹ.관계기업에대한투자자산,16,2032581000000.0,1452861000000.0,1009837000000.0,840469000000.0,694235000000.0,671330000000.0,763472000000.0,730886000000.0,621690000000.0,631294000000.0,596936000000.0,619540000000.0,517327000000.0,353600000000.0,293142000000.0,236261000000.0,371533000000.0,393006000000.0,391353000000.0,370008000000.0,350682000000.0,341876000000.0,341137000000.0,328493000000.0,297105000000.0,328567000000.0,318173000000.0,320356000000.0,297227000000.0,298518000000.0,262325000000.0,258066000000.0,255486000000.0,248848000000.0,248848000000.0,342117000000.0,316912000000.0,317829000000.0,299812000000.0,246224000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
11,XI.당기법인세자산,,74565000000.0,88433000000.0,61759000000.0,54496000000.0,72841000000.0,45100000000.0,27795000000.0,27823000000.0,26985000000.0,25015000000.0,17107000000.0,13442000000.0,12215000000.0,12587000000.0,14509000000.0,10844000000.0,9365000000.0,9740000000.0,8788000000.0,4681000000.0,15195000000.0,10643000000.0,4805000000.0,5092000000.0,6154000000.0,6184000000.0,5710000000.0,5755000000.0,8622000000.0,14128000000.0,39013000000.0,14860000000.0,8825000000.0,9022000000.0,9022000000.0,,,,10656000000.0,9626000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
12,XII.이연법인세자산,42,63040000000.0,218254000000.0,174300000000.0,120309000000.0,248692000000.0,426965000000.0,444569000000.0,490573000000.0,589654000000.0,592283000000.0,497761000000.0,485093000000.0,510263000000.0,641061000000.0,408845000000.0,416427000000.0,313483000000.0,163944000000.0,193666000000.0,195252000000.0,173180000000.0,228356000000.0,119006000000.0,145703000000.0,207362000000.0,196780000000.0,116926000000.0,93933000000.0,37664000000.0,99964000000.0,52389000000.0,84037000000.0,16292000000.0,31464000000.0,29202000000.0,30676000000.0,39306000000.0,22264000000.0,65359000000.0,310429000000.0,447603000000.0,781168000000.0,589656000000.0,100369000000.0,,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
13,XIII.투자부동산,17,709638000000.0,488610000000.0,492114000000.0,552716000000.0,483039000000.0,474820000000.0,477786000000.0,490421000000.0,419823000000.0,418303000000.0,438506000000.0,449925000000.0,346677000000.0,353175000000.0,309953000000.0,317364000000.0,249553000000.0,208717000000.0,235359000000.0,231303000000.0,269807000000.0,267529000000.0,320608000000.0,243785000000.0,248072000000.0,690257000000.0,984582000000.0,945681000000.0,769921000000.0,778505000000.0,246252000000.0,251374000000.0,254180000000.0,515362000000.0,275123000000.0,748921000000.0,285570000000.0,245800000000.0,285956000000.0,330340000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
14,XIV.기타자산,"4,18",36989541000000.0,27878281000000.0,37388347000000.0,34244029000000.0,32317829000000.0,21571918000000.0,28805031000000.0,27314143000000.0,24343912000000.0,16551958000000.0,23060043000000.0,23306592000000.0,20793712000000.0,18168408000000.0,23008885000000.0,24423719000000.0,18131856000000.0,15945927000000.0,17112937000000.0,21083982000000.0,18245860000000.0,14202627000000.0,18912319000000.0,14644256000000.0,13801104000000.0,12449193000000.0,15104995000000.0,20668003000000.0,17537628000000.0,13282907000000.0,16395218000000.0,15641389000000.0,13501558000000.0,10948286000000.0,10887878000000.0,15532833000000.0,18389571000000.0,12459321000000.0,9949034000000.0,9894444000000.0,18583442000000.0,30694774000000.0,18802111000000.0,10753520000000.0,11428939000000.0,12146670000000.0,7023977000000.0,2128042000000.0,2783804062406.0
15,XV.매각예정자산,,55555000000.0,25160000000.0,11886000000.0,8898000000.0,8066000000.0,7574000000.0,7243000000.0,15664000000.0,19888000000.0,7550000000.0,14918000000.0,48072000000.0,1140000000.0,4939000000.0,2854000000.0,11463000000.0,5963000000.0,3690000000.0,323429000000.0,314527000000.0,5624000000.0,8892000000.0,401579000000.0,401247000000.0,674676000000.0,242815000000.0,16678000000.0,19155000000.0,9757000000.0,54412000000.0,258381000000.0,260475000000.0,204609000000.0,15792000000.0,15792000000.0,14014000000.0,14667000000.0,,21229000000.0,18507000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
16,자산총계,,578098127000000.0,552419581000000.0,545898020000000.0,530150096000000.0,513865397000000.0,459600510000000.0,457706823000000.0,453281983000000.0,433688092000000.0,426307008000000.0,429792653000000.0,413910871000000.0,404995995000000.0,395680324000000.0,398985528000000.0,390285325000000.0,378547023000000.0,370548003000000.0,365500027000000.0,359427229000000.0,347408239000000.0,338021804000000.0,335200368000000.0,323011848000000.0,318808146000000.0,311296843000000.0,317394883000000.0,319329054000000.0,313664350000000.0,304939225000000.0,308792838000000.0,296724686000000.0,295919029000000.0,291547854000000.0,288041796000000.0,292282778000000.0,284340583000000.0,279095328000000.0,268557407000000.0,258514489000000.0,255018087000000.0,264015287000000.0,222236844000000.0,177825538000000.0,160217901000000.0,146831171000000.0,139220776000000.0,66767595000000.0,56329648760070.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3597397000000.0,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
