,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010901-20011231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
73,6.기금출연금(ContributiontoFund),253179000000.0,251552000000.0,230251000000.0,195287000000.0,161433000000.0,121847000000.0,118994000000.0,80627000000.0,47200000000.0,21709139584.0
74,7.금거래손실(LossonGoldBanking),13605000000.0,213546000000.0,,2489998000000.0,1842513000000.0,,,,,
75,8.기타영업잡비용(Other),328732000000.0,234724000000.0,653277000000.0,229958000000.0,139362000000.0,132161000000.0,108146000000.0,118450000000.0,38498000000.0,16223815373.0
76,(8)판매비와관리비(SellingandAdministrativeExpenses),4218546000000.0,3968837000000.0,3911767000000.0,3999621000000.0,2972880000000.0,2404144000000.0,2187887000000.0,1348139000000.0,941757000000.0,370628750487.0
77,1.급여(Salaries),1348664000000.0,1493938000000.0,1247737000000.0,1417990000000.0,1040073000000.0,977465000000.0,844061000000.0,514794000000.0,345682000000.0,114428920669.0
78,2.퇴직급여(AccrualforRetirementandSeveranceBenefits),132559000000.0,120933000000.0,141398000000.0,144023000000.0,129089000000.0,106241000000.0,93231000000.0,46003000000.0,73657000000.0,29462341958.0
79,3.명예퇴직금(RetirementandSeveranceBenefitspaidduetoEarlyRetirement),39394000000.0,157482000000.0,85965000000.0,140838000000.0,133404000000.0,,,,,
80,4.복리후생비(OtherEmployeeBenefits),588551000000.0,372408000000.0,465478000000.0,542553000000.0,535955000000.0,358503000000.0,312053000000.0,179065000000.0,144229000000.0,71591706837.0
81,5.임차료(Rent),199293000000.0,179019000000.0,177872000000.0,163926000000.0,117727000000.0,87422000000.0,77261000000.0,47598000000.0,30073000000.0,12946820287.0
82,6.접대비(Entertainment),30616000000.0,24070000000.0,24528000000.0,24372000000.0,18654000000.0,19554000000.0,20503000000.0,13665000000.0,8720000000.0,4341043852.0
83,7.감가상각비(Depreciation),192342000000.0,234635000000.0,291038000000.0,303397000000.0,207527000000.0,178169000000.0,182349000000.0,139486000000.0,89064000000.0,55753036999.0
84,8.무형자산상각비(AmortizationonIntangibleAssets),581236000000.0,494166000000.0,514125000000.0,404067000000.0,159492000000.0,104303000000.0,88456000000.0,43269000000.0,12328000000.0,27711431.0
85,9.무형자산손상차손(주석9)(ImpairedLossonIntangibleAssets),42512000000.0,,,2489998000000.0,1842513000000.0,,,,,
