,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130401-20131231,20130401-20130930,20130401-20130630,20120401-20130331,20120401-20121231,20120401-20120930,20120401-20120630,20110401-20120331,20110401-20111231,20110401-20110930,20110401-20110630,20100401-20110331,20100401-20101231,20100401-20100930,20100401-20100630,20090401-20100331,20080401-20090331,20070401-20080331,20060401-20070331,20050401-20060331,20040401-20050331,20030401-20040331,20020401-20030331,20010401-20020331,20010401-20020331,20000401-20010331,19990401-20000331,19980401-19990331
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표', '')","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
9,유형자산처분손실,631994032.0,2617676514.0,3683134030.0,3651983882.0,1730030092.0,1311589946.0,1211539465.0,417432874.0,170092813.0,35152507415.0,32857516710.0,28013701391.0,21960691334.0,17951276010.0,6330930582.0,4332078788.0,410794463.0,1462781188.0,833638591.0,792614576.0,151623044.0,5301100652.0,1330234490.0,1215469430.0,818964360.0,2324412173.0,2159986682.0,161749168.0,781977603.0,419378717.0,363355971.0,80968689.0,905660772.0,467036845.0,417203846.0,147111726.0,692443629.0,255194306.0,48149432.0,24477092.0,194650986.0,398377596.0,478000.0,114134474.0,64044950.0,105476113.0,175229398.0,39282167.0,4497349983.0,4497349983.0,35071181.0,120969233.0,486105812.0
10,리스계약해지손실,122974314.0,900742080.0,578319061.0,433369801.0,174633003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,무형자산처분손실,,7948508.0,7936500.0,7936500.0,,255001201.0,255001201.0,124317201.0,114845274.0,19602886629.0,7986667.0,4320000.0,4320000.0,150379600.0,108142000.0,108142000.0,67797510.0,1639980.0,1261980.0,1254980.0,,34285034.0,32982734.0,8782734.0,747000.0,,,,51792507.0,33601927.0,,,54314334.0,,,,,,,,,,,,,,,,,,,,
12,무형자산손상차손,,40066667.0,,,,60910088.0,36750578.0,30444543.0,,,,,,870301468.0,408573911.0,295100564.0,249145540.0,1343346933.0,891625624.0,474225624.0,104317624.0,1270101953.0,46188339.0,46188339.0,46188339.0,227673332.0,92339999.0,66666667.0,452744443.0,,,,2007421969.0,,,,,,,,,,,,,,,,,,,,
13,투자부동산처분손실,47867494.0,1214799080.0,1214799080.0,1214799080.0,1064149455.0,,,,,15125445544.0,15125445544.0,12119306977.0,4927199979.0,28011192686.0,3797588003.0,2953438414.0,2408867827.0,,,,,1350909793.0,,,,,,,,,,,,,,,2992162.0,2992162.0,,,,,,,,,,,,,,,
14,기타비용,3670806368.0,5611259681.0,2822031200.0,1391483830.0,194902140.0,9047958150.0,13212293924.0,3479236151.0,1598950720.0,10757939676.0,4990386541.0,3524665189.0,413400230.0,12105789276.0,3422413122.0,13389873216.0,11898981650.0,18200267984.0,5360514498.0,3902715756.0,2411796526.0,7299432942.0,5597355863.0,3780454330.0,1905785575.0,6314943483.0,4293636639.0,2137132557.0,8651593855.0,6792255308.0,4439245465.0,1830657430.0,14850956551.0,6433413796.0,637728875.0,138268434.0,3631705323.0,,7437317.0,3753048.0,,,,,,,,,,,,,
15,무형자산상각비,36433949561.0,142234513124.0,105825412839.0,69496528572.0,34122283833.0,131064437513.0,97538290631.0,64391870150.0,32248577474.0,63621280578.0,29691354438.0,20395742960.0,10778591722.0,48861290042.0,37051508890.0,24865642840.0,12586764704.0,51758296002.0,38712060547.0,25386259951.0,12493807037.0,47346001615.0,34784026334.0,22575050896.0,11058497535.0,32019828324.0,20546031616.0,10331589200.0,38893728407.0,28574859105.0,18881195494.0,9382187768.0,36023539157.0,27279736895.0,17730033526.0,8693860772.0,33632846848.0,24534350056.0,16205955967.0,8105635497.0,30685683305.0,32918128201.0,30797739244.0,22874395939.0,18502771415.0,16898697324.0,11050037651.0,6803480074.0,4006075722.0,4006075722.0,3095706841.0,795388716.0,
16,이자비용,15398330929.0,34832417586.0,20747451594.0,11805571885.0,5511987567.0,16196527177.0,11638006062.0,7247491718.0,3966291112.0,12046659768.0,9789493964.0,6475542626.0,3103974960.0,12417579651.0,8970593186.0,6427041701.0,3621477754.0,10588743537.0,6343956618.0,3788780347.0,2525221707.0,7959385323.0,5680031789.0,3373876096.0,1323808884.0,4482365354.0,2679223291.0,1589482315.0,7085039142.0,5554585449.0,3871003691.0,2752722533.0,6453043506.0,4908188167.0,2394537914.0,1271167255.0,5576535581.0,3644353656.0,2219944752.0,1140007294.0,,,,,,,,,,,,,
17,복구충당부채순전입액,92842296.0,337576232.0,183869473.0,126383963.0,74666626.0,693153187.0,201543878.0,135928146.0,74728257.0,2519258704.0,478138657.0,500920667.0,414187663.0,275193234.0,114867085.0,85124004.0,52428628.0,208960427.0,235686128.0,152516855.0,87490521.0,669823636.0,543596904.0,403129079.0,307887148.0,544251575.0,225747087.0,128807527.0,537969772.0,,,,533572427.0,,,,,,,,,,,,,,,,,,,,
18,퇴직급여,12540467366.0,46597169815.0,34947463960.0,24315964393.0,12734002009.0,42612403018.0,31946978155.0,21293986987.0,10766565645.0,44611687880.0,33450819014.0,22301260395.0,11206833575.0,45727611793.0,34781741567.0,22794243706.0,11380820790.0,41428114871.0,33272308133.0,22163297508.0,10945881684.0,49260268081.0,36682498687.0,24585425309.0,12608546453.0,36686771096.0,24573299979.0,12286649873.0,47291960863.0,56438719437.0,45086645542.0,11735815027.0,68594187060.0,39352259689.0,31065866945.0,13880579010.0,45907560811.0,40161220409.0,16858236331.0,10651322150.0,36151593191.0,36305128815.0,31714202822.0,30478947925.0,29562340573.0,28697484725.0,23314888312.0,35304193679.0,25224276510.0,25236618383.0,17131379428.0,14361221521.0,20097825220.0
