,Statement of cash flows(Unit: KRW),20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20050101-20041231,20040101-20041231,20030101-20031231,20020101-20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
32,충당부채환입,744000000.0,433000000.0,10972000000.0,7156000000.0,874000000.0,25069000000.0,90696000000.0,74414000000.0,3345000000.0,8350000000.0,18388000000.0,17477000000.0,8621000000.0,30185000000.0,,,,,,,,,,,,
33,공동지배기업및관계기업투자자산처분이익,,,19974000000.0,,,28627000000.0,24703000000.0,24702000000.0,3071000000.0,61071000000.0,34094000000.0,33790000000.0,33289000000.0,175000000.0,175000000.0,21000000.0,,,,,,,,,,
34,유ㆍ무형자산및기타자산의처분이익,565000000.0,479000000.0,13052000000.0,2731000000.0,1632000000.0,4669000000.0,,1389000000.0,447000000.0,74140000000.0,,7233000000.0,,,,,,,,,,,,,,
35,유ㆍ무형자산및기타자산의손상차손환입,226000000.0,336000000.0,3051000000.0,1033000000.0,71000000.0,1714000000.0,,139000000.0,151000000.0,791000000.0,,3528000000.0,,,,,,,,,,,,,,
36,5.영업활동으로인한자산ㆍ부채의변동,,6105791000000.0,-6299179000000.0,,-722835000000.0,-3957625000000.0,-4689690000000.0,-2532441000000.0,791772000000.0,-5542041000000.0,-4584354000000.0,-5405381000000.0,-932293000000.0,1086368000000.0,2973669000000.0,-1032158000000.0,,-7642697000000.0,-29799742000000.0,-27166856000000.0,-41457473000000.0,414677000000.0,,,,
37,당기손익인식금융상품의감소,789592000000.0,1686678000000.0,2413710000000.0,3876219000000.0,828259000000.0,673750000000.0,,1193543000000.0,1346976000000.0,-2408645000000.0,,-308763000000.0,222975000000.0,1174406000000.0,508734000000.0,30735000000.0,,,,,,,,,,
38,대여금및수취채권의증가,-6047661000000.0,,-17106848000000.0,-15585352000000.0,,-16844065000000.0,-11151913000000.0,-9221866000000.0,-4569394000000.0,-17933322000000.0,-13989283000000.0,-15628752000000.0,-12789001000000.0,-6722951000000.0,-4986231000000.0,-1193275000000.0,,,,,,,,,,
39,기타자산의감소(증가),-150563000000.0,,54493000000.0,13960000000.0,,-57619000000.0,,239000000.0,,,,41315000000.0,,,,,,,,,,,,,,
40,예수부채의증가,5999586000000.0,1849798000000.0,9705237000000.0,2444195000000.0,667011000000.0,6371038000000.0,6369834000000.0,7537642000000.0,3815925000000.0,10455304000000.0,7141807000000.0,4127413000000.0,5138721000000.0,8499933000000.0,,,,,,,,,,,,
41,충당부채의감소,-79129000000.0,-81054000000.0,-98270000000.0,-9668000000.0,-9572000000.0,-79096000000.0,-70485000000.0,-56833000000.0,-3988000000.0,,-28129000000.0,-11541000000.0,-5447000000.0,,-141934000000.0,-4314000000.0,-56667000000.0,,,,,,,,,
42,순확정급여부채의감소,,,-158487000000.0,,,-163820000000.0,,,,,,,,,,,,,,,,,,,,
43,기타금융부채의증가(감소),-1265867000000.0,702397000000.0,-1147373000000.0,6522032000000.0,-499170000000.0,6159641000000.0,773018000000.0,-1856280000000.0,3426484000000.0,6829024000000.0,10575621000000.0,6258609000000.0,9714595000000.0,421689000000.0,6748783000000.0,5565189000000.0,6733283000000.0,,,,,,,,,
44,기타부채의증가(감소),4061000000.0,56513000000.0,38359000000.0,-35652000000.0,37420000000.0,-17454000000.0,-23321000000.0,,5521000000.0,174424000000.0,184341000000.0,135637000000.0,161750000000.0,-421826000000.0,-423027000000.0,-451963000000.0,-429675000000.0,,,,,,,,,
45,6.이자수익수취액,5612812000000.0,3032491000000.0,12918030000000.0,6487127000000.0,3244930000000.0,14300812000000.0,11086132000000.0,7276079000000.0,3885781000000.0,14948932000000.0,11012138000000.0,7228658000000.0,3562298000000.0,13920782000000.0,10459798000000.0,7093360000000.0,3590925000000.0,,,,,,,,,
46,7.이자비용지급액,-2908708000000.0,-1710067000000.0,-6974736000000.0,-3610111000000.0,-1977344000000.0,-7814374000000.0,-5103013000000.0,-4088419000000.0,-2294138000000.0,-7170272000000.0,-5377077000000.0,-3523543000000.0,-1889704000000.0,-7632921000000.0,-5330654000000.0,-3486081000000.0,-1880618000000.0,,,,,,,,,
47,8.배당금수익수취액,135220000000.0,36299000000.0,151051000000.0,87465000000.0,42394000000.0,156476000000.0,131696000000.0,96003000000.0,62562000000.0,203005000000.0,160477000000.0,142805000000.0,76905000000.0,200780000000.0,163262000000.0,104730000000.0,39637000000.0,,,,,,,,,
48,9.법인세납부액,-23514000000.0,-98342000000.0,-479002000000.0,-273763000000.0,-65714000000.0,-667993000000.0,-532841000000.0,-416592000000.0,-101984000000.0,-549333000000.0,-484260000000.0,-297970000000.0,-76969000000.0,-380380000000.0,-298683000000.0,-146539000000.0,3911000000.0,,,,,,,,,
49,Ⅱ.투자활동으로인한현금흐름,513053000000.0,-1349769000000.0,-392967000000.0,1160221000000.0,262172000000.0,2352122000000.0,3013664000000.0,1793592000000.0,-296016000000.0,2413683000000.0,1426920000000.0,2904885000000.0,-469040000000.0,-3837186000000.0,-7270641000000.0,-9908050000000.0,-7920493000000.0,4799573000000.0,-6682473000000.0,-4909019000000.0,489677000000.0,-23711697000000.0,-23638422000000.0,-2550686000000.0,-15470370000000.0,-17489164000000.0
50,1.투자활동으로인한현금유입액,17466360000000.0,7924915000000.0,33428149000000.0,17636116000000.0,2992695000000.0,37487968000000.0,29892206000000.0,16545298000000.0,5952590000000.0,18357860000000.0,28484302000000.0,17173876000000.0,7049777000000.0,20594364000000.0,147624000000.0,238540000000.0,19961000000.0,32919062000000.0,32325876000000.0,5191016000000.0,4062365000000.0,21579257000000.0,22451895000000.0,18875683000000.0,1267256000000.0,395934000000.0
51,매도가능금융자산의처분,13584762000000.0,6375128000000.0,26449831000000.0,13856650000000.0,873601000000.0,26003872000000.0,20812059000000.0,9925786000000.0,2825936000000.0,11319306000000.0,20200969000000.0,11495073000000.0,4210421000000.0,12451649000000.0,,,,,,,,,,,,
52,만기보유금융자산의상환,2419751000000.0,1275440000000.0,6768916000000.0,3733459000000.0,2097117000000.0,11264656000000.0,8992853000000.0,6478512000000.0,2996278000000.0,6595952000000.0,7897486000000.0,5385503000000.0,2447261000000.0,7963819000000.0,,,,,,,,,,,,
53,공동지배기업및관계기업투자자산의처분,,,106438000000.0,,,140871000000.0,,122496000000.0,118851000000.0,,,,155162000000.0,101182000000.0,,,,,,,,,,,,
54,투자부동산의처분,,,6583000000.0,6215000000.0,6215000000.0,,,,,130501000000.0,161889000000.0,130486000000.0,126446000000.0,8909000000.0,35496000000.0,121522000000.0,,,,,,,,,,
55,유형자산의처분,31714000000.0,1950000000.0,18478000000.0,3128000000.0,2849000000.0,15545000000.0,10102000000.0,11156000000.0,8757000000.0,31962000000.0,58746000000.0,34595000000.0,72057000000.0,57582000000.0,71073000000.0,49094000000.0,5625000000.0,,,,,,,,,
56,무형자산의처분,44257000000.0,1236000000.0,8660000000.0,458000000.0,207000000.0,3199000000.0,2821000000.0,1535000000.0,25000000.0,3270000000.0,52947000000.0,4167000000.0,3992000000.0,6261000000.0,38156000000.0,43775000000.0,110000000.0,,,,,,,,,
57,매각예정자산의처분,29511000000.0,702000000.0,54611000000.0,20653000000.0,5153000000.0,15860000000.0,12353000000.0,5813000000.0,2743000000.0,109168000000.0,41142000000.0,41741000000.0,34438000000.0,4962000000.0,2899000000.0,24149000000.0,16000000.0,,,,,,,,,
58,위험회피목적파생상품계약의순감소,,,14632000000.0,,,43965000000.0,,,,,3425000000.0,5399000000.0,,,10059000000.0,41518000000.0,,,,,,,,,,
59,2.투자활동으로인한현금유출액,-16953307000000.0,-9274684000000.0,-33821116000000.0,-16475895000000.0,-2730523000000.0,-35135846000000.0,26878542000000.0,14751706000000.0,-6248606000000.0,-15944177000000.0,27057382000000.0,14268991000000.0,7518817000000.0,24431550000000.0,7418265000000.0,10146590000000.0,7940454000000.0,28119489000000.0,39008349000000.0,10100035000000.0,3572688000000.0,45290954000000.0,46090317000000.0,21426369000000.0,16737626000000.0,17885098000000.0
