,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20140101,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표', '금')","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8,dart_CurrentFirmCommitmentAsset,확정계약자산,Current firm commitment asset,재무상태표 [abstract],자산 [abstract],유동자산,확정계약자산,181592090000.0,87565615000.0,229915339000.0,136299347000.0,93494644000.0,48724836000.0,77348877000.0,107020531000.0,3646113000.0,4581378000.0,34211597000.0,33468772000.0,28064673000.0,235647323000.0,28030191000.0,220498928000.0,282002936000.0,361396671000.0,565192594000.0,214195205000.0,126235259000.0,102390560000.0,23812968000.0,1131012000.0,11269165000.0,10463993000.0,10463993000.0,54133437000.0,229429257000.0,100229332000.0,78871247000.0,169661154000.0,305969372000.0,347010099000.0,496421602000.0,805145096000.0,589926670000.0,765799573000.0,1011292510000.0,1807192331000.0,1784429790000.0,2479126907000.0,,,,,,,,,,,,
9,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,16043977000.0,14829439000.0,10851552000.0,7771138000.0,13348248000.0,11259461000.0,6975075000.0,5709731000.0,21232623000.0,19960616000.0,12344063000.0,3312797000.0,15691108000.0,13719006000.0,14656861000.0,13869569000.0,16273994000.0,59476191000.0,69025940000.0,56045983000.0,57008234000.0,63330607000.0,58228437000.0,44951824000.0,69133910000.0,63571176000.0,63631292000.0,61524653000.0,49591256000.0,33629740000.0,28491109000.0,8489634000.0,17835716000.0,35041051000.0,14083278000.0,9790945000.0,17201199000.0,103257060000.0,59965722000.0,113861000.0,,,,,,,,,,,,,,
10,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정비유동자산,Non-current assets or disposal groups classified as held for sale or as held for distribution to owners,재무상태표 [abstract],자산 [abstract],유동자산,매각예정비유동자산,6043210000.0,211614491000.0,209190227000.0,207611482000.0,386541729000.0,376461375000.0,6090832455000.0,6567328679000.0,6607465314000.0,5847024511000.0,34177384000.0,34177384000.0,42185898000.0,77507145000.0,19549023000.0,100786306000.0,,,,,,,,,,,,90842084000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,1049799647000.0,978515126000.0,1085465313000.0,1130562481000.0,1546530901000.0,1375494123000.0,1763218440000.0,1681174364000.0,1645708420000.0,1864534554000.0,2078004472000.0,2127817942000.0,2191304319000.0,2306891516000.0,2494421205000.0,2680706272000.0,2643365272000.0,2547551054000.0,2282654762000.0,2148806176000.0,2470288210000.0,2896106773000.0,3234053700000.0,3187829285000.0,3056138039000.0,2780011016000.0,2780264843000.0,2785244888000.0,2402596925000.0,2862940147000.0,3149888036000.0,2916850326000.0,2509924761000.0,2409990256000.0,2213954234000.0,2301034973000.0,2155422392000.0,2136551797000.0,1635514427000.0,1796877125000.0,,,,,,,,,,,,,,
12,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,12517356104000.0,12509384138000.0,12659673142000.0,12507746097000.0,12351872617000.0,12413205852000.0,12480795243000.0,12683339333000.0,12707569310000.0,12745127605000.0,13552394132000.0,13929214455000.0,14089590321000.0,23084441372000.0,23431791916000.0,23769015284000.0,22331744007000.0,22372597897000.0,23435828403000.0,23287546621000.0,23312998641000.0,23292215340000.0,24677061290000.0,24541584871000.0,24001473128000.0,23838497371000.0,23950787871000.0,24120427643000.0,24189699452000.0,24005758929000.0,23994548647000.0,24438931544000.0,25312196735000.0,25415712525000.0,25924445998000.0,25947851145000.0,25842952597000.0,25147195141000.0,23924842168000.0,18510932349000.0,18621422384000.0,17609783365000.0,11116551814000.0,8338582565000.0,7693456219000.0,7693456219000.0,7317852330000.0,7444612366000.0,6766229005000.0,5654283486000.0,8717704812000.0,10875828411000.0,14088027805000.0,-8946170611000.0
13,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업및공동기업투자,"Investments in subsidiaries, joint ventures and associates",재무상태표 [abstract],자산 [abstract],비유동자산,관계기업및공동기업투자,525557142000.0,458657736000.0,461885313000.0,467966295000.0,418158097000.0,403979611000.0,397091741000.0,393500095000.0,381352878000.0,142287116000.0,,121765643000.0,148868179000.0,454027590000.0,278530525000.0,285170000000.0,273005499000.0,379062830000.0,514668906000.0,508643395000.0,509366767000.0,644478796000.0,556988709000.0,558729568000.0,649732290000.0,716606653000.0,661663685000.0,755221587000.0,821472911000.0,825371649000.0,851041163000.0,966035581000.0,1024065041000.0,1010755051000.0,972857274000.0,1041655821000.0,1005783604000.0,1125257898000.0,1125212642000.0,1332096938000.0,,,,,,,,,,,,,,
14,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융자산,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융자산,114579987000.0,112100740000.0,121721932000.0,119573164000.0,124886393000.0,125060972000.0,131816512000.0,133028726000.0,132537341000.0,134966406000.0,467464066000.0,640072588000.0,501655740000.0,502566999000.0,497478763000.0,629138222000.0,1080416642000.0,1189482706000.0,1531757051000.0,2110821169000.0,2427223952000.0,2496029851000.0,3720998240000.0,3748008401000.0,3507147297000.0,3322603688000.0,3322603688000.0,3470200263000.0,3079084696000.0,3084874979000.0,3062837772000.0,3272722634000.0,3860859521000.0,3987421098000.0,3697005167000.0,3672244433000.0,4376709879000.0,4225669250000.0,3722186931000.0,3377039476000.0,,,,,,,,,,,,,,
15,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권 및 기타채권,150918881000.0,174654740000.0,138632504000.0,92007138000.0,92951401000.0,112013874000.0,115541214000.0,119599234000.0,119032415000.0,102288164000.0,199654145000.0,203953510000.0,218929863000.0,347686087000.0,385125090000.0,512718552000.0,575325361000.0,589021325000.0,824314114000.0,752648433000.0,862202892000.0,930053530000.0,976517092000.0,992524235000.0,1053770266000.0,1088685374000.0,1088685374000.0,1212504151000.0,1362695198000.0,1360706188000.0,1375259690000.0,1519033646000.0,1685365936000.0,1707399241000.0,2385789828000.0,2098498021000.0,1781634052000.0,1318410345000.0,1118376757000.0,389385453000.0,,,,,,,,,,,,,,
16,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,246915127000.0,248108340000.0,249301554000.0,250443572000.0,151727333000.0,144828401000.0,150673198000.0,136921554000.0,152125435000.0,233864145000.0,234613998000.0,235103543000.0,236889934000.0,240607127000.0,284205090000.0,289198270000.0,367002729000.0,347868346000.0,377438659000.0,407661639000.0,391891612000.0,393474781000.0,393864185000.0,389574782000.0,404280034000.0,433616630000.0,433616630000.0,435014273000.0,424699323000.0,432983021000.0,322681120000.0,323103322000.0,323250452000.0,326959493000.0,327272561000.0,370901281000.0,368760697000.0,380406047000.0,310030963000.0,367588437000.0,,,,,,,,,,,,,,
17,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,9932606443000.0,9946724472000.0,10025409466000.0,9994003162000.0,10140845231000.0,10269011371000.0,10426035231000.0,10657393246000.0,10780310612000.0,11046256085000.0,11535059860000.0,11702344467000.0,11870550655000.0,18729240248000.0,19113205676000.0,19013652908000.0,16419776484000.0,16027157696000.0,16271878719000.0,16186771633000.0,16047901186000.0,15751798667000.0,16013829158000.0,15950218440000.0,15789356402000.0,15549604360000.0,15712997462000.0,15581253193000.0,15605451734000.0,15504349953000.0,15556464149000.0,15668715282000.0,15539997197000.0,15510786432000.0,15564732167000.0,15435021823000.0,15177675185000.0,14911348169000.0,14779131903000.0,10941083006000.0,11044112558000.0,8902503544000.0,6707817706000.0,6003977727000.0,5801628475000.0,5801628475000.0,5809560929000.0,5774555280000.0,5261528415000.0,4391075144000.0,7265449712000.0,7887012774000.0,11290138853000.0,6678595432000.0
