,Statement of cash flows(Unit: KRW),Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010901-20011231
,label_ko,comment,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
9,3.당기손익-공정가치측정금융상품관련손익,34,986343000000.0,-427618000000.0,-666669000000.0,-642212000000.0,-804597000000.0,66455000000.0,-155135000000.0,-1211000000.0,53117000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4.당기손익-공정가치측정금융상품관련손익_당기손익조정접근법,9,-34700000000.0,247585000000.0,246314000000.0,196929000000.0,90380000000.0,-74944000000.0,-92399000000.0,-47398000000.0,-50630000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5.외환거래손익,,62623000000.0,147952000000.0,145987000000.0,806224000000.0,355889000000.0,377632000000.0,44698000000.0,188972000000.0,51132000000.0,-87384000000.0,-176981000000.0,43557000000.0,-49691000000.0,-248844000000.0,-195388000000.0,72865000000.0,81870000000.0,163417000000.0,141260000000.0,89192000000.0,5521000000.0,31356000000.0,116758000000.0,72193000000.0,-8023000000.0,-2520000000.0,-25483000000.0,77762000000.0,66770000000.0,-86820000000.0,91082000000.0,104381000000.0,-39543000000.0,11293000000.0,150289000000.0,-112109000000.0,6381000000.0,-33715000000.0,-198951000000.0,-34386000000.0,4726000000.0,,,,,,,,,
12,6.당기손익-공정가치측정지정금융상품관련손익,35,-1449181000000.0,33872000000.0,70341000000.0,188922000000.0,565697000000.0,-382667000000.0,-63979000000.0,-198461000000.0,-134166000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7.기타포괄손익-공정가치측정금융자산처분손익,11,-110259000000.0,-152278000000.0,-130783000000.0,-60135000000.0,-18867000000.0,-20554000000.0,-16378000000.0,-10334000000.0,-5544000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8.상각후원가측정금융상품처분손익,11,8000000.0,-66000000.0,-61000000.0,-14000000.0,1000000.0,9000000.0,8000000.0,6000000.0,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.신용손실충당금전입액,36,283914000000.0,980692000000.0,791348000000.0,548858000000.0,257390000000.0,747877000000.0,577934000000.0,353961000000.0,179527000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10.종업원급여,25,44375000000.0,188313000000.0,147852000000.0,101586000000.0,52310000000.0,155672000000.0,127504000000.0,110668000000.0,56859000000.0,232709000000.0,144442000000.0,95392000000.0,48071000000.0,203639000000.0,,,,185222000000.0,,,,143330000000.0,,,,80600000000.0,124210000000.0,79688000000.0,37559000000.0,146501000000.0,,71131000000.0,,,,,,,,,,,,,,,,,,
17,11.감가상각비및기타상각비,37,186228000000.0,677152000000.0,499799000000.0,327383000000.0,160064000000.0,301916000000.0,221567000000.0,142311000000.0,68835000000.0,253344000000.0,188811000000.0,126854000000.0,65490000000.0,259941000000.0,198026000000.0,134201000000.0,67656000000.0,278882000000.0,202422000000.0,134861000000.0,67356000000.0,312966000000.0,236447000000.0,158202000000.0,79594000000.0,319730000000.0,238875000000.0,156249000000.0,75686000000.0,298836000000.0,221923000000.0,143362000000.0,70846000000.0,287734000000.0,215224000000.0,141917000000.0,70609000000.0,304398000000.0,231498000000.0,156277000000.0,80063000000.0,,,,,,,,,
18,12.기타영업손익,39,-41443000000.0,305781000000.0,111303000000.0,590290000000.0,-279285000000.0,-278274000000.0,7564000000.0,-156391000000.0,176071000000.0,602027000000.0,-552870000000.0,-574731000000.0,-614229000000.0,70236000000.0,-255818000000.0,-84897000000.0,-98502000000.0,-623639000000.0,-611730000000.0,-152647000000.0,-104967000000.0,-213139000000.0,-347257000000.0,-216099000000.0,-39573000000.0,61074000000.0,-47054000000.0,-149256000000.0,-2043000000.0,-534076000000.0,-152522000000.0,246529000000.0,22655000000.0,-586604000000.0,-253137000000.0,48479000000.0,-78821000000.0,-327534000000.0,247018000000.0,54627000000.0,80342000000.0,,,,,,,,,
19,13.관계회사이익에대한지분,15,-17307000000.0,-53287000000.0,-30691000000.0,-29364000000.0,-18722000000.0,-17488000000.0,-41271000000.0,-18038000000.0,-13574000000.0,-20393000000.0,-19474000000.0,-13649000000.0,395000000.0,-9995000000.0,-5890000000.0,-3760000000.0,-2564000000.0,,-13979000000.0,-10405000000.0,-1946000000.0,-30580000000.0,-31210000000.0,-16802000000.0,-8488000000.0,-7286000000.0,-2143000000.0,361000000.0,-2078000000.0,-27538000000.0,-19733000000.0,-12994000000.0,-9279000000.0,-57790000000.0,-32850000000.0,,-12824000000.0,-15322000000.0,-8240000000.0,-3636000000.0,,,,,,,,,,
20,14.기타영업외손익,40,-4835000000.0,148091000000.0,-35502000000.0,-361000000.0,-592000000.0,3147000000.0,-951000000.0,-4027000000.0,267000000.0,-29080000000.0,-20290000000.0,1597000000.0,829000000.0,598000000.0,-1494000000.0,-2961000000.0,554000000.0,-18463000000.0,-2406000000.0,1688000000.0,-3023000000.0,-117933000000.0,-5734000000.0,-9707000000.0,10573000000.0,15510000000.0,2906000000.0,-1788000000.0,1235000000.0,-25126000000.0,29684000000.0,-35046000000.0,,,,,,,,,,,,,,,,,,
21,(4)자산ㆍ부채의증감,,-1560752000000.0,-544938000000.0,2914787000000.0,-2317380000000.0,-80165000000.0,-12618248000000.0,-5757770000000.0,-5689070000000.0,-1829310000000.0,-6097440000000.0,-5111231000000.0,-4010130000000.0,-575201000000.0,-2629568000000.0,-1578483000000.0,-1905658000000.0,-1492284000000.0,-2401949000000.0,-2409993000000.0,-3656135000000.0,-3937451000000.0,-7107990000000.0,-6076658000000.0,-407849000000.0,-3596251000000.0,-7087410000000.0,-5809421000000.0,-6680511000000.0,-7057243000000.0,3638459000000.0,-1724963000000.0,518657000000.0,-1070467000000.0,-4173680000000.0,-1985302000000.0,-4615118000000.0,846765000000.0,-3293920000000.0,-1650890000000.0,2248036000000.0,6340529000000.0,,,,,,,,,
22,1.상각후원가측정예치금,,-2531901000000.0,-10059356000000.0,-5245216000000.0,-8061660000000.0,-4861435000000.0,6024743000000.0,5603407000000.0,1840314000000.0,4177394000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2.당기손익-공정가치측정유가증권,,-2940786000000.0,-3977211000000.0,-847619000000.0,,-1356034000000.0,-3082516000000.0,-400231000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.당기손익-공정가치측정예치금,,226826000000.0,73904000000.0,-25030000000.0,-89706000000.0,-32245000000.0,-82014000000.0,-89438000000.0,-76836000000.0,-34781000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
