,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
48,기타의대손상각비,108431312000.0,41865651000.0,13591059000.0,8978012000.0,27317293000.0,26555861000.0,26555861000.0,22646216000.0,468038323000.0,774178785000.0,49240993000.0,,,,
49,기부금,263119766000.0,188535220000.0,154812633000.0,118613698000.0,218335116000.0,125692294000.0,125692294000.0,149813182000.0,103461579000.0,112459302000.0,183864868000.0,124259614000.0,80489645.0,6586460000.0,8666109000.0
50,사채상환손실,6359532000.0,2506209000.0,4277029000.0,611350000.0,1333130000.0,3357895000.0,3357895000.0,1857469000.0,,25112769000.0,1007001000.0,35929350000.0,24261764.0,,
51,기타영업외비용,1286520824000.0,1510096727000.0,2452280282000.0,929744593000.0,695396612000.0,424583130000.0,424583130000.0,472546321000.0,737365897000.0,360662100000.0,57205526000.0,176869350000.0,,,
52,Ⅷ.법인세비용차감전계속사업이익,3760813823000.0,2241758313000.0,2332712475000.0,4255912724000.0,4057187782000.0,,,,,,,,,,
53,IX.계속사업손익법인세비용(주26),1132957941000.0,602957206000.0,601374287000.0,910356222000.0,1059892370000.0,,,,,,,,,,
54,X.종속회사의매수일전순이익,2816445000.0,25627967000.0,-32663894000.0,148633922000.0,,,,,,,,,,,
55,XI.계속사업이익,2625039437000.0,1613173140000.0,1764002082000.0,3196922580000.0,2997295412000.0,,,,,,,,,,
56,"XII.중단사업손실(이익)(주2,29)",-90845997000.0,23186547000.0,26997854000.0,29451210000.0,,,,,,,,,,,
57,XIII.당기순이익,2715885434000.0,1589986593000.0,1737004228000.0,3167471370000.0,3002871294000.0,,,,,,,,,,
58,1.지배회사지분순이익,658832364000.0,268977666000.0,285015743000.0,1398180318000.0,1394833501000.0,,,,,,,,,,
59,2.소수주주지분순이익,2057053070000.0,1321008927000.0,1451988485000.0,1769291052000.0,1608037793000.0,,,,,,,,,,
60,XIV.주당손익(주19),,,,,,,,,,,,,,,
61,기본주당계속사업이익,16163.0,6214.0,7203.0,20245.0,,,,,,,,,,,
62,기본주당순이익,16251.000000000002,6620.0,7016.0,20065.0,,,,,,,,,,,
