,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20150331,20141231,20140930,20140630,20140331,20131231,20121231,20120630,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
9,entity00144155_udf_BS_20115291311570_NoncurrentAssets,장기매출채권,Long-term trade Receivables,재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권,69902000000.0,68543000000.0,12617000000.0,12965000000.0,13425000000.0,13460000000.0,15694000000.0,,,,,,,,,,,,,,,,,,,,
10,entity00144155_udf_BS_201451285318644_NoncurrentAssets,장기미수금,other Receivables,재무상태표 [abstract],자산 [abstract],비유동자산,장기미수금,88851000000.0,90005000000.0,81771000000.0,80277000000.0,73958000000.0,73720000000.0,29539000000.0,,,,,,,,,,,,,,,,,,,,
11,entity00144155_udf_BS_2011527141926102_NoncurrentAssets,매도가능금융자산,Non-current available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,매도가능금융자산,278284000000.0,1545391000000.0,1685453000000.0,1613851000000.0,1620778000000.0,1671723000000.0,1798169000000.0,2288967000000.0,2636561000000.0,2688378000000.0,2910179000000.0,2927321000000.0,2647668000000.0,3304618000000.0,,,,,,,,,,,,,
12,entity00144155_udf_BS_201152913943171_NoncurrentAssets,관계기업및공동기업투자,Investments in subsidiaries and  joint ventures,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업및공동기업투자,8831158000000.0,8801133000000.0,8695097000000.0,8371797000000.0,8243920000000.0,7654254000000.0,7472442000000.0,,,,,,,,,,,,,,,,,,,,
13,ifrs_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,37500085000000.0,37554133000000.0,37697683000000.0,36837907000000.0,36445072000000.0,36410938000000.0,33319762000000.0,31687162000000.0,31013142000000.0,30527369000000.0,30021181000000.0,29238882000000.0,28717328000000.0,28296672000000.0,26464033409000.0,25865276675000.0,20879249591000.0,18282360311000.0,17081978208000.0,17322476559000.0,17032136166000.0,17234211388000.0,17398815445000.0,16215942622000.0,9589716497.0,-10034286238000.0,-6464389842000.0
14,ifrs_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,558502000000.0,553387000000.0,559080000000.0,576373000000.0,591570000000.0,578862000000.0,623368000000.0,758881000000.0,780094000000.0,776278000000.0,864065000000.0,786937000000.0,791813000000.0,986251000000.0,50715644000.0,,,,,,,,16895290000.0,15900703000.0,,,
15,dart_GoodwillGross,영업권,"Goodwill, gross",재무상태표 [abstract],자산 [abstract],비유동자산,영업권,2829837000000.0,2830050000000.0,3761485000000.0,3761709000000.0,3744119000000.0,3745912000000.0,4100798000000.0,,,,,,,,4071072692000.0,4178483463000.0,4335536803000.0,2964272821000.0,3121663247000.0,3402854112000.0,3483445970000.0,3233678040000.0,3916366823000.0,4109633786000.0,5919604.0,5705502000.0,6074651000.0
16,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,5147585000000.0,5026080000000.0,4800226000000.0,4715775000000.0,4361972000000.0,4451219000000.0,4422144000000.0,8649499000000.0,8610558000000.0,7660922000000.0,7333089000000.0,7397128000000.0,7458378000000.0,7737776000000.0,6139832458000.0,5923511484000.0,5675374491000.0,4302120387000.0,4695051365000.0,4943856575000.0,5015024461000.0,4634266240000.0,5163733059000.0,4017579959000.0,27025392.0,-11864742000.0,-11215315000.0
17,ifrs_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,786504000000.0,822993000000.0,583723000000.0,484598000000.0,429618000000.0,447894000000.0,321090000000.0,461499000000.0,474136000000.0,454290000000.0,406593000000.0,415612000000.0,371811000000.0,342828000000.0,73702173000.0,168413645000.0,,,,,,,,,,,
18,entity00144155_udf_BS_201152714232971_NoncurrentAssets,기타의비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타의비유동자산,2689758000000.0,2651818000000.0,2604800000000.0,2600881000000.0,2703966000000.0,2729377000000.0,2996400000000.0,3243687000000.0,2984950000000.0,2369117000000.0,2181686000000.0,2272346000000.0,3000023000000.0,3185783000000.0,,,,,,,,,,,,,
