,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
14,5.상각후원가유가증권증가,-2267186000000.0,-12383321000000.0,-10019471000000.0,-6614516000000.0,-2504638000000.0,-8639943000000.0,-6965588000000.0,-4707119000000.0,-1657387000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
15,6.상각후원가유가증권감소,1877137000000.0,7798095000000.0,5964762000000.0,3994490000000.0,1522901000000.0,6117901000000.0,4718617000000.0,2660189000000.0,1278726000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
16,7.관계기업투자의처분,35102000000.0,121672000000.0,29789000000.0,17876000000.0,10392000000.0,79425000000.0,20777000000.0,13577000000.0,11459000000.0,24496000000.0,22345000000.0,10699000000.0,3801000000.0,,47421000000.0,45684000000.0,39159000000.0,,41139000000.0,24433000000.0,7960000000.0,,48261000000.0,49436000000.0,42599000000.0,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
17,8.관계기업투자의취득,-22809000000.0,-647048000000.0,-222692000000.0,-179063000000.0,-27192000000.0,-152475000000.0,-146650000000.0,-138650000000.0,-73050000000.0,-103572000000.0,-72457000000.0,-43635000000.0,-14589000000.0,,-31563000000.0,-18863000000.0,-16885000000.0,,-17155000000.0,-16245000000.0,-7009000000.0,,-7417000000.0,-2700000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
18,9.투자부동산및유형자산의처분,11607000000.0,1348000000.0,2028000000.0,863000000.0,51000000.0,135283000000.0,94864000000.0,1691000000.0,1485000000.0,10835000000.0,479000000.0,416000000.0,474000000.0,3222000000.0,2140000000.0,1506000000.0,29000000.0,10719000000.0,6741000000.0,4746000000.0,4486000000.0,2613000000.0,425000000.0,619000000.0,195000000.0,7658000000.0,6763000000.0,545000000.0,3978000000.0,14324000000.0,16462000000.0,12768000000.0,13135000000.0,5729000000.0,5750000000.0,2496000000.0,1617000000.0,25103000000.0,26338000000.0,19567000000.0,2567000000.0,,,,,,,,,167374000000.0,,
19,10.투자부동산및유형자산의취득,-38546000000.0,-145818000000.0,-85682000000.0,-40741000000.0,-12540000000.0,-155184000000.0,-62792000000.0,-35922000000.0,-14319000000.0,-140855000000.0,-117889000000.0,-31743000000.0,-17831000000.0,-436894000000.0,-41629000000.0,-23800000000.0,-12021000000.0,-113427000000.0,-67993000000.0,-42418000000.0,-24541000000.0,-134469000000.0,-76464000000.0,-48782000000.0,-21304000000.0,-158192000000.0,-110619000000.0,-69683000000.0,-22670000000.0,-234040000000.0,-140930000000.0,-85430000000.0,-38243000000.0,-319903000000.0,-231978000000.0,-161873000000.0,-90953000000.0,-228410000000.0,-117653000000.0,-67195000000.0,-30537000000.0,,,,,,,,,167374000000.0,,
20,11.무형자산의처분,1648000000.0,5035000000.0,3329000000.0,4888000000.0,21000000.0,3336000000.0,2603000000.0,1465000000.0,643000000.0,1564000000.0,751000000.0,377000000.0,82000000.0,3516000000.0,1458000000.0,1444000000.0,1112000000.0,5584000000.0,3444000000.0,3360000000.0,3286000000.0,2763000000.0,544000000.0,34000000.0,,3727000000.0,1468000000.0,1422000000.0,1465000000.0,2602000000.0,3037000000.0,3407000000.0,980000000.0,6394000000.0,7993000000.0,6418000000.0,202000000.0,235000000.0,321000000.0,,,,,,,,,,,167374000000.0,,
21,12.무형자산의취득,-14953000000.0,-110588000000.0,-73254000000.0,-50886000000.0,-28582000000.0,-62580000000.0,-32981000000.0,-18274000000.0,-4253000000.0,-44632000000.0,-33906000000.0,-23803000000.0,-14507000000.0,-44926000000.0,-26093000000.0,-9811000000.0,-1535000000.0,-54246000000.0,-32117000000.0,-27069000000.0,-18613000000.0,-156460000000.0,-64823000000.0,-47606000000.0,-10221000000.0,-122151000000.0,-78534000000.0,-42788000000.0,-24172000000.0,-45279000000.0,-38749000000.0,-25068000000.0,-6951000000.0,-62233000000.0,-38836000000.0,-30055000000.0,-16558000000.0,-54878000000.0,-29676000000.0,-16312000000.0,-7949000000.0,36448000000.0,38111000000.0,10376000000.0,31176000000.0,,,,,167374000000.0,,
22,13.종속기업취득에따른순현금흐름,,-1034000000.0,,-1034000000.0,-1034000000.0,,,,,,,,,,,,,,,,,,,,,,-42395000000.0,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
23,Ⅲ.재무활동으로인한순현금흐름,-648153000000.0,16464304000000.0,12300569000000.0,8525214000000.0,6705682000000.0,16196958000000.0,13025441000000.0,9103347000000.0,2443265000000.0,4424042000000.0,6068448000000.0,3680104000000.0,456776000000.0,5434599000000.0,6545709000000.0,5011845000000.0,4887960000000.0,6653640000000.0,7478768000000.0,3653864000000.0,3035286000000.0,1059848000000.0,-25607000000.0,1165072000000.0,2036513000000.0,8920512000000.0,7552356000000.0,3557603000000.0,1310240000000.0,-755099000000.0,678091000000.0,3317384000000.0,109288000000.0,3685055000000.0,4773668000000.0,-600897000000.0,3195331000000.0,5016485000000.0,3022666000000.0,2343847000000.0,554456000000.0,,,,,,,,,167374000000.0,,
24,1.차입부채의순증가,3248487000000.0,2668022000000.0,,2676332000000.0,2290981000000.0,653064000000.0,,2325552000000.0,990992000000.0,700367000000.0,2003529000000.0,,,,213217000000.0,,,,2316048000000.0,,,,,,,,,1710363000000.0,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
25,2.사채의증가,31351467000000.0,130748697000000.0,97925633000000.0,70918786000000.0,40845398000000.0,111725594000000.0,83212656000000.0,56656141000000.0,27729288000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
26,3.사채의감소,-35527801000000.0,-116918042000000.0,-89026411000000.0,-65119514000000.0,-36938311000000.0,-96034418000000.0,-72126298000000.0,-49777116000000.0,-26606179000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
27,4.리스부채의상환,-23351000000.0,-72802000000.0,-60682000000.0,-37827000000.0,-17636000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
28,5.유상증자,,224541000000.0,224548000000.0,199604000000.0,199604000000.0,,,,,,,,,39903000000.0,39903000000.0,39903000000.0,39903000000.0,39915000000.0,39915000000.0,39915000000.0,39915000000.0,9723000000.0,-58000000.0,-58000000.0,-61000000.0,49891000000.0,49891000000.0,49891000000.0,,,,,,,,,,29936000000.0,30000000000.0,29936000000.0,30000000000.0,797445000000.0,538132000000.0,,,,,,,167374000000.0,197692.0,99511000000.0
29,6.신종자본증권발행,399360000000.0,349405000000.0,349405000000.0,349405000000.0,349405000000.0,349475000000.0,349475000000.0,349475000000.0,349475000000.0,633303000000.0,633303000000.0,299520000000.0,299520000000.0,,299490000000.0,,,,599200000000.0,399400000000.0,399400000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
30,7.신종자본증권의분배금,-26420000000.0,-101326000000.0,-75388000000.0,-49257000000.0,-23553000000.0,-89055000000.0,-65936000000.0,-43003000000.0,-20105000000.0,-68118000000.0,-48753000000.0,-30231000000.0,-14112000000.0,,-54996000000.0,,-18248000000.0,,-46186000000.0,-29384000000.0,-13117000000.0,,-36366000000.0,-24170000000.0,-12102000000.0,,,-18927000000.0,-9491000000.0,,,,-9516000000.0,,,,,,,,,,,,,,,,,167374000000.0,,
31,8.배당금지급,,-412315000000.0,-412315000000.0,-412315000000.0,-206000000.0,-407702000000.0,-407702000000.0,-407702000000.0,-206000000.0,-316023000000.0,-316023000000.0,-316023000000.0,-206000000.0,-294675000000.0,-294675000000.0,-294675000000.0,-206000000.0,-280260000000.0,-280260000000.0,-280259000000.0,-248000000.0,-205455000000.0,-205455000000.0,-205455000000.0,-206000000.0,-257754000000.0,-257755000000.0,-257755000000.0,-165000000.0,-373769000000.0,-373769000000.0,-373505000000.0,,-264235000000.0,-264236000000.0,-264236000000.0,-264029000000.0,-154100000000.0,-154100000000.0,-154100000000.0,-153962000000.0,,,,,,,,,167374000000.0,,
32,9.자기주식취득,,-21876000000.0,-21876000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
33,Ⅳ.외화표시현금및현금성자산에대한환율변동효과,82708000000.0,47055000000.0,115150000000.0,45329000000.0,49769000000.0,81113000000.0,64319000000.0,70429000000.0,17948000000.0,-69281000000.0,8663000000.0,-15712000000.0,-53750000000.0,56933000000.0,-7620000000.0,37343000000.0,3054000000.0,86016000000.0,135419000000.0,43840000000.0,9871000000.0,16796000000.0,-2887000000.0,-43852000000.0,43174000000.0,54275000000.0,-532000000.0,92830000000.0,30722000000.0,-152598000000.0,-71732000000.0,-31541000000.0,-31304000000.0,23803000000.0,,-110624000000.0,-31276000000.0,-14110000000.0,,,,,,,,,,,,167374000000.0,,
34,Ⅴ.현금및현금성자산의순증가(감소)(I+II+III+IV),376924000000.0,-187479000000.0,-726053000000.0,,-1295798000000.0,1826829000000.0,227713000000.0,,79253000000.0,-219357000000.0,-549015000000.0,,7564000000.0,174280000000.0,,,-698846000000.0,-280746000000.0,386607000000.0,,,,-1420803000000.0,,,,1036138000000.0,249994000000.0,,545990000000.0,822513000000.0,1527072000000.0,388332000000.0,323255000000.0,212783000000.0,475298000000.0,2015186000000.0,2950784000000.0,1413281000000.0,,2520976000000.0,,,,,,,,,167374000000.0,,
35,Ⅵ.기초의현금및현금성자산,4283832000000.0,4471311000000.0,4471311000000.0,4471311000000.0,4471311000000.0,2644482000000.0,2644482000000.0,2644482000000.0,2644482000000.0,2863839000000.0,2863839000000.0,2863839000000.0,2863839000000.0,2689559000000.0,2689559000000.0,2689559000000.0,2689559000000.0,2970305000000.0,2970305000000.0,2970303000000.0,2970305000000.0,4054479000000.0,4054479000000.0,4054479000000.0,4054479000000.0,3102319000000.0,3102319000000.0,3102319000000.0,3102319000000.0,2556329000000.0,2556329000000.0,2556329000000.0,2556329000000.0,2233074000000.0,6811066000000.0,2233073000000.0,6811066000000.0,3860282000000.0,3860282000000.0,3860282000000.0,3860282000000.0,,,,,,,,,167374000000.0,,
36,Ⅶ.기말의현금및현금성자산(주석44),,4283832000000.0,,,,4471311000000.0,,,,2644482000000.0,,,,2863839000000.0,,,,2689559000000.0,,,,2970304000000.0,,,,4054479000000.0,,,,3102319000000.0,,,,2556329000000.0,,,,6811066000000.0,,,,,,,,,,,,167374000000.0,,
