,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
41,2.대출채권처분손실,39335000000.0,404530000000.0,111764000000.0,156367000000.0,67088000000.0,,,,,,,,,
42,(4)외환거래손실,2327185000000.0,3337113000000.0,2334566000000.0,586342000000.0,455653000000.0,,,,,,,,,
43,(5)파생금융상품관련비용(주석18),6435190000000.0,8307125000000.0,10869507000000.0,1443557000000.0,1213819000000.0,1154335000000.0,1625732000000.0,921347000000.0,768253000000.0,,,,,
44,(6)수수료비용(주석26),263883000000.0,234344000000.0,204937000000.0,162578000000.0,131331000000.0,107249000000.0,82783000000.0,86354000000.0,-106284000000.0,-66666000000.0,-34216.0,36453000000.0,49793000000.0,54435000000.0
45,1.지급수수료,106249000000.0,97258000000.0,76664000000.0,59352000000.0,53746000000.0,,,,,,,,,
46,2.신용카드관련비용,157634000000.0,137086000000.0,128273000000.0,103226000000.0,77585000000.0,,,,,,,,,
47,(7)판매비와일반관리비,1486062000000.0,1449015000000.0,1410104000000.0,1312306000000.0,1098898000000.0,,,,,,,,,
48,1.급여,733429000000.0,683712000000.0,651962000000.0,612325000000.0,546552000000.0,,,,,,,,,
49,2.퇴직급여,123870000000.0,125413000000.0,94777000000.0,135645000000.0,85521000000.0,,,,,,,,,
50,3.복리후생비,68890000000.0,103704000000.0,100844000000.0,87569000000.0,78455000000.0,,,,,,,,,
51,4.임차료,58563000000.0,49250000000.0,38556000000.0,25899000000.0,20034000000.0,,,,,,,,,
52,5.접대비,5467000000.0,4599000000.0,3698000000.0,1913000000.0,1754000000.0,,,,,,,,,
53,6.감가상각비(주석11),100376000000.0,106959000000.0,113024000000.0,107416000000.0,94783000000.0,,,,,,,,,
54,7.무형자산상각비(주석12),30645000000.0,21400000000.0,13072000000.0,7180000000.0,2135000000.0,,,,,,,,,
55,8.세금과공과,92332000000.0,87453000000.0,94206000000.0,82950000000.0,69091000000.0,,,,,,,,,
56,9.광고선전비,75834000000.0,49354000000.0,70397000000.0,54769000000.0,28008000000.0,,,,,,,,,
57,10.기타판매비와일반관리비,196656000000.0,217171000000.0,229568000000.0,196640000000.0,172565000000.0,,,,,,,,,
