,Statement of financial position(Unit: KRW),20140630,20140331,20131231,20130630,20130331,20121231,20120930,20120630,20120331,20120101,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
15,매각예정처분자산집단(주석47),,31904694000000.0,34684805000000.0,,,,,,,,,,,,,,,,,,,,,,,
16,소유주분배예정자산집단(주석48),,50448792000000.0,50312293000000.0,,,,,,,,,,,,,,,,,,,,,,,
17,자산총계,258660716000000.0,336659396000000.0,340690382000000.0,336665684000000.0,327612484000000.0,327101814000000.0,323389732000000.0,318707406000000.0,319046646000000.0,314221690000000.0,312791649000000.0,313784488000000.0,303511833000000.0,307013118000000.0,291177318000000.0,284841006000000.0,284904067000000.0,290994295000000.0,249652302000000.0,211997330000000.0,164542848000000.0,136601964000000.0,128767720000000.0,114843534000000.0,100085817000000.0,96945431.0
18,II.부채,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"당기손익인식금융부채(주석4,11,19,25)",2686802000000.0,2173742000000.0,2507248000000.0,11397612000000.0,11713738000000.0,10985765000000.0,11521949000000.0,11227342000000.0,10319176000000.0,9621546000000.0,9621546000000.0,9778236000000.0,8754860000000.0,8971976000000.0,8838281000000.0,10415070000000.0,,,,,,,,,,
20,"예수부채(주석4,11,20,45)",179751900000000.0,176589453000000.0,175323644000000.0,206654332000000.0,204877575000000.0,204209580000000.0,203822689000000.0,203563078000000.0,199817521000000.0,197378565000000.0,195930482000000.0,192620167000000.0,189554341000000.0,190616025000000.0,185427625000000.0,176926868000000.0,178660922000000.0,170224891000000.0,146583312000000.0,129022868000000.0,107087991000000.0,92148907000000.0,89049625000000.0,78917388000000.0,-69332217000000.0,64842284.0
21,"차입부채(주석4,11,21)",16121563000000.0,15192207000000.0,18231511000000.0,32456162000000.0,31896989000000.0,33479716000000.0,33820082000000.0,33672120000000.0,33676630000000.0,34667740000000.0,34666709000000.0,35393251000000.0,34413316000000.0,34615419000000.0,34265662000000.0,32455007000000.0,71664594000000.0,74717758000000.0,66040316000000.0,54111207000000.0,,,,,,
22,"발행사채(주석4,11,21)",23583169000000.0,22577339000000.0,21677674000000.0,28447203000000.0,29104577000000.0,27959969000000.0,28839104000000.0,28664705000000.0,28140552000000.0,29265833000000.0,29265833000000.0,30151958000000.0,29889885000000.0,29800470000000.0,29110640000000.0,32573979000000.0,,,,,,,,,,
23,"충당부채(주석22,43,45)",502691000000.0,588046000000.0,684799000000.0,953415000000.0,958756000000.0,863658000000.0,713994000000.0,1072280000000.0,960060000000.0,892308000000.0,892308000000.0,816443000000.0,859494000000.0,915797000000.0,761055000000.0,693521000000.0,,,,,,,,,,
24,순확정급여부채(주석23),89359000000.0,117246000000.0,71602000000.0,160642000000.0,220708000000.0,166296000000.0,206356000000.0,164043000000.0,150998000000.0,119704000000.0,119704000000.0,172683000000.0,129248000000.0,,69949000000.0,123011000000.0,,,,,,,,,,
