,Statement of financial position(Unit: KRW),20191231,20181231,20171231,20161231,20151231,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20130101,20121231,20120930,20120630,20120331,20120101,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
15,자산총계,518538117000000.0,479588298000000.0,436785609000000.0,375673656000000.0,329065467000000.0,308355708000000.0,301670893000000.0,299098085000000.0,297800581000000.0,292167598000000.0,296958450000000.0,293576615000000.0,286670378000000.0,286069504000000.0,285751054000000.0,291216709000000.0,289231804000000.0,284846538000000.0,280870107000000.0,277600817000000.0,279883050000000.0,271783903000000.0,266394656000000.0,258770622000000.0,260158971000000.0,262168450000000.0,267548791000000.0
16,부채,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Ⅰ.당기손익-공정가치측정금융부채(주석4,6,19)",15368153000000.0,15326859000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Ⅱ.파생금융부채(주석4,6,9)",3007341000000.0,2901247000000.0,3142765000000.0,3807128000000.0,2325756000000.0,1797390000000.0,1651728000000.0,1777384000000.0,1428231000000.0,1795339000000.0,1855578000000.0,1794089000000.0,1896534000000.0,2054742000000.0,2054742000000.0,1957941000000.0,1613548000000.0,1719134000000.0,2037793000000.0,2059573000000.0,2677422000000.0,1962381000000.0,1944896000000.0,2236359000000.0,3138394000000.0,,
19,"Ⅲ.예수부채(주석4,6,20)",305592771000000.0,276770449000000.0,255800048000000.0,239729695000000.0,224268185000000.0,211549121000000.0,204804569000000.0,205360093000000.0,202020646000000.0,200882064000000.0,201885322000000.0,196576841000000.0,194502849000000.0,197346205000000.0,197346205000000.0,197215532000000.0,197725801000000.0,194724526000000.0,193258556000000.0,190337590000000.0,187482768000000.0,185038835000000.0,179157762000000.0,179862071000000.0,169065043000000.0,172439883000000.0,162210372000000.0
20,"Ⅳ.차입부채(주석4,6,21)",37818860000000.0,33004834000000.0,28820928000000.0,26251486000000.0,16240743000000.0,15864500000000.0,15924143000000.0,16344681000000.0,17080681000000.0,14101331000000.0,14490742000000.0,16540784000000.0,17185727000000.0,15965458000000.0,15965458000000.0,19742681000000.0,18883615000000.0,19290900000000.0,16821233000000.0,16823838000000.0,16137688000000.0,14281942000000.0,13939482000000.0,11744389000000.0,13834104000000.0,54493283000000.0,63495480000000.0
21,"Ⅴ.사채(주석4,6,22)",50935583000000.0,53278697000000.0,44992724000000.0,34992057000000.0,32600603000000.0,29200706000000.0,27762712000000.0,26460972000000.0,29224909000000.0,27039534000000.0,25798932000000.0,25155129000000.0,24383174000000.0,24270212000000.0,24270212000000.0,23893481000000.0,24817081000000.0,24467123000000.0,27170879000000.0,27069879000000.0,27663904000000.0,28498344000000.0,28928599000000.0,29107316000000.0,38661962000000.0,38842598000000.0,43190941000000.0
22,Ⅵ.충당부채(주석23),527929000000.0,525859000000.0,568033000000.0,537717000000.0,607860000000.0,614347000000.0,604899000000.0,636962000000.0,631009000000.0,678073000000.0,592272000000.0,737807000000.0,591941000000.0,669729000000.0,669729000000.0,694002000000.0,753645000000.0,768855000000.0,789780000000.0,797739000000.0,847597000000.0,850524000000.0,901478000000.0,1020070000000.0,576154000000.0,,
23,Ⅶ.순확정급여부채(주석24),253989000000.0,262213000000.0,154702000000.0,96299000000.0,73197000000.0,75684000000.0,181982000000.0,139503000000.0,92814000000.0,64473000000.0,158985000000.0,117029000000.0,75188000000.0,83723000000.0,83723000000.0,265556000000.0,,115645000000.0,127437000000.0,,,,,,,,
24,Ⅷ.당기법인세부채,432431000000.0,698634000000.0,433870000000.0,441812000000.0,30920000000.0,231907000000.0,216253000000.0,130183000000.0,256320000000.0,211263000000.0,175005000000.0,196237000000.0,339969000000.0,264666000000.0,264666000000.0,260086000000.0,248490000000.0,775448000000.0,588825000000.0,588825000000.0,538272000000.0,427628000000.0,234418000000.0,29641000000.0,99752000000.0,,
25,"IX.이연법인세부채(주석16,33)",777793000000.0,492534000000.0,533069000000.0,103482000000.0,179243000000.0,93211000000.0,162360000000.0,151028000000.0,130647000000.0,61816000000.0,91208000000.0,41867000000.0,153000000000.0,154303000000.0,154303000000.0,207757000000.0,207331000000.0,158682000000.0,242308000000.0,220842000000.0,192728000000.0,266640000000.0,318433000000.0,283575000000.0,404639000000.0,261655000000.0,160101000000.0
26,X.보험계약부채(주석37),34966683000000.0,33412949000000.0,31801275000000.0,7290844000000.0,,,,,,,,,,,,,,,,,,,,,,,
27,"XI.기타부채(주석4,6,25)",29737259000000.0,27200996000000.0,24470308000000.0,19038897000000.0,20861634000000.0,19597202000000.0,21869364000000.0,20269187000000.0,19450697000000.0,20236229000000.0,25645974000000.0,24167785000000.0,20591056000000.0,18327740000000.0,18327740000000.0,20650021000000.0,19216264000000.0,17642420000000.0,15280218000000.0,15086169000000.0,19345485000000.0,17543720000000.0,18599762000000.0,13526412000000.0,13584012000000.0,17123958000000.0,25780892000000.0
28,부채총계,479418792000000.0,443875271000000.0,402740780000000.0,344412253000000.0,300162745000000.0,280843036000000.0,274549346000000.0,272663823000000.0,271785996000000.0,266185324000000.0,271598592000000.0,268631004000000.0,261587042000000.0,260987913000000.0,260987913000000.0,266608734000000.0,265238299000000.0,261429893000000.0,257705108000000.0,254501022000000.0,256340734000000.0,250592503000000.0,245397658000000.0,239104692000000.0,240728283000000.0,244057124000000.0,251486744000000.0
29,자본,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ⅰ.지배기업주주지분(주석26),38533918000000.0,35703916000000.0,34038685000000.0,30998044000000.0,28680621000000.0,27315092000000.0,26926719000000.0,26242920000000.0,25829890000000.0,25982274000000.0,25359858000000.0,24945611000000.0,24877274000000.0,24887069000000.0,24568619000000.0,24408040000000.0,23803510000000.0,23232386000000.0,22983179000000.0,22917975000000.0,22766281000000.0,20414452000000.0,19823544000000.0,18496687000000.0,18349693000000.0,,
31,1.자본금,2090558000000.0,2090558000000.0,2090558000000.0,2090558000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1931758000000.0,1781758000000.0
32,2.신종자본증권,399205000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3.자본잉여금,17122777000000.0,17121660000000.0,17122228000000.0,16994902000000.0,15854510000000.0,15854510000000.0,15854605000000.0,15854605000000.0,15854605000000.0,15854605000000.0,15854079000000.0,15855456000000.0,15840300000000.0,15840300000000.0,15840300000000.0,15840300000000.0,15841334000000.0,15841334000000.0,15841824000000.0,15841824000000.0,15842218000000.0,15990997000000.0,15990855000000.0,15990278000000.0,15990618000000.0,,
34,4.기타포괄손익누계액(주석35),348021000000.0,177806000000.0,537668000000.0,405329000000.0,430244000000.0,461679000000.0,582018000000.0,354365000000.0,333022000000.0,336312000000.0,302830000000.0,313772000000.0,402486000000.0,295142000000.0,295142000000.0,400657000000.0,205196000000.0,181530000000.0,161039000000.0,191642000000.0,258623000000.0,336189000000.0,562759000000.0,430572000000.0,350941000000.0,,
35,5.이익잉여금,19709545000000.0,17282441000000.0,15044204000000.0,12229228000000.0,10464109000000.0,9067145000000.0,8558338000000.0,8102192000000.0,7710505000000.0,7859599000000.0,7271191000000.0,6844625000000.0,6702730000000.0,6819869000000.0,6501419000000.0,6235325000000.0,5825222000000.0,5277764000000.0,5048558000000.0,4952751000000.0,4733682000000.0,4154610000000.0,3337274000000.0,2620888000000.0,2553185000000.0,,
36,6.자기주식,-1136188000000.0,-968549000000.0,-755973000000.0,-721973000000.0,,,,,,,,,,,,,,,,,,-1999102000000.0,-1999102000000.0,-2476809000000.0,-2476809000000.0,-2476809000000.0,-2710349000000.0
37,Ⅱ.비지배지분,585407000000.0,9111000000.0,6144000000.0,263359000000.0,222101000000.0,197580000000.0,194828000000.0,191342000000.0,184695000000.0,,,,206062000000.0,194522000000.0,194522000000.0,199935000000.0,189995000000.0,184259000000.0,181820000000.0,181820000000.0,776035000000.0,776948000000.0,1173454000000.0,1169243000000.0,1080995000000.0,,
38,자본총계,39119325000000.0,35713027000000.0,34044829000000.0,31261403000000.0,28902722000000.0,27512672000000.0,27121547000000.0,26434262000000.0,26014585000000.0,25982274000000.0,25359858000000.0,24945611000000.0,25083336000000.0,25081591000000.0,24763141000000.0,24607975000000.0,23993505000000.0,23416645000000.0,23164999000000.0,23099795000000.0,23542316000000.0,21191400000000.0,20996998000000.0,19665930000000.0,19430688000000.0,18111326000000.0,16062047000000.0
39,부채와자본총계,518538117000000.0,479588298000000.0,436785609000000.0,375673656000000.0,329065467000000.0,308355708000000.0,301670893000000.0,299098085000000.0,297800581000000.0,292167598000000.0,296958450000000.0,293576615000000.0,286670378000000.0,286069504000000.0,285751054000000.0,291216709000000.0,289231804000000.0,284846538000000.0,280870107000000.0,277600817000000.0,279883050000000.0,271783903000000.0,266394656000000.0,258770622000000.0,260158971000000.0,,
