,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140630,20140331,20131231,20130930,20130630,20130331,20121231-20120101,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090101,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231,19961231,19000101
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,76818000000.0,62402000000.0,104067000000.0,77979000000.0,107568000000.0,116148000000.0,171099000000.0,134182000000.0,141752000000.0,109989000000.0,162445000000.0,182516000000.0,147301000000.0,322857000000.0,383011000000.0,403757000000.0,380817000000.0,343518000000.0,423315000000.0,392414000000.0,375681000000.0,307655000000.0,397971000000.0,406375000000.0,330375000000.0,401067000000.0,450544000000.0,469527000000.0,436984000000.0,436984000000.0,508388000000.0,453735000000.0,401708000000.0,326842000000.0,408324000000.0,333438000000.0,304088000000.0,245653000000.0,305189000000.0,261622000000.0,248240000000.0,187242000000.0,210090000000.0,8866196000000.0,7586044000000.0,7378438000000.0,7248448000000.0,7010514000000.0,6874340000000.0,3909189000000.0,103001372000.0,505797993000.0,410634151000.0,-373942036.0,-473636376.0,-389983019000.0,326842000000.0
9,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,Non-current assets or disposal groups classified as held for sale or as held for distribution to owners,재무상태표 [abstract],자산 [abstract],유동자산,매각예정자산,1844000000.0,,323222000000.0,,1650603000000.0,,,,,109368000000.0,86652000000.0,1142957000000.0,1180516000000.0,,3702000000.0,,,,1233000000.0,1232000000.0,1070000000.0,1519000000.0,10365000000.0,9374000000.0,13844000000.0,2381000000.0,6453000000.0,,,,1133000000.0,1133000000.0,6181000000.0,7699000000.0,,,,,,,,,,,,,,,,,,,,,,,7699000000.0
10,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,18842762000000.0,18495573000000.0,18849937000000.0,18850200000000.0,18117641000000.0,18222826000000.0,18111787000000.0,17378423000000.0,16963033000000.0,16279888000000.0,15621828000000.0,15158779000000.0,14502924000000.0,14826327000000.0,14522471000000.0,14312582000000.0,13984199000000.0,13967840000000.0,14043502000000.0,13704413000000.0,13372439000000.0,13481501000000.0,13261814000000.0,13062296000000.0,12840505000000.0,13465913000000.0,12805487000000.0,12533074000000.0,12440961000000.0,12640617000000.0,12723775000000.0,12322250000000.0,12175502000000.0,12117562000000.0,11805095000000.0,11519556000000.0,11136129000000.0,10977545000000.0,10836477000000.0,10635349000000.0,9995200000000.0,9696988000000.0,8712192000000.0,34264870000000.0,29783618000000.0,30591357000000.0,,,,,,,,,,,11910867000000.0
11,entity00120021_udf_BS_201910279495035_NoncurrentAssets,장기금융기관예치금,Non-current  Financial institution deposits,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융기관예치금,312000000.0,285000000.0,250000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000.0,9000000.0,748000000.0,112000000.0,842000000.0,,,,,,,,,,,,,,
12,entity00120021_udf_BS_20188582737993_NoncurrentAssets,기타금융자산,Non-current  Other financial asset,재무상태표 [abstract],자산 [abstract],비유동자산,기타금융자산,116728000000.0,127062000000.0,119602000000.0,120492000000.0,117383000000.0,117217000000.0,131168000000.0,125748000000.0,119145000000.0,121817000000.0,101020000000.0,102217000000.0,96077000000.0,91043000000.0,92224000000.0,95892000000.0,95453000000.0,93124000000.0,93166000000.0,93385000000.0,105755000000.0,103807000000.0,111793000000.0,111211000000.0,109853000000.0,106008000000.0,100350000000.0,103916000000.0,107769000000.0,107769000000.0,108032000000.0,104261000000.0,104769000000.0,106581000000.0,98669000000.0,115987000000.0,117608000000.0,124685000000.0,127197000000.0,114074000000.0,119891000000.0,131800000000.0,94629000000.0,,,,,,,,,,,,,,106581000000.0
13,dart_LongTermTradeReceivablesGross,장기매출채권,"Long-term trade receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권,26160000000.0,26309000000.0,27034000000.0,26875000000.0,26681000000.0,25751000000.0,24284000000.0,25478000000.0,25300000000.0,25734000000.0,9470000000.0,12653000000.0,14352000000.0,17032000000.0,14738000000.0,15821000000.0,12739000000.0,8369000000.0,4560000000.0,4784000000.0,5880000000.0,7232000000.0,8041000000.0,9376000000.0,11216000000.0,7381000000.0,11191000000.0,7053000000.0,7373000000.0,7373000000.0,7553000000.0,8625000000.0,8363000000.0,8048000000.0,7281000000.0,8174000000.0,9433000000.0,9797000000.0,10497000000.0,13162000000.0,,10553000000.0,17972000000.0,,,,,,,,,,,,,,8048000000.0
14,entity00120021_udf_BS_2017113113025244_NoncurrentAssets,장기기타채권,"Non-current  Other receivables, net",재무상태표 [abstract],자산 [abstract],비유동자산,장기기타채권,5010000000.0,5066000000.0,3940000000.0,3430000000.0,2020000000.0,44763000000.0,1941000000.0,1629000000.0,1085000000.0,17000000.0,763000000.0,732000000.0,13311000000.0,14808000000.0,16792000000.0,17360000000.0,16837000000.0,17374000000.0,18246000000.0,18512000000.0,18374000000.0,19027000000.0,19670000000.0,21494000000.0,20327000000.0,23023000000.0,10802000000.0,18043000000.0,17709000000.0,17709000000.0,17971000000.0,16137000000.0,16057000000.0,16576000000.0,18693000000.0,17437000000.0,13994000000.0,13737000000.0,17351000000.0,17464000000.0,,16480000000.0,19912000000.0,,,,,,,,,,,,,,16576000000.0
15,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업및공동기업투자,Investments accounted for using equity method,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업및공동기업투자,15366221000000.0,14998373000000.0,15363731000000.0,15095796000000.0,14582925000000.0,14478228000000.0,14492997000000.0,13796232000000.0,13419345000000.0,12753226000000.0,12353214000000.0,11903507000000.0,11369492000000.0,10979154000000.0,10680358000000.0,10649322000000.0,10353214000000.0,10345631000000.0,10398578000000.0,10052897000000.0,9723005000000.0,9815312000000.0,9613938000000.0,9424954000000.0,9434268000000.0,9805508000000.0,9384264000000.0,9086031000000.0,9018577000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8574822000000.0
16,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,145474000000.0,143707000000.0,148625000000.0,135735000000.0,130202000000.0,152950000000.0,136235000000.0,127457000000.0,116932000000.0,123075000000.0,176151000000.0,163408000000.0,145738000000.0,208887000000.0,217672000000.0,205751000000.0,196664000000.0,194089000000.0,189417000000.0,189398000000.0,182325000000.0,175280000000.0,169722000000.0,153890000000.0,141571000000.0,179105000000.0,138397000000.0,142355000000.0,134435000000.0,134435000000.0,134429000000.0,132023000000.0,135628000000.0,138031000000.0,125590000000.0,112339000000.0,95321000000.0,102166000000.0,85097000000.0,83631000000.0,79738000000.0,84396000000.0,97456000000.0,,,,571670000000.0,618711000000.0,627739000000.0,632759000000.0,4399488000.0,,,,,,138031000000.0
17,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,2483000000.0,3554000000.0,3555000000.0,2843000000.0,3980000000.0,9419000000.0,9191000000.0,9345000000.0,9396000000.0,8541000000.0,8588000000.0,8460000000.0,8554000000.0,56279000000.0,59943000000.0,64816000000.0,62825000000.0,68782000000.0,80343000000.0,88551000000.0,86488000000.0,93632000000.0,112081000000.0,123022000000.0,117045000000.0,103189000000.0,136026000000.0,137848000000.0,134910000000.0,134910000000.0,145159000000.0,156338000000.0,167872000000.0,171716000000.0,73765000000.0,20640000000.0,21061000000.0,20965000000.0,21472000000.0,21475000000.0,22013000000.0,22551000000.0,15407000000.0,3214036000000.0,2489346000000.0,2571663000000.0,,,,,,,,,,,171716000000.0
