,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140630,20140331,20131231,20130930,20130630,20130331,20121231-20120101,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090101,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231,19961231,19000101
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
18,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,1641637000000.0,1640134000000.0,1657428000000.0,1681308000000.0,1712192000000.0,1877748000000.0,1853505000000.0,1844474000000.0,1918515000000.0,1911540000000.0,1911355000000.0,1909748000000.0,1825894000000.0,2481390000000.0,2456633000000.0,2480531000000.0,2476254000000.0,2471315000000.0,2473453000000.0,2478116000000.0,2460592000000.0,2477695000000.0,2399899000000.0,2576399000000.0,2362352000000.0,2442426000000.0,2373039000000.0,2398859000000.0,2383257000000.0,2383257000000.0,2311087000000.0,2270583000000.0,2285960000000.0,2283455000000.0,2304473000000.0,2272510000000.0,2200507000000.0,2062827000000.0,1974542000000.0,1886191000000.0,1854854000000.0,1846400000000.0,1879520000000.0,28823367000000.0,25498089000000.0,26249479000000.0,25130637000000.0,20779082000000.0,23479593000000.0,13502242000000.0,533717250000.0,3723698466000.0,3121475553000.0,-3366058691.0,-3623750725.0,-3408108644000.0,2283455000000.0
19,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,1380635000000.0,1391962000000.0,1406675000000.0,1675537000000.0,1443572000000.0,1416911000000.0,1367716000000.0,1354244000000.0,1261458000000.0,1241544000000.0,961550000000.0,960248000000.0,932835000000.0,863726000000.0,874819000000.0,674244000000.0,658145000000.0,652570000000.0,667507000000.0,657786000000.0,659736000000.0,654962000000.0,674161000000.0,487044000000.0,487349000000.0,663652000000.0,493588000000.0,488919000000.0,491788000000.0,491788000000.0,494745000000.0,499199000000.0,483863000000.0,487386000000.0,456450000000.0,445470000000.0,384049000000.0,369538000000.0,392382000000.0,437290000000.0,426255000000.0,407597000000.0,388987000000.0,,,,,,,,,,,,,,487386000000.0
20,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,107656000000.0,109744000000.0,99986000000.0,90280000000.0,83088000000.0,99839000000.0,94750000000.0,93816000000.0,91857000000.0,94394000000.0,99717000000.0,97806000000.0,96671000000.0,114008000000.0,109292000000.0,108845000000.0,112068000000.0,116586000000.0,118232000000.0,120926000000.0,130284000000.0,134461000000.0,152406000000.0,154761000000.0,156411000000.0,135523000000.0,157708000000.0,149799000000.0,144887000000.0,144887000000.0,135143000000.0,128885000000.0,124388000000.0,123980000000.0,127085000000.0,108859000000.0,107517000000.0,106478000000.0,101936000000.0,101190000000.0,95962000000.0,96831000000.0,64307000000.0,1130798000000.0,833708000000.0,824790000000.0,1455297000000.0,2334040000000.0,2630269000000.0,3171155000000.0,181528088000.0,134535186000.0,92737369000.0,-27129646.0,-23386950.0,-3307600000.0,123980000000.0
21,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,50446000000.0,49377000000.0,19111000000.0,17904000000.0,15598000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,22634923000000.0,22434630000000.0,22772307000000.0,22454660000000.0,23268901000000.0,22835911000000.0,22836469000000.0,22243109000000.0,22304035000000.0,21647697000000.0,20568944000000.0,20365306000000.0,19899820000000.0,19489442000000.0,18597775000000.0,18482235000000.0,18209524000000.0,18123400000000.0,17934794000000.0,17501080000000.0,17183213000000.0,17332707000000.0,16923863000000.0,16955210000000.0,16550177000000.0,16995911000000.0,16559142000000.0,16441542000000.0,15848076000000.0,16047732000000.0,16304217000000.0,15629046000000.0,15410314000000.0,15160651000000.0,15032875000000.0,14683003000000.0,14508885000000.0,13778868000000.0,13334677000000.0,13025040000000.0,12714954000000.0,12004006000000.0,10836805000000.0,64782098000000.0,54080224000000.0,50152898000000.0,50359445000000.0,46367408000000.0,50205856000000.0,32152521000000.0,4050288373000.0,7539090437000.0,6430612477000.0,6195530812.0,7199916040.0,-5654432288000.0,14953956000000.0
23,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,2186769000000.0,2244801000000.0,2196266000000.0,2177052000000.0,3405693000000.0,3039531000000.0,3016690000000.0,2790770000000.0,3756872000000.0,3943608000000.0,3256316000000.0,3796398000000.0,3899177000000.0,3567302000000.0,3253729000000.0,3151249000000.0,3041469000000.0,2712625000000.0,2564013000000.0,2479974000000.0,2927498000000.0,2896801000000.0,2558877000000.0,2722221000000.0,2659677000000.0,2574309000000.0,2791809000000.0,3005293000000.0,2425871000000.0,2425871000000.0,2675186000000.0,2424771000000.0,2581694000000.0,2621422000000.0,2688089000000.0,2868963000000.0,3145788000000.0,2594147000000.0,2307132000000.0,2284173000000.0,2669461000000.0,2228678000000.0,2201790000000.0,28110014000000.0,21135664000000.0,21126530000000.0,21252021000000.0,20777637000000.0,24169281000000.0,15614950000000.0,680675373000.0,2572524924000.0,2454627392000.0,-2311288308.0,-2930242518.0,-2247961866000.0,2621422000000.0
24,dart_CurrentDerivativeLiabilities,유동성파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성파생상품부채,2813000000.0,276000000.0,1030000000.0,694000000.0,1163000000.0,181000000.0,5776000000.0,8180000000.0,1025000000.0,1982000000.0,3143000000.0,2955000000.0,3724000000.0,4406000000.0,3581000000.0,4184000000.0,3102000000.0,2817000000.0,4135000000.0,3685000000.0,2909000000.0,2319000000.0,1794000000.0,1564000000.0,1403000000.0,3511000000.0,3488000000.0,2413000000.0,1633000000.0,1633000000.0,1635000000.0,1314000000.0,1234000000.0,1847000000.0,3849000000.0,1059000000.0,1056000000.0,1422000000.0,1762000000.0,2799000000.0,1693000000.0,1508000000.0,7858000000.0,85126000000.0,68550000000.0,29948000000.0,1705000000.0,57270000000.0,10884000000.0,610000000.0,,,,,,,1847000000.0
25,entity00120021_udf_BS_201711313144570_CurrentLiabilities,매입채무,Trade payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,479162000000.0,836117000000.0,600143000000.0,675629000000.0,638793000000.0,1634670000000.0,1807612000000.0,1590302000000.0,1877557000000.0,2261617000000.0,1680359000000.0,1501797000000.0,1501120000000.0,1635402000000.0,1295802000000.0,1216382000000.0,1133025000000.0,1353031000000.0,1144563000000.0,1057542000000.0,1230416000000.0,1371962000000.0,1104772000000.0,1120670000000.0,1253987000000.0,1063434000000.0,1276912000000.0,1264468000000.0,1270703000000.0,1270703000000.0,1291358000000.0,1185129000000.0,1148344000000.0,1247669000000.0,1035200000000.0,1225360000000.0,1348671000000.0,1288103000000.0,960120000000.0,968997000000.0,,996037000000.0,775634000000.0,6144919000000.0,6290779000000.0,5718921000000.0,4774406000000.0,4419183000000.0,6804167000000.0,3640099000000.0,210156317000.0,395695397000.0,328554479000.0,188930079.0,268978741.0,174500645000.0,1247669000000.0
26,ifrs-full_TradeAndOtherCurrentPayables,미지급금및기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,미지급금및기타채무,835938000000.0,523937000000.0,591547000000.0,573632000000.0,875935000000.0,569199000000.0,583655000000.0,553558000000.0,836082000000.0,678813000000.0,638070000000.0,672535000000.0,959532000000.0,783695000000.0,738441000000.0,713614000000.0,779515000000.0,536476000000.0,551408000000.0,596413000000.0,723743000000.0,595862000000.0,560848000000.0,709462000000.0,577683000000.0,584587000000.0,569673000000.0,755867000000.0,559902000000.0,559902000000.0,591461000000.0,563440000000.0,757781000000.0,654896000000.0,591162000000.0,646719000000.0,783224000000.0,566104000000.0,541039000000.0,515987000000.0,,468838000000.0,530941000000.0,,,,,,,,,,,,,,654896000000.0
27,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,53588000000.0,56129000000.0,53795000000.0,54721000000.0,53153000000.0,72956000000.0,82598000000.0,69053000000.0,67156000000.0,59086000000.0,69051000000.0,72511000000.0,73716000000.0,190795000000.0,222716000000.0,220023000000.0,224458000000.0,168518000000.0,230066000000.0,143496000000.0,213231000000.0,180230000000.0,169279000000.0,210730000000.0,108660000000.0,216863000000.0,272975000000.0,382355000000.0,174093000000.0,174093000000.0,316918000000.0,192590000000.0,202011000000.0,159822000000.0,414570000000.0,340813000000.0,328490000000.0,112552000000.0,181434000000.0,153744000000.0,247872000000.0,151329000000.0,401726000000.0,7956286000000.0,5501320000000.0,5751176000000.0,6058750000000.0,7142053000000.0,6415000000000.0,5041147000000.0,70118871000.0,532388554000.0,597478434000.0,597719037.0,1524473955.0,1231488020000.0,159822000000.0
28,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,301588000000.0,301500000000.0,391508000000.0,391405000000.0,161564000000.0,161526000000.0,51651000000.0,51633000000.0,320798000000.0,320726000000.0,270740000000.0,241463000000.0,51652000000.0,506975000000.0,607387000000.0,628528000000.0,567536000000.0,320563000000.0,332609000000.0,431707000000.0,493892000000.0,503821000000.0,452381000000.0,413394000000.0,494753000000.0,461177000000.0,397105000000.0,329440000000.0,179600000000.0,179600000000.0,159903000000.0,155165000000.0,172829000000.0,302254000000.0,380654000000.0,394426000000.0,410487000000.0,400727000000.0,393765000000.0,379145000000.0,480790000000.0,421489000000.0,213853000000.0,,,,,,,,,,,,,,302254000000.0
29,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,61747000000.0,48513000000.0,45595000000.0,114111000000.0,117767000000.0,186938000000.0,79135000000.0,108415000000.0,222709000000.0,196819000000.0,191332000000.0,74544000000.0,61608000000.0,82386000000.0,52531000000.0,57956000000.0,60120000000.0,70638000000.0,36880000000.0,51170000000.0,76550000000.0,75349000000.0,57342000000.0,63154000000.0,60014000000.0,46183000000.0,58812000000.0,,68288000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,110563000000.0
30,ifrs-full_CurrentProvisions,유동성충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,유동성충당부채,42195000000.0,48255000000.0,46340000000.0,49773000000.0,49988000000.0,52430000000.0,61143000000.0,63487000000.0,58296000000.0,62766000000.0,56917000000.0,60191000000.0,47771000000.0,51466000000.0,36350000000.0,32180000000.0,34086000000.0,36437000000.0,26404000000.0,20441000000.0,22203000000.0,24107000000.0,19073000000.0,19091000000.0,23491000000.0,19224000000.0,20908000000.0,19472000000.0,20332000000.0,20332000000.0,16171000000.0,15896000000.0,14966000000.0,14385000000.0,13686000000.0,13226000000.0,14533000000.0,15697000000.0,12396000000.0,11366000000.0,10039000000.0,10639000000.0,7298000000.0,,,,,,,,,,,,,,14385000000.0
31,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,316037000000.0,333379000000.0,325371000000.0,309859000000.0,318848000000.0,361631000000.0,345120000000.0,346142000000.0,373249000000.0,310840000000.0,328769000000.0,377506000000.0,382759000000.0,312031000000.0,292231000000.0,278382000000.0,239627000000.0,224145000000.0,236339000000.0,173975000000.0,163019000000.0,141536000000.0,193355000000.0,184071000000.0,139552000000.0,179330000000.0,191721000000.0,171663000000.0,151124000000.0,151124000000.0,258337000000.0,248480000000.0,172582000000.0,125389000000.0,195378000000.0,183374000000.0,165706000000.0,101824000000.0,150318000000.0,164592000000.0,348154000000.0,114749000000.0,136276000000.0,,,,,,,,,,,,,,125389000000.0
32,ifrs-full_CurrentLeaseLiabilities,유동성리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성리스부채,25925000000.0,21555000000.0,8674000000.0,7228000000.0,12151000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,매각예정자산관련부채,Liabilities included in disposal groups classified as held for sale,재무상태표 [abstract],부채 [abstract],유동부채,매각예정자산관련부채,67776000000.0,75140000000.0,132263000000.0,,1176331000000.0,,,,,50959000000.0,17935000000.0,792896000000.0,817295000000.0,146000000.0,,,,,,,,,,,,,,,,,883000000.0,883000000.0,751000000.0,929000000.0,,,,,,,,,,,,,,,,,,,,,,,
34,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,1168022000000.0,1168808000000.0,1241099000000.0,1329339000000.0,1491823000000.0,1631902000000.0,1985677000000.0,1952849000000.0,1546389000000.0,1524578000000.0,1285740000000.0,1251245000000.0,1315542000000.0,1702056000000.0,1537727000000.0,1616341000000.0,1814249000000.0,2102531000000.0,2103935000000.0,2155157000000.0,1748217000000.0,1850071000000.0,2145368000000.0,2132047000000.0,1785209000000.0,1982137000000.0,1891400000000.0,1846534000000.0,1876805000000.0,1886909000000.0,1918511000000.0,1914382000000.0,1774618000000.0,1578782000000.0,1446196000000.0,1166448000000.0,1045918000000.0,951753000000.0,1047182000000.0,1053506000000.0,1057999000000.0,1178477000000.0,1190948000000.0,10937610000000.0,11015951000000.0,10631838000000.0,,,,,,,,,,,1568340000000.0
35,dart_NonCurrentDerivativeLiabilities,파생상품부채,Non-current derivative liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,파생상품부채,8465000000.0,8465000000.0,,,,,,,,,,,22000000.0,53000000.0,215000000.0,351000000.0,370000000.0,520000000.0,2380000000.0,2551000000.0,3316000000.0,3043000000.0,2131000000.0,1783000000.0,1881000000.0,2521000000.0,2463000000.0,3329000000.0,3273000000.0,3273000000.0,3868000000.0,3134000000.0,2646000000.0,3440000000.0,3310000000.0,2554000000.0,2087000000.0,2447000000.0,3435000000.0,2580000000.0,2045000000.0,1391000000.0,6349000000.0,,,,,,,,,,,,,,3440000000.0
36,dart_LongTermTradeAndOtherNonCurrentPayables,장기기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기기타채무,80167000000.0,84269000000.0,38884000000.0,78208000000.0,77095000000.0,77743000000.0,51294000000.0,48667000000.0,41514000000.0,59854000000.0,64322000000.0,41067000000.0,33139000000.0,83463000000.0,97383000000.0,149307000000.0,249167000000.0,244555000000.0,240797000000.0,236889000000.0,233094000000.0,229047000000.0,225401000000.0,221842000000.0,217054000000.0,225286000000.0,214579000000.0,210583000000.0,206925000000.0,206925000000.0,200851000000.0,197849000000.0,194244000000.0,191415000000.0,191094000000.0,189445000000.0,185431000000.0,187937000000.0,195075000000.0,186982000000.0,,184985000000.0,163734000000.0,,,,,,,,,,,,,,191415000000.0
37,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,761849000000.0,757385000000.0,880910000000.0,944101000000.0,1142188000000.0,1285055000000.0,1415297000000.0,1400092000000.0,1014700000000.0,1012845000000.0,730079000000.0,759521000000.0,850096000000.0,1179800000000.0,970605000000.0,1004167000000.0,1128458000000.0,1427434000000.0,1381921000000.0,1468772000000.0,1081954000000.0,1193367000000.0,1492961000000.0,1490276000000.0,1147419000000.0,1313474000000.0,1236994000000.0,1215079000000.0,1237057000000.0,1237057000000.0,1235638000000.0,1263420000000.0,1135905000000.0,953180000000.0,848528000000.0,576810000000.0,464096000000.0,367212000000.0,451246000000.0,479338000000.0,508551000000.0,629923000000.0,723440000000.0,3791037000000.0,3018513000000.0,3381928000000.0,2314435000000.0,1532310000000.0,1421641000000.0,728679000000.0,156321532000.0,427773913000.0,426186392000.0,613996908.0,1107062393.0,677835399000.0,953180000000.0
38,dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,22131000000.0,16959000000.0,34763000000.0,26796000000.0,15364000000.0,10402000000.0,24055000000.0,23578000000.0,18385000000.0,12697000000.0,65773000000.0,57941000000.0,50090000000.0,56855000000.0,123477000000.0,111806000000.0,94483000000.0,83032000000.0,129250000000.0,117918000000.0,107333000000.0,97302000000.0,99947000000.0,90006000000.0,83700000000.0,111369000000.0,100943000000.0,91382000000.0,90569000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,78215000000.0
39,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,230440000000.0,231008000000.0,235643000000.0,228721000000.0,211396000000.0,213536000000.0,458344000000.0,443792000000.0,434852000000.0,401631000000.0,385816000000.0,363448000000.0,354728000000.0,346255000000.0,308227000000.0,309374000000.0,296837000000.0,297952000000.0,300180000000.0,284934000000.0,274297000000.0,276920000000.0,268188000000.0,267672000000.0,270809000000.0,276713000000.0,267374000000.0,253756000000.0,260710000000.0,270814000000.0,276277000000.0,269145000000.0,264010000000.0,262375000000.0,236409000000.0,235100000000.0,234139000000.0,237371000000.0,230741000000.0,217859000000.0,197116000000.0,198300000000.0,153088000000.0,,,,363550000000.0,274948000000.0,361757000000.0,90123000000.0,201902231000.0,135523951000.0,64626087000.0,,,,251933000000.0
40,ifrs-full_NoncurrentProvisions,충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,5094000000.0,5870000000.0,4854000000.0,4882000000.0,4904000000.0,5025000000.0,4848000000.0,4447000000.0,4296000000.0,4388000000.0,5366000000.0,5169000000.0,8489000000.0,9761000000.0,9220000000.0,10371000000.0,10433000000.0,10202000000.0,8097000000.0,8774000000.0,8948000000.0,7229000000.0,6383000000.0,6316000000.0,6533000000.0,6496000000.0,4017000000.0,3884000000.0,6439000000.0,6439000000.0,5531000000.0,5397000000.0,5320000000.0,5243000000.0,5102000000.0,5069000000.0,5035000000.0,4949000000.0,4854000000.0,6003000000.0,5595000000.0,5856000000.0,1652000000.0,,,,,,,,,,,,,,5243000000.0
41,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동금융부채,37250000000.0,38171000000.0,37126000000.0,37860000000.0,38516000000.0,40141000000.0,31839000000.0,32273000000.0,32642000000.0,33163000000.0,34384000000.0,24099000000.0,18978000000.0,25869000000.0,28600000000.0,30965000000.0,34501000000.0,38836000000.0,41310000000.0,35319000000.0,39275000000.0,43163000000.0,50357000000.0,54152000000.0,57813000000.0,46278000000.0,64993000000.0,68432000000.0,71696000000.0,71696000000.0,74752000000.0,78236000000.0,81320000000.0,84557000000.0,87393000000.0,90168000000.0,93555000000.0,96394000000.0,99581000000.0,100709000000.0,103381000000.0,102736000000.0,100352000000.0,,,,,,,,,,,,,,84557000000.0
42,ifrs-full_NoncurrentLeaseLiabilities,리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,리스부채,22626000000.0,26681000000.0,8919000000.0,8771000000.0,2360000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,3354791000000.0,3413609000000.0,3437365000000.0,3506391000000.0,4897516000000.0,4671433000000.0,5002367000000.0,4743619000000.0,5303261000000.0,5468186000000.0,4542056000000.0,5047643000000.0,5214719000000.0,5269358000000.0,4791456000000.0,4767590000000.0,4855718000000.0,4815156000000.0,4667948000000.0,4635131000000.0,4675715000000.0,4746872000000.0,4704245000000.0,4854268000000.0,4444886000000.0,4556446000000.0,4683209000000.0,4851827000000.0,4302676000000.0,4312780000000.0,4593697000000.0,4339153000000.0,4356312000000.0,4200204000000.0,4134285000000.0,4035411000000.0,4191706000000.0,3545900000000.0,3354314000000.0,3337679000000.0,3727460000000.0,3407155000000.0,3392738000000.0,39047624000000.0,32151615000000.0,31758368000000.0,32136007000000.0,31689046000000.0,36273441000000.0,23576651000000.0,2092291843000.0,4782676650000.0,4119222903000.0,4708027636.0,5723967793.0,-4223901561000.0,4189762000000.0
44,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,19098104000000.0,18827021000000.0,19153529000000.0,18778108000000.0,18206429000000.0,17998725000000.0,17673921000000.0,17341122000000.0,16848156000000.0,16002559000000.0,15854102000000.0,14965335000000.0,14345749000000.0,13874365000000.0,13475026000000.0,13387594000000.0,13024032000000.0,12975511000000.0,12943200000000.0,12546528000000.0,12186948000000.0,12251947000000.0,11889295000000.0,11765728000000.0,11756394000000.0,12114293000000.0,11510916000000.0,11194652000000.0,11129040000000.0,11318592000000.0,11301028000000.0,10883190000000.0,10654645000000.0,10549478000000.0,10505414000000.0,10260450000000.0,9949318000000.0,9864017000000.0,9639413000000.0,9378802000000.0,8691141000000.0,8297700000000.0,7121727000000.0,,,,,,,,,,,,,,10353225000000.0
45,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,879359000000.0,1352860000000.0,633874000000.0,485660290000.0,553684210000.0,553684210000.0,-443684210.0,-443684210.0,-443684210000.0,879359000000.0
46,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,2363147000000.0,2363147000000.0,2363147000000.0,2363147000000.0,2363147000000.0,2365545000000.0,2365545000000.0,2365545000000.0,2365549000000.0,2365549000000.0,2365549000000.0,2364835000000.0,2364835000000.0,2364937000000.0,2365523000000.0,2365789000000.0,2361538000000.0,2361658000000.0,2361744000000.0,2361743000000.0,2361743000000.0,2362706000000.0,2362713000000.0,2365079000000.0,2365354000000.0,2362706000000.0,2366296000000.0,2366296000000.0,2366296000000.0,2366296000000.0,2367172000000.0,2367172000000.0,2367172000000.0,2367118000000.0,2368864000000.0,2368864000000.0,2368789000000.0,2368235000000.0,2352106000000.0,2348466000000.0,2348510000000.0,2348510000000.0,2358067000000.0,,,,,,,,,,,,,,2367118000000.0
47,dart_ElementsOfOtherStockholdersEquity,기타자본항목,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본항목,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2390000000.0,-2440000000.0,-2440000000.0,-2440000000.0,-2480000000.0,-2779000000.0,-12361000000.0,-14377000000.0,-14377000000.0,-14377000000.0,-15258000000.0,,,,,,,,,,,,,,-2440000000.0
48,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-44364000000.0,-112366000000.0,-8965000000.0,-71128000000.0,-162623000000.0,-292418000000.0,-266874000000.0,-157218000000.0,-185306000000.0,-250370000000.0,-49723000000.0,-111743000000.0,-206775000000.0,-159606000000.0,-278365000000.0,-104801000000.0,-130384000000.0,-134862000000.0,-27481000000.0,-126478000000.0,-171180000000.0,-140962000000.0,-179165000000.0,-55315000000.0,-60769000000.0,-161964000000.0,136251000000.0,92027000000.0,25003000000.0,16158000000.0,99896000000.0,-88795000000.0,-51141000000.0,-65007000000.0,-17209000000.0,-103105000000.0,-66891000000.0,-31891000000.0,-35965000000.0,9646000000.0,-68418000000.0,-396085000000.0,-131325000000.0,,,,,,,,,,,,,,-56212000000.0
49,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금,15902347000000.0,15699266000000.0,15922373000000.0,15609115000000.0,15128931000000.0,15048624000000.0,14698276000000.0,14255821000000.0,13790939000000.0,13010406000000.0,12661302000000.0,11835269000000.0,11310715000000.0,10792060000000.0,10510894000000.0,10249632000000.0,9915909000000.0,9871746000000.0,9731968000000.0,9434294000000.0,9119416000000.0,9153234000000.0,8828778000000.0,8578995000000.0,8574840000000.0,9036582000000.0,8131400000000.0,7859360000000.0,7860772000000.0,8059169000000.0,7956991000000.0,7727844000000.0,7461645000000.0,7370448000000.0,7276840000000.0,7117772000000.0,6770541000000.0,6651093000000.0,6456274000000.0,6155708000000.0,5546067000000.0,5480293000000.0,4030884000000.0,,,,,,,,,,,,,,7165400000000.0
