,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,4987233221206.0,5075434891602.0,5027114047712.0,4851692195457.0,4754734955796.0,4229755942397.0,4250930091189.0,4252606250923.0,4278666730184.0,4313697507178.0,4124740905993.0,4084413701974.0,3960474680733.0,4031639122109.0,3967874281448.0,3975474192898.0,3908833406361.0,3760946730967.0,3561039559623.0,3344264523076.0,3109378747616.0,2861397641711.0,2723428352865.0,2623427222151.0,2196541174991.0,2142882989491.0,2061252937820.0,1747183236665.0,1648288514093.0,1531931504530.0,1297083236839.0,1028394977806.0,812257516907.0,784185187580.0,531606886811.0,377044001444.0,257621102446.0,176904827911.0,123214128256.0
9,dart_LongTermOtherReceivablesGross,기타비유동수취채권,"Long-term other Receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동수취채권,17682099462.0,16623954107.0,19492451568.0,19286951727.0,18704226772.0,20672339677.0,20200963086.0,19538976971.0,18563089549.0,18450369146.0,18548005592.0,15917170908.0,15929623438.0,14887563368.0,16755638944.0,16540273108.0,12578981503.0,11569718331.0,10437284682.0,7265011694.0,6875893761.0,10174630695.0,10282180690.0,10708457246.0,10870348351.0,11045369233.0,8518961181.0,6350794475.0,6436644628.0,6265269739.0,5268287091.0,5279591206.0,4344910333.0,,,,,,
10,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,409762325433.0,487074121529.0,497208807849.0,248658039946.0,242640657710.0,222037211770.0,246922563866.0,237017176886.0,11384784100.0,265198606980.0,1348938465.0,1522150928.0,1845105457.0,16939173687.0,2704562526.0,2313166497.0,2540533208.0,2706992877.0,2875506024.0,2817703354.0,1026887550.0,824104315.0,813445961.0,,,65037084.0,,,,,,,,,,,,,
11,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,공동기업 및 관계기업투자,"Investments in subsidiaries, joint ventures and associates",재무상태표 [abstract],자산 [abstract],비유동자산,공동기업 및 관계기업투자,500140612614.0,495853715308.0,507886889221.0,491608067033.0,483766673479.0,478636014176.0,478538247962.0,471702281531.0,460872337426.0,465626032649.0,461099060105.0,445448400603.0,432164219826.0,437152808075.0,420147242334.0,408193989376.0,398322674093.0,397193960943.0,384070143613.0,373545334571.0,361439200234.0,352308062439.0,340770422845.0,324585651099.0,223875761125.0,208056229867.0,188344842766.0,170388108646.0,163158508038.0,161754582783.0,109123534708.0,101041537359.0,101641319955.0,,,,,,
12,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,3811653987072.0,3824933156448.0,3750475026112.0,3833426960034.0,3752674395512.0,3247443600686.0,3243917321241.0,3262630741903.0,3284430241463.0,3356035427333.0,3199747276845.0,3165220875665.0,3074004063971.0,3108903706107.0,3078701949146.0,3101852209602.0,3047816082708.0,2882106575431.0,2708394034809.0,2543178515759.0,2314089340995.0,2116306191159.0,1965363310811.0,1883188562446.0,1540001450970.0,1515084348815.0,1467496813665.0,1182066352976.0,1073480813068.0,977411074461.0,814115824689.0,605312406467.0,494592217710.0,488956671881.0,356973265745.0,216147040516.0,124620175669.0,84888137111.0,80230917499.0
13,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,109994290143.0,114361995900.0,115038949151.0,121139832599.0,125098191976.0,126731977921.0,128391653658.0,129813554728.0,133072425505.0,71626484770.0,70882848364.0,67183775838.0,66157284060.0,70078611932.0,67569416369.0,69370340371.0,71476453843.0,72443381276.0,69378800570.0,67113810941.0,67150793552.0,39086821272.0,36710384875.0,37534274271.0,38565725927.0,39339280170.0,37185924116.0,38320143517.0,38574578159.0,36737452807.0,34897880304.0,31587800135.0,29423005413.0,10759756055.0,9873037561.0,7658932406.0,9280535529.0,7349433773.0,9569079349.0
14,entity00360595_udf_BS_201832018614666_NoncurrentAssets,충당자산,"Recourse rights, net",재무상태표 [abstract],자산 [abstract],비유동자산,충당자산,131398291963.0,129351668450.0,129636488130.0,126977114500.0,125189392397.0,124587374343.0,122085478879.0,119976755053.0,117871103466.0,123101355987.0,113435468338.0,110500143958.0,27231789365.0,105133958884.0,27599394561.0,26754802705.0,25948051196.0,89948134667.0,24262918915.0,23385998807.0,21218039244.0,73867523509.0,70987045014.0,68046348763.0,65205942553.0,65115248108.0,62017883150.0,58336783283.0,54740081077.0,50971293019.0,37294856769.0,17891945428.0,2420506117.0,10775379573.0,8311557583.0,5730411367.0,2619650790.0,1146723778.0,
15,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,6330346002.0,4297318044.0,4868058841.0,5414093767.0,6363742058.0,6463251580.0,7328301452.0,7865374216.0,7643183267.0,9486608171.0,11226813623.0,10910555925.0,11846847298.0,12669552263.0,5714501176.0,6175208661.0,5254861950.0,5642749783.0,3835350306.0,3896686055.0,4343597181.0,3673513967.0,6256456099.0,6097950789.0,6232437489.0,6359064470.0,5396770758.0,5401156732.0,6263853694.0,5435058328.0,3010399790.0,141393271.0,277509457.0,,,,,,655506400.0
16,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,271268517.0,2938961816.0,2507376840.0,5181135851.0,297675892.0,3184172244.0,3545561045.0,4061389635.0,5038675943.0,4172622142.0,2262701856.0,2233180716.0,2200042932.0,2173512526.0,2129730257.0,2098782646.0,2140440794.0,2204147091.0,2296568805.0,2241997478.0,2265552995.0,2192164675.0,2208849990.0,2527730160.0,2415478273.0,2186580944.0,2299770571.0,2723975251.0,3019412482.0,3322982307.0,4545494939.0,3941839650.0,3640793064.0,28201488720.0,20675282099.0,16188141638.0,12364513467.0,,
17,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,10914758848641.0,10129735810035.0,10101997753598.0,9493926654317.0,9391551764896.0,8687842635183.0,8602097015997.0,8517954927562.0,8426741007854.0,8185663711874.0,8406509561098.0,8289364857914.0,8079385644334.0,7967477349520.0,7739033415819.0,7939216935714.0,8010166090171.0,7478514338676.0,7452109111161.0,6999612237026.0,6683384479642.0,6196213723167.0,6071424579320.0,5933855289784.0,5647140262337.0,5069219085179.0,5217003771990.0,5046982925949.0,4940908325554.0,4257802896566.0,3826579602454.0,2806064992114.0,2099726640014.0,1906894011608.0,1321794891282.0,1022929419873.0,825987696876.0,735708527420.0,383098830316.0
18,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,3756251462024.0,3413465073270.0,3607486875969.0,3300998537225.0,3329746296818.0,2884757513854.0,2782876377347.0,2811990074087.0,2760334776608.0,2539445554201.0,2825996430609.0,2826356603317.0,2825173477105.0,2617947831995.0,2566840639457.0,2815756000134.0,3033150279532.0,2593792273626.0,2673790607652.0,2506996931874.0,2490621914633.0,2214214052448.0,2310730724646.0,2342136335147.0,2499066946009.0,2026161590573.0,2273178096260.0,2378467026168.0,2454327102494.0,1921039787837.0,1948919021453.0,1405430406342.0,1022128057972.0,855124195625.0,555838888208.0,458310835414.0,349012046017.0,328770804719.0,218274723260.0
19,dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,1431596084783.0,1347766310352.0,1432948109687.0,1344304893606.0,1311724047543.0,1291702086075.0,1239549248744.0,1256451347948.0,1141552055756.0,1059779802767.0,1136273360735.0,1270996025191.0,1157727987755.0,1145883108342.0,1111749548714.0,1190960089770.0,1135091111707.0,993171384540.0,1136476270371.0,1095953129827.0,1125181901187.0,998074496086.0,1093680431925.0,1056768474186.0,1107125612947.0,835314099068.0,973003416370.0,1043249909749.0,1067969010052.0,820780236861.0,891920170164.0,502285603196.0,574225535074.0,544165853137.0,375837043222.0,311098154967.0,276019584633.0,209292067260.0,138602458606.0
20,dart_ShortTermOtherPayables,기타지급채무,Short-term other Payables,재무상태표 [abstract],부채 [abstract],유동부채,기타지급채무,495497293653.0,234556826412.0,244681037932.0,176309964249.0,355566565264.0,162503639629.0,216529050237.0,224608186176.0,424714795188.0,296523756082.0,278671057688.0,218370380231.0,355006629037.0,214024256228.0,242001441804.0,293306336316.0,523763594716.0,237109423700.0,209442363897.0,166360624695.0,239071624265.0,123066693313.0,145795945258.0,128078099474.0,256757996603.0,152866464579.0,198687552946.0,158432724142.0,210431200216.0,131351330165.0,135037204753.0,105080097053.0,84089708553.0,,,,,,
21,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,1469640986200.0,1203501856338.0,1244070906527.0,1152393865668.0,1127970238078.0,1099274221722.0,1140163809863.0,1157452034629.0,1045523238184.0,863471983721.0,1134112353985.0,1035592005352.0,1073245254811.0,1013602782970.0,1009978255405.0,1079621160386.0,1114416788672.0,1051350640776.0,1098743437598.0,1053794441479.0,983470394489.0,949506628158.0,971823236230.0,1014739059191.0,1052964760003.0,888392670089.0,991118447339.0,1064118837180.0,1033901058218.0,859439064409.0,819823955667.0,748475542185.0,331146391098.0,58361349355.0,52166229945.0,12306120000.0,,41900000000.0,16500000000.0
22,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동금융부채,206446052805.0,354537367483.0,484274367627.0,446789973902.0,388812648363.0,100780394312.0,38048074743.0,42671298830.0,36546987738.0,44408804322.0,42231592163.0,40343042822.0,40834532076.0,46585920973.0,44440331134.0,56757107258.0,64543196463.0,72835016204.0,68968653391.0,45892199893.0,43286427340.0,43321027013.0,15626482452.0,14214927251.0,3506929229.0,1013518324.0,1372712364.0,3319800891.0,3083195434.0,842281852.0,117121820.0,,,,,,,,
23,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,40768249134.0,109208971889.0,72256412810.0,74525642752.0,36611870234.0,63104231773.0,38482382638.0,42259529374.0,20365836049.0,92116314551.0,63862547520.0,70802241553.0,47165191338.0,43751715941.0,44341869181.0,89221449343.0,54826100443.0,108925668681.0,67867146047.0,46837616944.0,37303039010.0,40021286992.0,20462071500.0,53310552719.0,25792489213.0,92227331688.0,71745491804.0,74504871363.0,105277250389.0,75055312677.0,62386493896.0,28421157292.0,16973876484.0,,,,,,
24,ifrs-full_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,46276184764.0,43365152885.0,50467836372.0,48557947536.0,47589146412.0,52417828119.0,49779096602.0,49009959846.0,45110957808.0,43824099751.0,43002966182.0,42697208770.0,41890294348.0,38310364520.0,39580935977.0,39053065059.0,38236098773.0,37107765517.0,30026142614.0,26104742812.0,25242244404.0,24173195301.0,23456347265.0,22356515519.0,21448946749.0,18852511717.0,17108236776.0,16919040688.0,17423951378.0,16634907727.0,19979781897.0,5965762074.0,3025632647.0,3025632647.0,2511282183.0,1904855228.0,1072048579.0,637068766.0,
25,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,66026610685.0,120528587911.0,78788205014.0,58116249512.0,61471780924.0,114975112224.0,60324714520.0,39537717284.0,46520905885.0,139320793007.0,127842552336.0,147555699398.0,109303587740.0,115789683021.0,74748257242.0,66836792002.0,102273388758.0,93292374208.0,62266593734.0,72054176224.0,37066283938.0,36050725585.0,39886210016.0,52668706807.0,31470211265.0,37494995108.0,20142238661.0,17921842155.0,16241436807.0,16936654146.0,19654293256.0,15202244542.0,12666914116.0,,,,,,
26,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,2513117474857.0,2045990622320.0,2024409675910.0,1784880594389.0,1794517574431.0,1542918092938.0,1670228600564.0,1703791916000.0,1695213359670.0,1656700943650.0,1767898515901.0,1770856773961.0,1687374399864.0,1872083387946.0,1731160807513.0,1873136951095.0,1827979103286.0,1787956888664.0,1777542438138.0,1552165948999.0,1362998367314.0,1210924609633.0,1046417942229.0,966607952797.0,737378798461.0,709220922128.0,701381073385.0,559498701103.0,497183648272.0,417510699025.0,385923623658.0,256949404929.0,218685698485.0,216169334294.0,137047604328.0,42989090994.0,37267492337.0,32189282203.0,24786042332.0
