,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
27,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,772529944020.0,634088742800.0,571019761018.0,597035974774.0,633778825743.0,655589896344.0,689859070102.0,730958512246.0,753686228792.0,707880273393.0,775231157635.0,777895465397.0,723660352550.0,825186967565.0,759905256654.0,864475110743.0,827134870086.0,765162130685.0,746780813899.0,665867753599.0,671122822127.0,679817140123.0,608590254687.0,549854125170.0,497242232779.0,491351732052.0,484898739532.0,345348441643.0,290077490268.0,229163943074.0,219768072184.0,137640832946.0,137812458082.0,7356622594.0,,124667757.0,5819692927.0,11649500000.0,15657000000.0
28,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동금융부채,1106977068941.0,1062640292196.0,1077995203084.0,818377376638.0,804283761220.0,542072871607.0,608706166678.0,622356594637.0,603113943087.0,612966321413.0,663094066259.0,667899769900.0,661473761927.0,726065692579.0,669224882735.0,721371148478.0,721283029864.0,741629440486.0,740569559196.0,604373527913.0,427570074695.0,278185474373.0,192332375663.0,183640345831.0,3891381817.0,685302601.0,456996626.0,511102585.0,516271296.0,518312788.0,629049032.0,638268033.0,228379115.0,,,,,,
29,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,183512721842.0,202043679425.0,226952865957.0,224495173805.0,210044478630.0,203609128577.0,230509253548.0,215407610014.0,203878160118.0,199083174821.0,194225100245.0,195569409927.0,175046259620.0,199290379598.0,182251757706.0,172481790380.0,166263220491.0,175280511495.0,182705985889.0,179838649732.0,167237252074.0,160699887114.0,154734867080.0,147127942547.0,154960991129.0,139011400201.0,130033191923.0,133347604827.0,132036016544.0,119259994259.0,113360963245.0,92997252474.0,63031150061.0,63777819241.0,32151183663.0,33853043989.0,25069888722.0,17462919178.0,8039020325.0
30,dart_PostemploymentBenefitObligations,퇴직급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,퇴직급여부채,2929853570.0,2409690470.0,2993002650.0,2567825445.0,6174155300.0,2450055524.0,5820665550.0,3587023518.0,5528004532.0,2013941388.0,7672409157.0,4949366471.0,6063464487.0,3206413777.0,7209251850.0,5315066405.0,7179753487.0,4970731577.0,9821310639.0,8000203662.0,6098861112.0,4225985318.0,6237208816.0,4793410826.0,3288260252.0,1769330236.0,7552038826.0,6305542777.0,4936942972.0,3446018835.0,3606758823.0,694452990.0,2097341744.0,,,,,,
31,ifrs-full_NoncurrentProvisions,충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,139584578642.0,137374338279.0,138208906518.0,135277019011.0,133279503780.0,132564609349.0,129745570308.0,127516976619.0,125242787735.0,131105966196.0,123916614893.0,120676234287.0,41890294348.0,114783644549.0,39580935977.0,39053065059.0,38236098773.0,99457733540.0,30026142614.0,26104742812.0,25242244404.0,87130306406.0,83719168257.0,80243569080.0,76891896857.0,75721912732.0,77522353934.0,72920979088.0,68425101348.0,63714116280.0,46618570975.0,22364931804.0,3025632647.0,13469224464.0,10389446982.0,6924907308.0,3742358271.0,1638176826.0,
32,dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,8667250324.0,7433879150.0,7239936683.0,7127224716.0,6956849758.0,6631531537.0,5587874378.0,3965198966.0,3764235406.0,3651266439.0,3759167712.0,3866527979.0,3666282771.0,3550289878.0,3661858546.0,3650320694.0,3554298230.0,1456340881.0,1175361912.0,1214576932.0,1117522407.0,865816299.0,804067726.0,948559343.0,1104035627.0,681244306.0,917752544.0,1065030183.0,1191825844.0,1408313789.0,1940209399.0,2613666682.0,2047145019.0,,,,,,
33,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,6269368936881.0,5459455695590.0,5631896551879.0,5085879131614.0,5124263871249.0,4427675606792.0,4453104977911.0,4515781990087.0,4455548136278.0,4196146497851.0,4593894946510.0,4597213377278.0,4512547876969.0,4490031219941.0,4298001446970.0,4688892951229.0,4861129382818.0,4381749162290.0,4451333045790.0,4059162880873.0,3853620281947.0,3425138662081.0,3357148666875.0,3308744287944.0,3236445744470.0,2735382512701.0,2974559169645.0,2937965727271.0,2951510750766.0,2338550486862.0,2334842645111.0,1662379811271.0,1240813756457.0,1071293529919.0,692886492536.0,501299926408.0,386279538354.0,360960086922.0,243060765592.0
34,ifrs-full_EquityAttributableToOwnersOfParent,지배기업소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,,4645393063279.0,4670282762860.0,4470103813386.0,4408050195656.0,4267290478293.0,4260169783879.0,4148737983776.0,4001898334697.0,3970929411525.0,3989288880085.0,3812376483651.0,3691899908714.0,,3477193736721.0,,,,3096625991705.0,,,,2771074621758.0,2714275471529.0,2625110596404.0,2410694165505.0,2333836224566.0,2242444247741.0,2109016854136.0,1989397260976.0,1919252107461.0,1491736809143.0,1143684722436.0,856456571328.0,,,,,,
35,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,자본금,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,18750000000.0,15000000000.0
36,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,자본잉여금,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,153618863259.0,,,,,,
37,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,기타포괄손익누계액,-47887184214.0,6300854581.0,31956398890.0,15301953442.0,-3892627167.0,-28620380275.0,-12390209940.0,-5151859333.0,-1221015907.0,14097785404.0,55859766911.0,60308150090.0,29701540321.0,74390145775.0,44290217757.0,72351264961.0,73972917960.0,88388349452.0,101312597076.0,57695163988.0,60040199522.0,62855399892.0,78650668968.0,77937126010.0,111506474977.0,97094282025.0,99821734376.0,116274228190.0,125176320050.0,107860041987.0,117938165257.0,101621257976.0,68405670255.0,,,,,,
38,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,이익잉여금,4521838713007.0,4492540373793.0,4266705880010.0,4221306707728.0,4099741570974.0,4117348629668.0,3989686659230.0,3835608659544.0,3800708892946.0,3803749560195.0,3585075182254.0,3460150224138.0,3365451703610.0,3231362056460.0,3225072572300.0,3006314737219.0,2903430205021.0,2836796107767.0,2711002714097.0,2694887515003.0,2582365112986.0,2536777687380.0,2464183268075.0,2375731935908.0,2127746156042.0,2065300408055.0,1971182036400.0,1821302148981.0,1692780463961.0,1639951588509.0,1202346299181.0,870611119755.0,615682037814.0,,,,,,
39,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,기타자본구성요소,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-927328773.0,-928386294.0,-928386294.0,-928386294.0,-928386294.0,-916518554.0,-916518554.0,,,,,,,
40,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,-3151519.0,-2648415.0,-2611667.0,-2672953.0,-2584646.0,-2755488.0,254054310.0,274602778.0,263460051.0,228333938.0,238130937.0,251571922.0,242988948.0,252392858.0,227644306.0,216447819.0,192049886.0,139184681.0,17019219712.0,16425142676.0,15917350701.0,439328.0,440916.0,405436.0,352362.0,347912.0,354604.0,344542.0,313812.0,302243.0,148200.0,458407.0,2456312229.0,,,,,,
41,entity00360595_udf_BS_201832018164770_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,비지배지분,-3151519.0,-2648415.0,-2611667.0,-2672953.0,-2584646.0,-2755488.0,254054310.0,274602778.0,263460051.0,228333938.0,238130937.0,251571922.0,242988948.0,252392858.0,227644306.0,216447819.0,192049886.0,139184681.0,17019219712.0,16425142676.0,15917350701.0,439328.0,440916.0,405436.0,352362.0,347912.0,354604.0,344542.0,313812.0,302243.0,148200.0,458407.0,2456312229.0,,,,,,
42,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,4645389911760.0,4670280114445.0,4470101201719.0,4408047522703.0,4267287893647.0,4260167028391.0,4148992038086.0,4002172937475.0,3971192871576.0,3989517214023.0,3812614614588.0,3692151480636.0,3566837767365.0,3477446129579.0,3441031968849.0,3250323984485.0,3149036707353.0,3096765176386.0,3000776065371.0,2940449356153.0,2829764197695.0,2771075061086.0,2714275912445.0,2625111001840.0,2410694517867.0,2333836572478.0,2242444602345.0,2109017198678.0,1989397574788.0,1919252409704.0,1491736957343.0,1143685180843.0,858912883557.0,835600481689.0,628908398746.0,521629493465.0,439708158522.0,374748440498.0,140038064724.0
43,ifrs-full_EquityAndLiabilities,부채 및 자본의 총계,Total equity and liabilities,재무상태표 [abstract],부채 및 자본의 총계,,,10914758848641.0,10129735810035.0,10101997753598.0,9493926654317.0,9391551764896.0,8687842635183.0,8602097015997.0,8517954927562.0,8426741007854.0,8185663711874.0,8406509561098.0,8289364857914.0,8079385644334.0,7967477349520.0,7739033415819.0,7939216935714.0,8010166090171.0,7478514338676.0,7452109111161.0,6999612237026.0,6683384479642.0,6196213723167.0,6071424579320.0,5933855289784.0,5647140262337.0,5069219085179.0,5217003771990.0,5046982925949.0,4940908325554.0,4257802896566.0,3826579602454.0,2806064992114.0,2099726640014.0,,,,,,
