,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19991231,19990101-19991231,19981231,19980101-19981231,19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
26,임차료,38068600000.0,23016715000.0,20955723000.0,9934676000.0,8406938000.0,7572173000.0,7051478000.0,6764410000.0,6792324000.0,4241009000.0,5248305000.0,4299505000.0,4299505000.0,13100204000.0,13100204000.0,6237857000.0
27,보험료,10383401000.0,13465859000.0,14660254000.0,8873916000.0,8357664000.0,9787250000.0,9215420000.0,8009202000.0,6858230000.0,5831330000.0,8822549000.0,8708219000.0,8708219000.0,9877240000.0,9877240000.0,3589804000.0
28,지급수수료,158813027000.0,137727997000.0,122599415000.0,76507110000.0,61059270000.0,63720418000.0,67179279000.0,86107652000.0,27862067000.0,34881848000.0,56123100000.0,59750109000.0,59750109000.0,44092689000.0,44092689000.0,7680136000.0
29,전산비,16615506000.0,14361224000.0,11350065000.0,6656929000.0,6232572000.0,3630604000.0,3670999000.0,3186339000.0,4237355000.0,3361703000.0,4606102000.0,4903278000.0,4903278000.0,3489217000.0,3489217000.0,2976441000.0
30,판매수수료,111933766000.0,82221222000.0,64298873000.0,46822945000.0,41332104000.0,25265007000.0,19519969000.0,110557512000.0,110638770000.0,133483837000.0,98994860000.0,87163723000.0,87163723000.0,96386097000.0,96386097000.0,107696249000.0
31,회비,3093441000.0,2933125000.0,2693304000.0,2569511000.0,2395627000.0,2628835000.0,2673863000.0,1806277000.0,1325942000.0,1498918000.0,1146653000.0,1340905000.0,1340905000.0,1822069000.0,1822069000.0,1413093000.0
32,보증수리비,68599861000.0,49232547000.0,57448281000.0,52182121000.0,47840973000.0,46804718000.0,46128367000.0,42437900000.0,52603217000.0,56360637000.0,38067011000.0,33857620000.0,33857620000.0,40757048000.0,40757048000.0,42052843000.0
33,판매보증충당부채전입액,50080863000.0,14922107000.0,9812843000.0,11376789000.0,5680365000.0,,,,,,,,,,,
34,의식행사비,5714535000.0,5704388000.0,7324333000.0,6117979000.0,4451241000.0,5035340000.0,3931543000.0,3255496000.0,2295947000.0,2562028000.0,1608778000.0,1076530000.0,1076530000.0,719866000.0,719866000.0,1572346000.0
35,보상금,4241087000.0,1952171000.0,912024000.0,2568604000.0,1669775000.0,539524000.0,119688000.0,398520000.0,255045000.0,11582000.0,2078999000.0,,,5452000.0,5452000.0,6177000.0
36,기타판관비,125344104000.0,80886735000.0,60160651000.0,,,,,,,,,,,,,
37,Ⅴ.영업이익,5343164735000.0,3024682847000.0,3181964205000.0,2563545191000.0,1284760313000.0,314012808000.0,77729153000.0,478713026000.0,521004363000.0,539759698000.0,927188027000.0,828742296000.0,818230315000.0,1362933132000.0,1362933132000.0,817304180000.0
38,Ⅵ.영업외수익,3667706536000.0,4012519037000.0,4702479170000.0,771657285000.0,641042757000.0,597510096000.0,729490152000.0,345058306000.0,333849552000.0,325470605000.0,326145456000.0,724446500000.0,783716580000.0,1776100193000.0,1776100193000.0,802257137000.0
39,이자수익,268374281000.0,264705384000.0,494582039000.0,328923285000.0,172329748000.0,162238054000.0,170489647000.0,111124125000.0,97311747000.0,138104590000.0,117621900000.0,138400850000.0,138400850000.0,349032042000.0,349032042000.0,243035357000.0
40,배당금수익,71072967000.0,67746219000.0,44576540000.0,14430799000.0,10418948000.0,3147429000.0,10772407000.0,3860541000.0,3434341000.0,1449668000.0,9262948000.0,4119429000.0,4119429000.0,6499724000.0,6499724000.0,5925584000.0
41,외환차익,832848430000.0,1051653686000.0,1090128774000.0,120704903000.0,102833070000.0,109682303000.0,195874089000.0,157949760000.0,110673452000.0,87482005000.0,90260250000.0,93056322000.0,93056322000.0,885295207000.0,885295207000.0,382970680000.0
42,"외화환산이익(주2,23)",50370182000.0,48498757000.0,153697336000.0,13864021000.0,44700516000.0,19355672000.0,32197791000.0,1512030000.0,21431119000.0,7891344000.0,24479945000.0,56808607000.0,56808607000.0,329264230000.0,329264230000.0,90021366000.0
43,임대료수익,1854224000.0,955405000.0,636683000.0,,,,,,,,,,,,,
44,단기투자자산처분이익,2139545000.0,11774944000.0,,,,,,,,,,,,,,
45,투자자산처분이익,29593586000.0,714590000.0,46375956000.0,8449483000.0,8013476000.0,924103000.0,595286000.0,2671498000.0,3900123000.0,9224871000.0,41326670000.0,325656584000.0,325656584000.0,6681703000.0,6681703000.0,9860615000.0
46,장기투자증권처분이익,,3039157000.0,,24221320000.0,1432584000.0,1986978000.0,80576916000.0,123902000.0,131494000.0,5593425000.0,2186978000.0,55491175000.0,55491175000.0,949944000.0,949944000.0,2719238000.0
47,유형자산처분이익,499229555000.0,80459161000.0,15862574000.0,8253245000.0,2760633000.0,2549666000.0,10674807000.0,639095000.0,3690393000.0,1329046000.0,883630000.0,13970870000.0,13970870000.0,790404000.0,790404000.0,21713020000.0
48,무형자산처분이익,513295000.0,,,,,,,,,,,,,,,
49,"지분법이익(주2,7)",131194228000.0,57231894000.0,191709467000.0,80661725000.0,17206867000.0,52371000000.0,97818766000.0,,,,,,,,,
50,"파생상품평가이익(주2,13)",507938067000.0,1089272727000.0,131844957000.0,5074325000.0,41173879000.0,14099942000.0,48127995000.0,,,,,,,,,
51,"파생상품거래이익(주2,13)",494796590000.0,337978915000.0,74307120000.0,36589863000.0,99581163000.0,27962586000.0,4550524000.0,,,,,,,,,
52,"확정계약평가이익(주2,13)",157052547000.0,515229237000.0,2327204732000.0,,,,,,,,,,,,,
53,대손충당금환입액,57896139000.0,90472748000.0,2267687000.0,,,,,,,,,,,,,
54,하자보수충당부채환입액,12406978000.0,7322100000.0,10715346000.0,9434000000.0,1632200000.0,3389691000.0,,,,,,,,,,
55,기타영업외수익,550425922000.0,385464113000.0,118569959000.0,,,,,,,,,,,,,
56,Ⅶ.영업외비용,3182113225000.0,3859867062000.0,4297440372000.0,445380383000.0,453956835000.0,513593535000.0,603361811000.0,542935669000.0,1187373162000.0,936706561000.0,1552122411000.0,1220631750000.0,1222050212000.0,2991288103000.0,2991288103000.0,1458856964000.0
57,이자비용(주2),288150360000.0,86599989000.0,34837356000.0,35194930000.0,41444895000.0,57173971000.0,99774772000.0,208469744000.0,283842716000.0,369413586000.0,720470400000.0,916910987000.0,916910987000.0,1426579229000.0,1426579229000.0,637814975000.0
58,지급보증료,,1902466000.0,32781000.0,13616399000.0,12516684000.0,8989937000.0,11245907000.0,8613850000.0,3220972000.0,36199000.0,1613094000.0,2482184000.0,2482184000.0,528332000.0,528332000.0,1044573000.0
59,외환차손,891088396000.0,753326816000.0,967021027000.0,103255790000.0,200987152000.0,146819442000.0,185420765000.0,175731654000.0,115700538000.0,89568520000.0,103227152000.0,85604862000.0,85604862000.0,832791485000.0,832791485000.0,334897579000.0
60,"외화환산손실(주2,23)",74661021000.0,66453905000.0,196718057000.0,10910100000.0,43315489000.0,17619052000.0,100336604000.0,3702405000.0,26151965000.0,22757776000.0,127324476000.0,21509926000.0,21509926000.0,38185986000.0,38185986000.0,199610681000.0
61,기부금(주28),106714992000.0,32082398000.0,62294456000.0,54859811000.0,25273318000.0,21823064000.0,26355768000.0,19341206000.0,46366163000.0,16976506000.0,32165679000.0,16487082000.0,16487082000.0,28438371000.0,28438371000.0,14438760000.0
62,단기투자자산평가손실(주2),,2057150000.0,1893000.0,,,,,,,,,,,,,
63,단기투자자산처분손실,,4677155000.0,,,,12472000.0,,,,,,,,,,
64,장기투자증권처분손실,,1229816000.0,,3604570000.0,,10217614000.0,80297342000.0,1170562000.0,320571000.0,,18073060000.0,24314731000.0,24314731000.0,-20086014000.0,-20086014000.0,7503358000.0
65,유형자산처분손실,23128304000.0,19664652000.0,62229508000.0,34276327000.0,15134644000.0,12002789000.0,11012105000.0,8509789000.0,6300786000.0,7559116000.0,6231739000.0,15104688000.0,15104688000.0,4419139000.0,4419139000.0,4843385000.0
66,투자자산처분손실,1730213000.0,6620283000.0,822578000.0,266474000.0,1067641000.0,14098000.0,12000.0,3355216000.0,174449935000.0,52082985000.0,223853757000.0,35445599000.0,35445599000.0,111344275000.0,111344275000.0,504938000.0
67,투자자산손상차손(주2),46966905000.0,,,,,,,,,,,,,,,
68,무형자산처분손실,,291444000.0,,,,,,,,,,,,,,
69,지급수수료,23943300000.0,28673046000.0,122599415000.0,76507110000.0,61059270000.0,63720418000.0,67179279000.0,86107652000.0,27862067000.0,34881848000.0,56123100000.0,59750109000.0,59750109000.0,44092689000.0,44092689000.0,7680136000.0
70,"지분법손실(주2,7)",213191039000.0,251198493000.0,58944423000.0,2093282000.0,23108906000.0,5090435000.0,,,,,,,,,,
71,"파생상품평가손실(주2,13)",164460043000.0,222244648000.0,1925750618000.0,93083416000.0,1952173000.0,52428648000.0,173911000.0,,,,,,,,,
72,"파생상품거래손실(주2,13)",472932978000.0,1057971784000.0,792881565000.0,23444609000.0,7416247000.0,65570027000.0,1361000.0,,,,,,,,,
73,"확정계약평가손실(주2,13)",801261882000.0,1278945204000.0,74655632000.0,,,,,,,,,,,,,
74,기타의대손상각비,17714933000.0,189013000.0,24867546000.0,154929000.0,103306000.0,162042000.0,582464000.0,2951238000.0,17997000.0,,1430317000.0,,,,,
75,기타영업외비용,56168859000.0,45738800000.0,77393095000.0,,,,,,,,,,,,,
76,Ⅷ.법인세비용차감전순이익,5828758046000.0,3177334822000.0,3587003003000.0,2889822093000.0,1471846235000.0,397833794000.0,200670776000.0,273014211000.0,-332715233000.0,,-408235328000.0,229844530000.0,277184167000.0,155322735000.0,155322735000.0,155901816000.0
77,"Ⅸ.법인세비용(주2,19)",1513022124000.0,744094617000.0,993203744000.0,937540183000.0,610838542000.0,135676930000.0,80438134000.0,124427072000.0,-61966810000.0,30942610000.0,-27604889000.0,120894292000.0,120894292000.0,84095244000.0,,44439403000.0
78,Ⅹ.종속회사의매수일전순손익,255717561000.0,,19600004000.0,,,,,,,,,,,,,
79,XI.당기순이익,4060018361000.0,2433240205000.0,2574199255000.0,1952281910000.0,861007693000.0,,,,,,,,,,,
80,지배회사지분순이익,3745843939000.0,2140748853000.0,2254095967000.0,1729549497000.0,703569915000.0,,,,,,,,,,,
81,소수주주지분순이익,314174422000.0,292491352000.0,320103288000.0,222732413000.0,157437778000.0,,,,,,,,,,,
82,XII.주당손익(주21),,,,,,,,,,,,,,,,
83,기본및희석주당순이익,68426000.0,39603000.0,41457000.0,30910000.0,12353000.0,,,,,,,,,,,
