,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20011231,20010101-20011231,20001231,20000101-20001231,20000101-20000120,19990101-19991231,19980101-19981231,19970101-19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
63,기타의대손상각비,80134387180.0,5844473746.0,4470108438.0,,,5649776895.0,6954569082.0,46895813431.0,20136646.0,264140436386.0,264140436386.0,60486209581.0,60486209581.0,324626645967.0,8275134760.0,771920.0,
64,장기투자증권처분손실,20437305.0,202275531.0,4708262626.0,335286924.0,1125813385.0,1057230560.0,59546188.0,161014961.0,,,,,,,,,
65,장기투자증권감액손실(주석4),17773973441.0,9679223579.0,4086367020.0,3791640852.0,531091665.0,12605054720.0,2450496476.0,12866902305.0,,,,,,,,,
66,지분법손실(주석5),5407386485.0,7848488694.0,,477147404.0,147496197.0,541309176.0,1477087435.0,,,,,,,,,,
67,투자자산처분손실,1073669615.0,3776531797.0,1694516348.0,7700000.0,,,,,1535226884.0,12174304079.0,12174304079.0,405311441636.0,405311441636.0,12174304079.0,8996051502.0,67103766.0,125477.0
68,투자자산평가손실(주석6),16655941276.0,5272494073.0,19891356635.0,,,,,,,,,,,,,,
69,유형자산처분손실,3827444782.0,1702766402.0,399042937.0,360060199.0,791609781.0,2091911439.0,1933051901.0,4911029155.0,5001537113.0,10583193185.0,10583193185.0,4901867273.0,4901867273.0,15485060458.0,5071118194.0,4050891.0,3916806.0
70,운휴자산감가상각비(주석7),4172771518.0,4279034381.0,2119426804.0,2548339233.0,2562913549.0,9365331912.0,7271949408.0,1651879779.0,2232504546.0,49819375249.0,49819375249.0,,,49819375249.0,,19352034.0,61048893.0
71,파생상품거래손실(주석23),2559405733.0,29672035186.0,7528606983.0,,25515000.0,,,,,,,,,,,,
72,파생상품평가손실(주석23),3879671582.0,13071457573.0,75739241562.0,,,,,,,,,,,,,,
73,잡손실,42757581598.0,62448866460.0,60421068082.0,40507853527.0,23660168825.0,16796514304.0,38125243841.0,81087362608.0,28727575613.0,21742033569.0,21742033569.0,61456804355.0,61456804355.0,83198837924.0,21705825694.0,2755009.0,8332319.0
74,VIII.법인세비용차감전순이익,758716622267.0,642651992241.0,576463741034.0,422858653137.0,273070592229.0,216371985145.0,-49449430069.0,81094647569.0,8297765118.0,-1185596179416.0,,-644191429162.0,,-1829787608578.0,,-192176522.0,104925041.0
75,IX.법인세비용(주석19),216114212548.0,165838973618.0,209092401142.0,124535459483.0,-125638516709.0,-125695058389.0,-111660174708.0,2889158908.0,2007508768.0,5343639544.0,5343639544.0,-6106336206.0,-6106336206.0,-762696662.0,-56040487596.0,,
76,X.당기순이익(주석22),542602409719.0,476813018623.0,367371339892.0,298323193654.0,398709108938.0,,,,,,,,,,,,
77,지배회사지분순이익,520604535838.0,455405674920.0,352537525443.0,290663273273.0,394967226245.0,,,,,,,,,,,,
78,소수주주지분순이익,21997873881.0,21407343703.0,14833814449.0,7659920381.0,3741882693.0,,,,,,,,,,,,
79,XI.주당손익(주석20),,,,,,,,,,,,,,,,,
80,기본주당이익,4674.0,4099.0,3177.0,2625.0,,,,,,,,,,,,,
81,희석주당이익,4674.0,4099.0,3176.0,2622.0,,,,,,,,,,,,,
