,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010327-20021231,20010327-20011231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
41,(1)이자비용(주석29),7707675000000.0,8662877000000.0,10741533000000.0,7919712000000.0,5583311000000.0,3736134000000.0,3646914000000.0,3842402000000.0,3756314000000.0,-4495919000000.0,-4495919000000.0
42,1.예수부채이자,5056498000000.0,5499707000000.0,6984225000000.0,4971965000000.0,3574405000000.0,,,,,,
43,2.차입금이자,678627000000.0,900274000000.0,1275885000000.0,1047857000000.0,709851000000.0,464397000000.0,342268000000.0,387098000000.0,505631000000.0,757821000000.0,757821000000.0
44,3.사채이자,1866783000000.0,2121547000000.0,2160985000000.0,1667394000000.0,1210385000000.0,684907000000.0,698060000000.0,641968000000.0,507275000000.0,354910000000.0,354910000000.0
45,4.기타이자비용,105767000000.0,141349000000.0,320438000000.0,232496000000.0,88670000000.0,65120000000.0,53372000000.0,68560000000.0,40904000000.0,194585000000.0,194585000000.0
46,(2)유가증권평가및처분손실,1542169000000.0,2621831000000.0,2062495000000.0,1761575000000.0,1619043000000.0,,,,,,
47,1.단기매매증권평가손실,48897000000.0,117868000000.0,94063000000.0,120183000000.0,31578000000.0,,,,,,
48,2.단기매매증권처분손실,277642000000.0,336213000000.0,468469000000.0,312111000000.0,147925000000.0,,,,,,
49,3.매도가능증권상환손실,3678000000.0,4815000000.0,392000000.0,39000000.0,522000000.0,4755000000.0,1219000000.0,31866000000.0,992000000.0,,
50,4.매도가능증권처분손실,10448000000.0,141313000000.0,27153000000.0,3479000000.0,1178000000.0,4733000000.0,8272000000.0,26502000000.0,69859000000.0,,
51,5.매도가능증권손상차손(주석11),119991000000.0,148184000000.0,744437000000.0,453544000000.0,2599000000.0,,,,,,
52,6.신종증권평가손실,124116000000.0,730040000000.0,394442000000.0,206020000000.0,,,,,,,
53,7.신종증권처분손실,957397000000.0,1143398000000.0,333539000000.0,666199000000.0,,,,,,,
54,(3)대출채권평가및처분손실(주석12),2876677000000.0,2494559000000.0,1700389000000.0,676263000000.0,667294000000.0,,,,,,
55,1.대손상각비,2668542000000.0,2177053000000.0,1627703000000.0,647289000000.0,581427000000.0,,,,,,
56,2.대출채권매각손실,208135000000.0,317506000000.0,72686000000.0,28974000000.0,85867000000.0,207184000000.0,179994000000.0,271418000000.0,190796000000.0,69981000000.0,69981000000.0
57,(4)외환거래손실,6277991000000.0,15277970000000.0,20853737000000.0,2634491000000.0,2215151000000.0,1990374000000.0,1451908000000.0,259573000000.0,183034000000.0,278786000000.0,278786000000.0
58,1.외환거래손실,6277991000000.0,15277970000000.0,20853737000000.0,2634491000000.0,2215151000000.0,1990374000000.0,1451908000000.0,259573000000.0,183034000000.0,278786000000.0,278786000000.0
59,(5)수수료비용(주석29),596078000000.0,570984000000.0,566324000000.0,395890000000.0,318831000000.0,,,,,,
60,1.원화지급수수료,202489000000.0,193127000000.0,173724000000.0,170187000000.0,183569000000.0,156140000000.0,72804000000.0,79629000000.0,94564000000.0,128296000000.0,128296000000.0
61,2.외화지급수수료,25553000000.0,38047000000.0,30965000000.0,24931000000.0,18513000000.0,16157000000.0,13966000000.0,11812000000.0,10814000000.0,18273000000.0,18273000000.0
62,3.신용카드관련지급수수료,368036000000.0,339810000000.0,361635000000.0,200772000000.0,116749000000.0,,,,,,
63,(6)판매비와관리비,3400629000000.0,3253244000000.0,3263418000000.0,3017546000000.0,2771561000000.0,2561622000000.0,2130264000000.0,1973920000000.0,1844267000000.0,-1677340000000.0,-1677340000000.0
64,1.급여,1476540000000.0,1368053000000.0,1348060000000.0,1312836000000.0,1239962000000.0,1131842000000.0,935641000000.0,865071000000.0,781687000000.0,636147000000.0,636147000000.0
65,2.퇴직급여(주석21),135846000000.0,204821000000.0,130217000000.0,158210000000.0,127615000000.0,140667000000.0,110151000000.0,98535000000.0,91944000000.0,66464000000.0,66464000000.0
66,3.복리후생비,449976000000.0,431756000000.0,455380000000.0,407221000000.0,330713000000.0,344718000000.0,261929000000.0,212552000000.0,182983000000.0,415793000000.0,415793000000.0
67,4.임차료,171885000000.0,168944000000.0,170375000000.0,124467000000.0,96826000000.0,83838000000.0,72478000000.0,83471000000.0,58742000000.0,15724000000.0,15724000000.0
68,5.업무추진비,57596000000.0,40788000000.0,29475000000.0,26187000000.0,20907000000.0,17961000000.0,10803000000.0,11957000000.0,13073000000.0,10135000000.0,10135000000.0
69,6.감가상각비(주석14),198882000000.0,197213000000.0,210302000000.0,201086000000.0,173619000000.0,191330000000.0,195719000000.0,180783000000.0,110224000000.0,169636000000.0,169636000000.0
70,7.무형자산상각비(주석15),143445000000.0,145041000000.0,143647000000.0,107250000000.0,96422000000.0,57507000000.0,52250000000.0,31625000000.0,26745000000.0,28443000000.0,28443000000.0
71,8.세금과공과,145151000000.0,149573000000.0,169763000000.0,147437000000.0,155962000000.0,115550000000.0,101790000000.0,92465000000.0,117800000000.0,79110000000.0,79110000000.0
72,9.광고선전비,77575000000.0,56820000000.0,76795000000.0,76039000000.0,72746000000.0,62646000000.0,33945000000.0,52046000000.0,67381000000.0,46752000000.0,46752000000.0
