,Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20130331,20111231,20110331,20080401-20090331,20070331,20060331,20050331,20040331,20030331,20020331,20010331,20000331,19000101
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8,IX.매각예정자산(주석41),,98637000000.0,,,,,,,,49691000000.0,15840000000.0,45507000000.0,32857000000.0,260415000000.0,2913000000.0,296859000000.0,300723000000.0,6530000000.0,,,2195000000.0,2195000000.0,,41880000000.0,,,-14435.0,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
9,X.투자부동산(주석11),6538132000000.0,6448735000000.0,6948931000000.0,6930370000000.0,7284359000000.0,7297969000000.0,7233151000000.0,7239273000000.0,7291714000000.0,6812422000000.0,6840546000000.0,6769910000000.0,6799542000000.0,6854774000000.0,7064193000000.0,7167135000000.0,7309591000000.0,7555922000000.0,7349613000000.0,7309566000000.0,6802221000000.0,6146006000000.0,6310399000000.0,4572835000000.0,3885648000000.0,3770900000000.0,-745881.0,,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-842402.0
10,XI.유형자산(주석12),733260000000.0,735119000000.0,784007000000.0,788764000000.0,802519000000.0,822577000000.0,993713000000.0,1007796000000.0,1087891000000.0,1065818000000.0,1170821000000.0,1211600000000.0,1312269000000.0,1454095000000.0,1579342000000.0,1545482000000.0,1451072000000.0,1756873000000.0,1756167000000.0,1739314000000.0,1724491000000.0,1800669000000.0,1783521000000.0,1696041000000.0,1632149000000.0,1514315000000.0,-4425133.0,3948768000000.0,3776265000000.0,3495605000000.0,3528356000000.0,3746408000000.0,-3958488206000.0,-4337186604000.0,-4231036815000.0,-3957000.0
11,XII.무형자산(주석13),717768000000.0,743372000000.0,783107000000.0,811638000000.0,848419000000.0,850605000000.0,935426000000.0,967856000000.0,974591000000.0,1004315000000.0,906879000000.0,880776000000.0,864500000000.0,876511000000.0,847015000000.0,838429000000.0,854105000000.0,520765000000.0,513451000000.0,489487000000.0,478934000000.0,451404000000.0,193790000000.0,185156000000.0,197026000000.0,195682000000.0,88818.0,63339000000.0,68245000000.0,83413000000.0,98376000000.0,73734000000.0,-9319260000.0,-9941813000.0,-79963970000.0,68471.0
12,XIII.사용권자산(주석40),218315000000.0,206188000000.0,,,,,,,,,,,,,,,,,,,,,,,,,-14435.0,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
13,XIV.당기법인세자산,996000000.0,527715000000.0,297716000000.0,254485000000.0,1041000000.0,1187000000.0,12482000000.0,32799000000.0,209031000000.0,543749000000.0,401323000000.0,273599000000.0,175737000000.0,198549000000.0,92711000000.0,122254000000.0,102559000000.0,171289000000.0,122217000000.0,116320000000.0,129297000000.0,382000000.0,51330000000.0,95306000000.0,,,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
14,XV.이연법인세자산(주석20),836000000.0,1012000000.0,805000000.0,852000000.0,852000000.0,991000000.0,576000000.0,,763000000.0,765000000.0,490000000.0,492000000.0,569000000.0,5322000000.0,24757000000.0,43798000000.0,,,1508000000.0,360000000.0,2000000.0,12000000.0,64000000.0,15000000.0,,,61.0,177000000.0,30000000.0,84360000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,621.0
15,XVI.기타자산(주석14),3755272000000.0,3715998000000.0,3779276000000.0,3897464000000.0,4026131000000.0,4062368000000.0,4439123000000.0,4604339000000.0,4749435000000.0,4705774000000.0,4906577000000.0,4955969000000.0,4974973000000.0,5035748000000.0,5135980000000.0,5214871000000.0,5269053000000.0,4686714000000.0,4802076000000.0,4800312000000.0,4807240000000.0,4815483000000.0,4859176000000.0,4584918000000.0,3998564000000.0,3931744000000.0,-6262275.0,22112591000000.0,18858667000000.0,16274529000000.0,-12945356000000.0,-11794347000000.0,-9697828397000.0,-7478805179000.0,-4751080591000.0,-6085857.0
16,XVII.특별계정자산(주석15),50790901000000.0,49795298000000.0,48516715000000.0,47919901000000.0,47770268000000.0,45933890000000.0,46836105000000.0,46571537000000.0,46744275000000.0,45323665000000.0,45635664000000.0,45227355000000.0,44257671000000.0,41505148000000.0,41910220000000.0,41237161000000.0,40840984000000.0,39585698000000.0,39387527000000.0,38976759000000.0,38610173000000.0,34409139000000.0,30015137000000.0,28161584000000.0,22552889000000.0,21471278000000.0,-19536381.0,13404692000000.0,10779176000000.0,7563163000000.0,6105420000000.0,5396680000000.0,4238207648000.0,3138924690000.0,1751905696000.0,-16531174.0
17,자산총계,309631063000000.0,312762272000000.0,306865445000000.0,301499179000000.0,296747190000000.0,289427655000000.0,289122356000000.0,285205371000000.0,283344633000000.0,282713817000000.0,281488355000000.0,276178007000000.0,268409129000000.0,264653801000000.0,262116359000000.0,256844521000000.0,249842032000000.0,230362896000000.0,226410698000000.0,222617756000000.0,222970320000000.0,214433714000000.0,192939383000000.0,186148862000000.0,155627038000000.0,146903349000000.0,133161251.0,108864712000000.0,99674482000000.0,90969692000000.0,-83383074000000.0,-73144597000000.0,64337737974000.0,53594108529000.0,47205440397000.0,121778582.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14435.0,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
19,Ⅰ.보험계약부채(주석16),183075018000000.0,180492968000000.0,178820766000000.0,177042373000000.0,175294379000000.0,173943448000000.0,172089225000000.0,170430734000000.0,168472759000000.0,166897872000000.0,164977955000000.0,162983647000000.0,160921183000000.0,158729147000000.0,155946010000000.0,153694297000000.0,151462811000000.0,149118213000000.0,146464727000000.0,144072358000000.0,141574454000000.0,138982550000000.0,128760951000000.0,121268579000000.0,104680808000000.0,99225033000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
20,Ⅱ.계약자지분조정(주석18),10194498000000.0,11528465000000.0,11239239000000.0,10562396000000.0,9579907000000.0,8208565000000.0,8759648000000.0,8419310000000.0,9046941000000.0,9599619000000.0,9978901000000.0,9711270000000.0,8703143000000.0,8075517000000.0,8968592000000.0,8426734000000.0,7564337000000.0,6969288000000.0,6723777000000.0,6673331000000.0,7767654000000.0,6771704000000.0,6028917000000.0,7514387000000.0,5349719000000.0,4973876000000.0,-4739693.0,3202429000000.0,3133435000000.0,3156990000000.0,-4229514000000.0,-1415697000000.0,-1413604973000.0,-70066823000.0,-2330382647000.0,-3589221.0
21,"Ⅲ.당기손익인식금융부채(주석9,19)",294095000000.0,139237000000.0,111529000000.0,61891000000.0,57568000000.0,19419000000.0,25427000000.0,71860000000.0,25867000000.0,15441000000.0,45039000000.0,31837000000.0,4769000000.0,71468000000.0,32360000000.0,49460000000.0,40641000000.0,47981000000.0,85375000000.0,59415000000.0,51576000000.0,89443000000.0,97750000000.0,183336000000.0,359115000000.0,260593000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
22,"Ⅳ.기타금융부채(주석9,19)",21627866000000.0,20377319000000.0,20204328000000.0,20398797000000.0,22269399000000.0,22484393000000.0,22480925000000.0,21926486000000.0,21131621000000.0,19663333000000.0,20048734000000.0,18271087000000.0,17674571000000.0,18546201000000.0,16613942000000.0,16128466000000.0,15662449000000.0,4202160000000.0,3711751000000.0,3857420000000.0,3677829000000.0,3318418000000.0,2164529000000.0,1055614000000.0,1056685000000.0,972998000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
