,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
47,8.대손충당금환입,244144525.0,,,2000000000.0,,,,,
48,9.통화선도거래이익,,17464210.0,,117460000.0,121800000.0,259050000.0,,,
49,10.잡이익,2894259009.0,1848702590.0,2459951725.0,988229540.0,1199601528.0,2747417439.0,648284464.0,5180715110.0,861419135.0
50,VII.영업외비용,65402067781.0,16840218299.0,31754753763.0,7249580605.0,6827187485.0,5497876837.0,8401166835.0,21339441192.0,14908957734.0
51,1.이자비용,662492986.0,36193046.0,98815844.0,17606361.0,45520070.0,71665163.0,636725043.0,1285858566.0,13534207.0
52,2.외환차손,5334499991.0,6536117503.0,547083671.0,368320282.0,1026509774.0,976054461.0,989036055.0,332870619.0,823892245.0
53,3.외화환산손실,609833498.0,1060418684.0,968130707.0,49981948.0,153282473.0,208668310.0,400775009.0,8428039.0,66442621.0
54,4.기부금,1516876400.0,155987501.0,326316749.0,186815230.0,588910007.0,646433232.0,579132200.0,349812480.0,560227950.0
55,5.지분법손실(주석6),1574361724.0,1855412348.0,14253998078.0,2360903148.0,3956323128.0,3130790759.0,4905739573.0,,
56,6.지분법적용투자주식처분손실(주석6),,678081966.0,,,,,,,
57,7.지분법적용투자주식손상차손(주석6),4717908838.0,,,,,,,,
58,8.유형자산처분손실,73993822.0,145836111.0,250168317.0,60473815.0,114648095.0,186354272.0,3750717.0,15094268.0,
59,9.유형자산손상차손,973524201.0,,,141450000.0,,,,,
60,10.무형자산손상차손(주석9),7164692739.0,219718112.0,9941715669.0,,,,,,
61,11.기타의대손상각비,234670751.0,1003365000.0,,2196445773.0,,,,254002989.0,465853226.0
62,12.통화선도거래손실,,259384992.0,229520000.0,106105000.0,,,,,
63,13.잡손실(주석14),42539212831.0,4889703036.0,5139004728.0,98690555.0,941993938.0,277589430.0,13513400.0,409501161.0,28567614.0
64,VIII.법인세비용차감전순이익,215315422628.0,240702744809.0,41013185803.0,62102977679.0,50018834734.0,84566892875.0,97374856107.0,31203976836.0,69464225298.0
65,IX.법인세비용(주석20),52709264155.0,52408094962.0,13345592753.0,16159515754.0,10763176709.0,14581217881.0,23289143368.0,1243267776.0,16351208907.0
66,X.종속회사의매수일전순손실,-4790255358.0,,,,,,,,
67,XI.당기순이익,167396413831.0,188294649847.0,27667593050.0,45943461925.0,39255658025.0,,,,
68,XII.지배회사지분순이익,166639230379.0,184189052040.0,25629675666.0,45047397788.0,38361209819.0,,,,
69,XIII.소수주주지분순이익,757183452.0,4105597807.0,2037917384.0,896064137.0,894448206.0,,,,
70,XIV.주당순이익(주석21),,,,,,,,,
71,기본주당이익,8447.0,9555.0,1341.0,2259.0,1905.0,,,,
72,희석주당이익,8425.0,9489.0,1317.0,2197.0,1853.0,,,,
