,Income statement(Unit: KRW),20100401-20110331,20090401-20100331,20080401-20090331,20070401-20080331,20060401-20070331,20050401-20060331,20040401-20050331,20030401-20040331,20020401-20030331,20010401-20020331,20010401-20020331,20000401-20010331,19990401-20000331,19980401-19990331
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표', '')","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
31,13.특별계정수익(주석30),1110444169060.0,637012245289.0,444767536048.0,508853186586.0,371682645750.0,395889705117.0,,,,,,,,
32,Ⅱ.영업비용,15210258813021.0,12688816065344.0,11140645839454.0,10373726720416.0,9368487841762.0,8374054907986.0,7448739079854.0,7055188720922.0,6661712921405.0,5838522669372.0,5859498816448.0,5365805428870.0,4376191812527.0,
33,"1.책임준비금전입액(주석16,35)",3580190192615.0,2342115676777.0,1548574929977.0,1775610311953.0,1757946192050.0,1154604724446.0,1356313460678.0,791473663912.0,990926090057.0,971861952090.0,971861952090.0,696141924246.0,499780489321.0,
34,지급준비금전입액,175601378246.0,56452905160.0,71527588201.0,133104915568.0,125363795762.0,14858395278.0,41722393086.0,56055922555.0,88837620185.0,46193853043.0,46193853043.0,12966859644.0,-59553259416.0,
35,미경과보험료적립금전입액,147039238997.0,220520318494.0,,88006108271.0,256276996588.0,13176257374.0,111949196712.0,10103183531.0,84497979027.0,193332432247.0,193332432247.0,180652223039.0,84855612626.0,
36,장기보험료적립금전입액,3208880410529.0,2030171590185.0,1462889862207.0,1534676616347.0,1351553835163.0,1102172644962.0,1178950727021.0,697721028382.0,794080954526.0,692015181838.0,692015181838.0,502433206166.0,483501871572.0,
37,계약자배당준비금전입액,35559790173.0,25428624065.0,14157479569.0,19822671767.0,22642585321.0,22952462946.0,21927915999.0,21952625403.0,15191944240.0,24004593973.0,24004593973.0,403408704.0,155791633.0,
38,계약자이익배당준비금전입액,13109374670.0,9542238873.0,,,2108979216.0,1444963886.0,1763227860.0,5640904041.0,8317592079.0,16315890989.0,16315890989.0,-313773307.0,-9179527094.0,
39,2.비상위험준비금전입액(주석17),56650428106.0,73711788329.0,72720614255.0,51534448618.0,38405422089.0,63233074452.0,45954180440.0,44224780803.0,43056891840.0,38572795539.0,38572795539.0,31907218353.0,27017571304.0,
40,3.보험금비용(주석34),4204703887325.0,3726284756076.0,3457564043611.0,3225063802141.0,2793618071150.0,2775809235911.0,2496990783238.0,2559368498623.0,2227432272979.0,1882295768482.0,1882295768482.0,1782574004098.0,1401658435258.0,
41,원수보험금,4270081375379.0,3842123540204.0,3554187637019.0,3309468887643.0,2874544428870.0,2775547549153.0,2548499825043.0,2625498887006.0,2265959801097.0,1946589116068.0,1946589116068.0,1850993953477.0,1450459424969.0,1192201684089.0
42,수재보험금,103033624472.0,56917920367.0,48902162848.0,54221732769.0,25996109099.0,103107281208.0,45125381572.0,21925664509.0,36228803561.0,30046721879.0,30046721879.0,27829606336.0,11351080275.0,23219798153.0
43,보험금환입,-164195546054.0,-169950415902.0,-128553632051.0,-136020926082.0,-105049005548.0,-98055368813.0,-93792701381.0,-86963201393.0,-73427878487.0,-90886372734.0,-90886372734.0,-93336226451.0,-57736888701.0,39625887786.0
44,수재보험금환입,-4215566472.0,-2806288593.0,-16972124205.0,-2605892189.0,-1873461271.0,-4790225637.0,-2841721996.0,-1092851499.0,-1328453192.0,-3453696731.0,-3453696731.0,-2913329264.0,-2415181285.0,12771867850.0
45,4.재보험료비용(주석26),892258262146.0,848073384074.0,825681927230.0,703681577214.0,687539483293.0,645917896232.0,636094111902.0,627131289279.0,602375511883.0,489595427327.0,489595427327.0,385392212492.0,308193739606.0,
46,재보험료,901930306023.0,852888614863.0,830173423270.0,708332815380.0,692574449539.0,652127237169.0,642736079095.0,630330253323.0,610905686950.0,503995860574.0,503995860574.0,392460495141.0,324161603528.0,
47,해지환급금환입,-9672043877.0,-4815230789.0,-4491496040.0,-4651238166.0,-5034966246.0,-6209340937.0,-6641967193.0,-3198964044.0,-8530175067.0,-14400433247.0,-14400433247.0,-7068282649.0,-15967863922.0,2874250696.0
48,5.배당금비용,9874682555.0,9410460430.0,10059573156.0,10269643992.0,8133722358.0,6422987484.0,5115597450.0,2831580553.0,1415500126.0,100287167.0,100287167.0,117338221.0,81443800.0,
49,6.환급금비용,2497240419333.0,2313472160760.0,2243094153974.0,1935652056929.0,1820336143434.0,1777040925009.0,1382937411721.0,1388474720543.0,1073175963814.0,1001146000800.0,1001146000800.0,1240702436088.0,1016761002410.0,
50,만기환급금,806354153563.0,655732527305.0,653749739897.0,813288151776.0,894451210472.0,981784692668.0,650006614516.0,728581418370.0,507933748200.0,473607474735.0,473607474735.0,694698359860.0,452729536447.0,214299024338.0
51,개인연금지급금,23201199858.0,19282264641.0,16251104763.0,13009786373.0,10772903271.0,8998095423.0,8798587714.0,7552167678.0,5876594843.0,4275538776.0,4275538776.0,2977108386.0,1058939892.0,
52,장기해지환급금,1667685065912.0,1638457368814.0,1573093309314.0,1109354118780.0,915112029691.0,786258136918.0,724132209491.0,652341134495.0,559365620771.0,523262987289.0,523262987289.0,543026967842.0,562972526071.0,1038628053216.0
53,"7.사업비(주석10,12,19,27,33)",1919115049725.0,1810857933720.0,1702844678762.0,1580966408981.0,1412973342007.0,1238901571502.0,1318418125010.0,1456970217171.0,1529375744264.0,1350515959075.0,1353824408804.0,1085494044911.0,966778621433.0,
54,8.신계약비상각비(주석15),742637548098.0,683330077598.0,571049252731.0,435604852600.0,343098369518.0,210667857755.0,82433654446.0,9355933430.0,6943034350.0,6897808390.0,6897808390.0,7817904490.0,8180627230.0,
55,9.이자비용,2122840461.0,1556401751.0,2297057166.0,1432825765.0,1254958539.0,1229863600.0,836029223.0,947510958.0,1591631024.0,1752108460.0,1752108460.0,578636413.0,1773957993.0,7276817629.0
56,10.유가증권평가및처분손실,14539857338.0,34907405508.0,30243899125.0,16001394365.0,12164665948.0,,,,,,,,,
57,단기매매증권평가손실(주석4),754781212.0,5625475.0,9226246.0,154594620.0,177371674.0,1822708872.0,3834703731.0,60628597.0,2046437950.0,3071064030.0,14344875430.0,15635391906.0,30196121624.0,8838011469.0
58,단기매매증권처분손실,2753557599.0,140735051.0,346712420.0,708376776.0,932885916.0,4145047343.0,15693407871.0,10195516583.0,61744517345.0,24125429161.0,30758079799.0,59625996114.0,48803827148.0,173149221726.0
59,매도가능증권처분손실,8406989998.0,15889336366.0,20855150468.0,8327648213.0,8299295155.0,8957247350.0,2942845535.0,7624252701.0,3945944090.0,12664276494.0,12664276494.0,5217322928.0,9626111898.0,12035433673.0
60,매도가능증권손상차손(주석5),2624528529.0,18871708616.0,9032809991.0,6810774756.0,2755113203.0,10169507122.0,3273640935.0,25442910222.0,19045494129.0,,,,,
61,11.대출채권평가및처분손실,8758627168.0,3991703218.0,2487443940.0,2777973048.0,3324774856.0,,,,,,,,,
62,대손상각비,8758627168.0,3991703218.0,2487443940.0,2777973048.0,3324774856.0,,,,,,,,,
63,12.외환거래손실,28915644331.0,64691237414.0,74231317676.0,9427261675.0,10516616324.0,,,,,,,,,
64,외환차손,25782061492.0,52198861506.0,71919082587.0,7202460743.0,8118063131.0,9334132791.0,13186980921.0,16998973946.0,7649986525.0,5656222741.0,5656222741.0,6659092266.0,9834150012.0,7555039352.0
65,외화환산손실,3133582839.0,12492375908.0,2312235089.0,2224800932.0,2398553193.0,4140335269.0,27286900070.0,25621687365.0,12010808233.0,495018951.0,495018951.0,1404703630.0,4511922140.0,11810426247.0
66,"13.재산관리비(주석10,19)",90858831458.0,91508095353.0,83720743201.0,76624818187.0,79239193272.0,75905628687.0,83723316042.0,141846472346.0,98848333217.0,51342911441.0,51104146750.0,44648984230.0,52519529371.0,26552126646.0
67,14.부동산관리비,20549933525.0,19835231464.0,18380411413.0,17128742846.0,16071343546.0,13875343470.0,12577224363.0,13697407526.0,12272987121.0,10684836543.0,10684836543.0,9918945773.0,8212630344.0,7241296596.0
68,15.부동산감가상각비(주석10),9103802657.0,8861461558.0,7705185465.0,7411166986.0,7033910655.0,6209055991.0,5832019707.0,6115645444.0,5525660636.0,4600563067.0,4600563067.0,4179644853.0,3280225515.0,3973830160.0
69,16.기타의영업비용,22294637120.0,19196046025.0,45223071724.0,15686248530.0,5148986973.0,,,,,,,,,
70,파생상품거래손실,12308376783.0,9622453676.0,26008956140.0,3482201394.0,1324167513.0,3628364156.0,3471635039.0,4626238116.0,7717213780.0,6632650638.0,,,,
71,"파생상품평가손실(주석8,35)",2437320640.0,1640757001.0,14695975655.0,8752732109.0,361674435.0,12422458.0,206536077.0,2068235447.0,10855680714.0,11273811400.0,,,,
72,투자영업잡손실,6578183593.0,4697818573.0,2899908533.0,2689877673.0,2846464019.0,2131372196.0,1825739244.0,1992543337.0,1941068389.0,1802006200.0,1802006200.0,368624478.0,545706961.0,4269822504.0
73,영업잡손실,970756104.0,3235016775.0,1618231396.0,761437354.0,616681006.0,247909919.0,159314788.0,502311817.0,3041276410.0,157751600.0,157751600.0,702122204.0,2407883209.0,1935536110.0
74,17.특별계정비용(주석30),1110444169060.0,637012245289.0,444767536048.0,508853186586.0,371682645750.0,395889705117.0,,,,,,,,
75,Ⅲ.영업이익,885250259296.0,686035373954.0,824339527444.0,695400809867.0,480355262088.0,367586916458.0,391796865556.0,270220329233.0,350095370339.0,371630338102.0,364971115913.0,81286625509.0,111050022418.0,
76,Ⅳ.영업외수익,31184162225.0,28693800959.0,28348779962.0,16492225246.0,29590287925.0,86496498612.0,95019497433.0,84915453677.0,122495270576.0,92400618857.0,78083693970.0,89499114245.0,126548484120.0,52154659286.0
77,1.지분법이익(주석7),773364394.0,7568844922.0,2560087884.0,1882764659.0,2326700294.0,3532578397.0,,,,,,,,
78,2.지분법적용투자주식처분이익(주석7),857401793.0,,6950668366.0,,,1193242441.0,,,,,,,,
79,3.유형자산처분이익,7996765315.0,530191498.0,344077296.0,247819336.0,2474203811.0,1863528324.0,424243756.0,196689433.0,203862285.0,272674236.0,272674236.0,432485533.0,121625758.0,37967239.0
