,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20121231,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20040101-20041231,19000101
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,72617442374.0,55114731809.0,74367441746.0,49335240503.0,62296858700.0,57440292749.0,67824361924.0,41393282539.0,32934159301.0,36204513812.0,29952145335.0,26986651700.0,15542852573.0,10346098622.0,9519632850.0,11747460079.0,12542112363.0,15506932611.0,20857573000.0,22846665000.0,19069698000.0,16516878000.0,,,,,,,,,,,,,,,,
9,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,15469235738.0,12717980739.0,32205125508.0,18931776113.0,8197249135.0,8044073349.0,6406846504.0,3342304668.0,1777709159.0,1099626162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,249649225802.0,257547495258.0,217760876692.0,222725756619.0,279317574948.0,157447835597.0,176506384990.0,151197638560.0,165445936369.0,124617831303.0,143825934212.0,137331861012.0,97764885474.0,75963752602.0,57611926815.0,54773189835.0,48229800061.0,37460664239.0,60280869000.0,46281107000.0,91202220000.0,44305179000.0,34406361685.0,74655139530.0,86041321610.0,74630247684.0,69960601393.0,72456939805.0,58331957078.0,57455454058.0,,,,,,,,
11,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,7232430519335.0,6655812661122.0,6309521976607.0,6070951837017.0,5270822686535.0,4495621322859.0,4243234237035.0,3940161454951.0,3667525475014.0,3235023783031.0,3238183101324.0,2925908769162.0,2199758651212.0,2170701933937.0,1914136411890.0,1868070443984.0,1752455606601.0,1746530375501.0,1720012957000.0,1587740465000.0,1491514736000.0,1448674224000.0,1361658049566.0,1188373471400.0,941535150014.0,876048148806.0,906050627219.0,863436900692.0,840871975912.0,554169841827.0,566400014882.0,450793104351.0,325142189633.0,253929178003.0,129728969041.0,206239105422.0,206239105422.0,
12,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,1670642535417.0,1596271317726.0,1604428888826.0,1590294847771.0,1490630980761.0,1457302209262.0,1344393507558.0,1292958282337.0,1232034759230.0,1150012698630.0,1063493410976.0,981089853476.0,927522440476.0,863258398071.0,842248208955.0,845952903372.0,855976987636.0,863804604637.0,877255841000.0,883142917000.0,888121675000.0,900956696000.0,791565324316.0,565585659080.0,383865978555.0,365378058809.0,353764976855.0,338421241954.0,331995298092.0,294068262692.0,295886231358.0,227614911278.0,146554601824.0,113644446078.0,78330464578.0,34085644200.0,34085644200.0,
13,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,834105132590.0,697351304664.0,713769153487.0,685227222391.0,578779470738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,dart_GoodwillGross,무형자산,Intangible Assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,371771227855.0,341442833327.0,349999065700.0,351744636061.0,315142356181.0,306963470197.0,347997105990.0,352552191500.0,349000138248.0,339511680983.0,238764166021.0,147035493309.0,116072391280.0,112131534109.0,117265037302.0,120006081538.0,112018406277.0,103318772173.0,148711564000.0,169094788000.0,167065536000.0,120758267000.0,134030301034.0,121593623151.0,138831861303.0,151235341000.0,150044316584.0,153956495245.0,153607096762.0,55531026455.0,62962677679.0,56819721966.0,22049853406.0,17922951828.0,8681797083.0,104821025800.0,104821025800.0,
15,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,25948702912.0,24034591006.0,24140351166.0,28335927264.0,26253370591.0,25990573425.0,25768719196.0,23344859294.0,22202201623.0,120301393998.0,307666916579.0,165255000000.0,188352000000.0,192181000000.0,72479767124.0,52479767124.0,37479767124.0,47529767124.0,46029767000.0,41029767000.0,26063267000.0,14513267000.0,9527095476.0,8972843836.0,2991645553.0,3053565454.0,2754480814.0,4168862597.0,249965355.0,6995908079.0,,,,,,367500000.0,367500000.0,
16,dart_NonCurrentFairValueFinancialAsset,당기손익인식금융자산,Non-current fair value financial asset,재무상태표 [abstract],자산 [abstract],비유동자산,당기손익인식금융자산,,,,,,,,,,39151181682.0,9610876658.0,8548230675.0,377284917569.0,4338051108.0,842135130.0,629684510.0,5908618557.0,8469206146.0,285987877000.0,275151382000.0,299411828000.0,299154134000.0,242082589307.0,280975949232.0,267790688202.0,176141739158.0,157783609632.0,82746280206.0,63983967064.0,,,,,,,,,
17,entity00266961_udf_BS_20185313851949_NoncurrentAssets,당기손익-공정가치금융자산,Non-Current Fair Value through Profit or Loss Financial Instruments,재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치금융자산,1323781059170.0,1229097428653.0,929400648171.0,808433210905.0,608826562873.0,553399539414.0,225135361965.0,417269163865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
