,Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8,재고자산,1141444273.0,2073250460.0,2049790474.0,1479936951.0,1062846301.0,1004088797.0,601484759.0,464376758.0,485209480.0,513205049.0,611778614.0,553878212.0,574655309.0,665605950.0,527930897.0,553600018.0,563514044.0,685710162.0,467934834.0,443370038.0,645451202.0,708400146.0,1144404220.0,1218217666.0,813624253.0,934547197.0,1240032495.0,2147615284.0,1703162534.0,2038585111.0,1264001907.0,1308194254.0,1222814284.0,1308438578.0,2022128820.0,2784141826.0,4432646155.0,2972505095.0,596407488.0,,157190000.0
9,기타유동자산(주석10),38083696030.0,42020670708.0,27642456451.0,27352365107.0,30688258098.0,25142260477.0,24622463535.0,22751575544.0,24398455834.0,24131128741.0,22524352383.0,42203970165.0,40449645561.0,39776148928.0,42738748756.0,31774534681.0,30917666774.0,30056454982.0,27332508004.0,22813787732.0,22717850489.0,22809389769.0,23382617236.0,11237149944.0,19385971026.0,16427887255.0,16007997723.0,14072503429.0,18924331342.0,15748437579.0,16627911245.0,14641498274.0,15096073530.0,,,,,,,,
10,당기법인세자산(주석31),1322925002.0,1016257739.0,904314848.0,630633207.0,628552412.0,1069074070.0,541588137.0,869527049.0,348908988.0,375094122.0,414353522.0,367799554.0,20304111.0,325902768.0,348577974.0,347178745.0,49506486.0,166516748.0,184881027.0,110111251.0,342087099.0,84870510.0,232734283.0,130154524.0,114643323.0,157738160.0,571969325.0,320195028.0,285105969.0,5966701173.0,4324916015.0,3004290600.0,,,,,,,,,
11,II.비유동자산,1264830514720.0,1258513073549.0,1282528282597.0,1487568233701.0,1526639133753.0,1364870040778.0,1372998664335.0,1592610497372.0,1574180346860.0,1753840211498.0,1452500757155.0,1614208101770.0,1218218438015.0,1169174031921.0,1208079323778.0,1135092532753.0,1199183526701.0,1136423302233.0,1084199334476.0,1096602467635.0,1203967190184.0,679280330079.0,688296326339.0,687254710385.0,698750338709.0,694017137148.0,705248805994.0,671015975242.0,648199677808.0,642522459343.0,474458221349.0,300783956236.0,235418659012.0,228860671302.0,214679866597.0,178642550943.0,133394470077.0,,,,
12,"기타수취채권(주석5,7,22,34,35)",13743012300.0,10836166557.0,10383199755.0,9706807244.0,10851461647.0,10930342328.0,23241751181.0,19673607089.0,13144997025.0,22248326433.0,10122041646.0,9718905410.0,9788675498.0,8119757714.0,8435843056.0,14013136024.0,8728042503.0,9750864527.0,10298507770.0,7782727669.0,10085068707.0,8277292187.0,12662124150.0,16183330597.0,17665129579.0,8499598883.0,13667960461.0,10033621466.0,9187827766.0,10732458614.0,9187976526.0,10062273383.0,10556495632.0,,,,,,,,
13,"장기대여금(주석8,33,34,35)",4588233918.0,4588233918.0,4580635210.0,2568005083.0,122263492.0,55587207.0,138442828.0,88321838.0,424979083.0,43310593.0,138918701.0,244024559.0,110479620.0,115591580.0,120692080.0,125784840.0,130872060.0,137593210.0,147286438.0,154732958.0,267160796.0,433646954.0,1051330319.0,1140753937.0,1225325953.0,1295893829.0,2806646419.0,2931292799.0,3131300375.0,3432704323.0,3888153620.0,5738777694.0,5831806590.0,5691272680.0,6131027453.0,5382062397.0,5001606910.0,4050674150.0,2613143725.0,1889450470.0,749557436.0
14,"장기투자자산(주석9,34,35)",703445612483.0,698725894421.0,704587295813.0,931528350092.0,988177201986.0,895022363575.0,,,,1303156419980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"관계기업투자주식(주석11,22)",44058704257.0,43613965612.0,63299945388.0,63598365259.0,55173414811.0,56380436362.0,54991027635.0,56620563645.0,35285756691.0,33823702322.0,30307010823.0,30849555683.0,28560677017.0,71222525352.0,64941959753.0,21430243937.0,26322987692.0,35368108649.0,,,,29316068861.0,27118108196.0,,,,,,,,,8248891368.0,4184374605.0,,,,,,,,
16,"투자부동산(주석12,22)",93356054402.0,93684755300.0,94014278580.0,94344741771.0,94675204960.0,95005668146.0,95336131331.0,95666594516.0,96004701731.0,96333433985.0,96670978758.0,237769511718.0,237474511066.0,238091472672.0,237730583558.0,238416090412.0,239185776124.0,240081769977.0,241035855357.0,241982410403.0,242930338301.0,243886331327.0,244263191559.0,245616523626.0,246558444407.0,247524668999.0,248525493840.0,,,,,,,,,,,,,,
17,"유형자산(주석13,19,36)",347141362650.0,350408848297.0,342610473684.0,313722944389.0,306451095768.0,233876559108.0,231019721472.0,228489246983.0,228854075193.0,229062631039.0,231990764442.0,230852480138.0,224631607354.0,224654948984.0,225931226888.0,230540353429.0,233271371970.0,233821886940.0,234894993537.0,236844790238.0,238223462490.0,240839261581.0,244559532022.0,247330819165.0,251940628454.0,248310439918.0,251831051177.0,470304847033.0,436414948724.0,425828131646.0,366332503479.0,196488472126.0,174534787145.0,169756867217.0,162763561856.0,124811376686.0,84598918051.0,84971983708.0,22098485195.0,12069233692.0,9776071662.0
